	Source	Target	Weight	Type
0	#per14	#pla298	1	Undirected
1	#per644	#pla156	1	Undirected
2	#per14	#pla30	1	Undirected
3	#org14	#per14	1	Undirected
4	#org64	#per644	2	Undirected
5	#org64	#org70	2	Undirected
6	#per644	#pla249	1	Undirected
7	#org22	#pla41	1	Undirected
8	#org18	#wor1	1	Undirected
9	#org0	#wor8	2	Undirected
10	#org0	#per644	24	Undirected
11	#org65	#per644	1	Undirected
12	#org22	#per14	1	Undirected
13	#per644	#pla15	1	Undirected
14	#org100	#per644	1	Undirected
15	#org133	#per644	1	Undirected
16	#org18	#per644	3	Undirected
17	#org19	#per644	20	Undirected
18	#pla30	#pla41	1	Undirected
19	#per14	#wor1	1	Undirected
20	#org0	#pla41	6	Undirected
21	#per644	#wor8	2	Undirected
22	#per14	#pla15	1	Undirected
23	#org19	#pla15	1	Undirected
24	#org22	#per644	1	Undirected
25	#org0	#pla15	1	Undirected
26	#org19	#wor1	1	Undirected
27	#per14	#pla249	1	Undirected
28	#org19	#per14	20	Undirected
29	#per644	#pla298	1	Undirected
30	#per14	#tim3	1	Undirected
31	#per644	#pla41	9	Undirected
32	#org70	#pla41	1	Undirected
33	#org0	#pla30	1	Undirected
34	#per14	#pla299	1	Undirected
35	#per14	#wor8	2	Undirected
36	#pla126	#pla41	1	Undirected
37	#per14	#pla41	9	Undirected
38	#org19	#pla41	4	Undirected
39	#org0	#org19	17	Undirected
40	#org19	#org70	1	Undirected
41	#per644	#pla126	1	Undirected
42	#org64	#pla41	1	Undirected
43	#org19	#pla156	1	Undirected
44	#org70	#per14	8	Undirected
45	#org133	#per14	1	Undirected
46	#org18	#per14	3	Undirected
47	#pla249	#pla299	1	Undirected
48	#org65	#per14	1	Undirected
49	#org100	#per14	1	Undirected
50	#pla156	#pla41	1	Undirected
51	#org18	#pla15	1	Undirected
52	#org64	#per14	2	Undirected
53	#org24	#per644	1	Undirected
54	#pla126	#pla298	1	Undirected
55	#per644	#tim3	1	Undirected
56	#org19	#pla30	1	Undirected
57	#org14	#per644	1	Undirected
58	#per644	#pla30	1	Undirected
59	#org136	#per644	1	Undirected
60	#per14	#pla126	1	Undirected
61	#org24	#per14	1	Undirected
62	#pla298	#pla41	1	Undirected
63	#org0	#per14	24	Undirected
64	#per14	#pla156	1	Undirected
65	#org18	#org19	3	Undirected
66	#per644	#pla299	1	Undirected
67	#org136	#per14	1	Undirected
68	#org0	#org14	1	Undirected
69	#org0	#pla156	1	Undirected
70	#org70	#per644	8	Undirected
71	#org0	#org18	2	Undirected
72	#per644	#per645	1	Undirected
73	#org0	#org70	1	Undirected
74	#org100	#org70	1	Undirected
75	#per644	#wor1	1	Undirected
76	#org24	#org70	1	Undirected
77	#per14	#per644	54	Undirected
78	#org14	#wor8	1	Undirected
