	Source	Target	Weight	Type
0	#org4	#pla18	1	Undirected
1	#org187	#pla213	1	Undirected
2	#per26	#per495	2	Undirected
3	#per14	#per26	4	Undirected
4	#per14	#per43	1	Undirected
5	#org192	#per857	1	Undirected
6	#org0	#per47	1	Undirected
7	#per152	#per72	1	Undirected
8	#per481	#per691	1	Undirected
9	#per2	#per4	1	Undirected
10	#per1	#pla18	6	Undirected
11	#org4	#per14	9	Undirected
12	#per495	#per582	1	Undirected
13	#org130	#tim5	1	Undirected
14	#org4	#per1	3	Undirected
15	#per17	#pla263	1	Undirected
16	#org19	#per14	1	Undirected
17	#per14	#per431	5	Undirected
18	#per26	#pla5	1	Undirected
19	#per1	#per17	2	Undirected
20	#per131	#per4	1	Undirected
21	#org187	#per14	1	Undirected
22	#org46	#per1	1	Undirected
23	#per131	#per3	1	Undirected
24	#org110	#per14	1	Undirected
25	#org100	#per431	1	Undirected
26	#per14	#pla2	1	Undirected
27	#org0	#org110	1	Undirected
28	#pla41	#wor1	1	Undirected
29	#org0	#pla2	1	Undirected
30	#org12	#per14	2	Undirected
31	#org39	#per14	1	Undirected
32	#org39	#pla4	1	Undirected
33	#org65	#pla175	1	Undirected
34	#per495	#per497	1	Undirected
35	#per1	#per431	7	Undirected
36	#org70	#per60	1	Undirected
37	#org18	#per14	6	Undirected
38	#org70	#per17	2	Undirected
39	#org12	#wor1	2	Undirected
40	#org39	#pla2	2	Undirected
41	#org110	#org4	1	Undirected
42	#org18	#per26	3	Undirected
43	#per990	#per991	1	Undirected
44	#per14	#pla5	2	Undirected
45	#per14	#pla130	1	Undirected
46	#org0	#org18	3	Undirected
47	#per690	#per691	1	Undirected
48	#org0	#per35	1	Undirected
49	#org37	#per14	2	Undirected
50	#per14	#per35	1	Undirected
51	#per1	#pla19	1	Undirected
52	#per26	#wor1	2	Undirected
53	#per14	#per206	1	Undirected
54	#org46	#per125	1	Undirected
55	#org8	#per990	1	Undirected
56	#per14	#wor4	1	Undirected
57	#per481	#per991	1	Undirected
58	#per496	#per582	1	Undirected
59	#per14	#per585	1	Undirected
60	#per26	#pla72	1	Undirected
61	#org0	#pla41	2	Undirected
62	#per14	#pla263	2	Undirected
63	#org0	#org37	1	Undirected
64	#org0	#org70	7	Undirected
65	#per152	#per60	1	Undirected
66	#org0	#pla263	1	Undirected
67	#org70	#per500	1	Undirected
68	#org12	#per431	1	Undirected
69	#org0	#per2	1	Undirected
70	#org100	#per14	1	Undirected
