	Source	Target	Via	Weight	Type
2	#per14	#org0	oral	18	Directed
7	#per17	#org0	oral	6	Directed
0	#per14	#org4	soCalled	3	Directed
3	#per14	#per1	oral	3	Directed
4	#per1	#per14	oral	3	Directed
5	#org0	#per14	oral	3	Directed
6	#org37	#per1	prayer	3	Directed
15	#org70	#org70	oral	2	Directed
13	#org0	#org0	oral	2	Directed
11	#per14	#per2	oral	2	Directed
12	#per14	#per26	oral	1	Directed
14	#per26	#org70	oral	1	Directed
8	#org0	#org0	soCalled	1	Directed
10	#per14	#per500	oral	1	Directed
9	#per35	#org0	oral	1	Directed
1	#per14	#org4	oral	1	Directed
16	#per26	#org0	oral	1	Directed
