	id	type
0	b.HOS.1.1	verse
1	b.HOS.1.2	verse
2	b.HOS.1.3	verse
3	b.HOS.1.4	verse
4	b.HOS.1.5	verse
5	b.HOS.1.6	verse
6	b.HOS.1.7	verse
7	b.HOS.1.8	verse
8	b.HOS.1.9	verse
9	b.HOS.1.10	verse
10	b.HOS.1.11	verse
11	b.HOS.2.1	verse
12	b.HOS.2.2	verse
13	b.HOS.2.3	verse
14	b.HOS.2.4	verse
15	b.HOS.2.5	verse
16	b.HOS.2.6	verse
17	b.HOS.2.7	verse
18	b.HOS.2.8	verse
19	b.HOS.2.9	verse
20	b.HOS.2.10	verse
21	b.HOS.2.11	verse
22	b.HOS.2.12	verse
23	b.HOS.2.13	verse
24	b.HOS.2.14	verse
25	b.HOS.2.15	verse
26	b.HOS.2.16	verse
27	b.HOS.2.17	verse
28	b.HOS.2.18	verse
29	b.HOS.2.19	verse
30	b.HOS.2.20	verse
31	b.HOS.2.21	verse
32	b.HOS.2.22	verse
33	b.HOS.2.23	verse
34	b.HOS.3.1	verse
35	b.HOS.3.2	verse
36	b.HOS.3.3	verse
37	b.HOS.3.4	verse
38	b.HOS.3.5	verse
39	b.HOS.4.1	verse
40	b.HOS.4.2	verse
41	b.HOS.4.3	verse
42	b.HOS.4.4	verse
43	b.HOS.4.5	verse
44	b.HOS.4.6	verse
45	b.HOS.4.7	verse
46	b.HOS.4.8	verse
47	b.HOS.4.9	verse
48	b.HOS.4.10	verse
49	b.HOS.4.11	verse
50	b.HOS.4.12	verse
51	b.HOS.4.13	verse
52	b.HOS.4.14	verse
53	b.HOS.4.15	verse
54	b.HOS.4.16	verse
55	b.HOS.4.17	verse
56	b.HOS.4.18	verse
57	b.HOS.4.19	verse
58	b.HOS.5.1	verse
59	b.HOS.5.2	verse
60	b.HOS.5.3	verse
61	b.HOS.5.4	verse
62	b.HOS.5.5	verse
63	b.HOS.5.6	verse
64	b.HOS.5.7	verse
65	b.HOS.5.8	verse
66	b.HOS.5.9	verse
67	b.HOS.5.10	verse
68	b.HOS.5.11	verse
69	b.HOS.5.12	verse
70	b.HOS.5.13	verse
71	b.HOS.5.14	verse
