	Source	Target	Weight	Type
0	#org143	#per978	11	Undirected
1	#per14	#pla324	1	Undirected
2	#pla3	#pla57	1	Undirected
3	#org143	#org25	8	Undirected
4	#per26	#pla5	1	Undirected
5	#org95	#per978	1	Undirected
6	#org0	#pla325	1	Undirected
7	#org0	#pla292	2	Undirected
8	#per14	#per69	1	Undirected
9	#org0	#org21	1	Undirected
10	#org143	#org95	1	Undirected
11	#org0	#pla57	17	Undirected
12	#per14	#pla3	1	Undirected
13	#per985	#pla4	1	Undirected
14	#org93	#pla4	2	Undirected
15	#org93	#pla22	1	Undirected
16	#per70	#per71	1	Undirected
17	#per14	#per981	1	Undirected
18	#org143	#pla324	1	Undirected
19	#per978	#per980	1	Undirected
20	#per70	#per980	1	Undirected
21	#pla292	#pla4	1	Undirected
22	#per983	#per984	1	Undirected
23	#per978	#pla325	3	Undirected
24	#org70	#org95	1	Undirected
25	#per650	#per978	1	Undirected
26	#org25	#pla5	1	Undirected
27	#per14	#wor1	2	Undirected
28	#org103	#org135	1	Undirected
29	#org70	#per987	2	Undirected
30	#per14	#per987	1	Undirected
31	#per16	#per87	1	Undirected
32	#per14	#per989	1	Undirected
33	#pla482	#pla5	1	Undirected
34	#org18	#pla2	1	Undirected
35	#org93	#pla137	1	Undirected
36	#per69	#per978	1	Undirected
37	#pla102	#pla103	1	Undirected
38	#per68	#pla4	1	Undirected
39	#org229	#pla360	1	Undirected
40	#org103	#per987	1	Undirected
41	#org151	#pla2	1	Undirected
42	#per4	#per87	1	Undirected
43	#pla5	#pla90	3	Undirected
44	#org12	#pla324	1	Undirected
45	#per68	#per71	1	Undirected
46	#org70	#pla137	2	Undirected
47	#per978	#pla451	1	Undirected
48	#org0	#org122	1	Undirected
49	#pla156	#pla4	1	Undirected
50	#org95	#per14	1	Undirected
51	#org19	#per978	2	Undirected
52	#per984	#pla4	1	Undirected
53	#per982	#per983	1	Undirected
54	#per978	#per988	1	Undirected
55	#org183	#per987	1	Undirected
56	#org70	#pla321	1	Undirected
57	#org70	#pla108	1	Undirected
58	#org93	#per145	1	Undirected
59	#org4	#per131	1	Undirected
60	#per14	#pla103	1	Undirected
61	#pla328	#pla4	1	Undirected
62	#per978	#pla103	1	Undirected
63	#per69	#per979	1	Undirected
64	#org101	#pla4	1	Undirected
65	#org135	#pla57	1	Undirected
66	#per71	#per981	1	Undirected
67	#per70	#per978	1	Undirected
68	#org16	#per978	6	Undirected
69	#org12	#pla51	1	Undirected
70	#per35	#pla4	1	Undirected
71	#per70	#per979	1	Undirected
72	#org25	#pla292	1	Undirected
73	#org70	#per145	1	Undirected
74	#org0	#pla137	1	Undirected
75	#per978	#per989	1	Undirected
76	#org230	#pla303	1	Undirected
77	#per69	#pla4	1	Undirected
78	#per14	#pla4	38	Undirected
79	#per978	#pla30	1	Undirected
80	#per14	#per979	1	Undirected
81	#org0	#org39	1	Undirected
82	#org0	#pla156	1	Undirected
83	#org39	#per145	1	Undirected
84	#org122	#org21	1	Undirected
85	#org39	#per978	12	Undirected
86	#org19	#per14	2	Undirected
87	#org228	#per978	1	Undirected
