	Source	Target	Via	Weight	Type
6	#per14	#org70	oral	107	Directed
1	#per978	#org0	oral	75	Directed
9	#per978	#org70	oral	68	Directed
7	#per14	#per978	oral	32	Directed
5	#per14	#org93	oral	8	Directed
10	#org70	#org70	oral	3	Directed
0	#org70	#per14	soCalled	2	Directed
3	#org70	#org70	idea	2	Directed
17	#org70	#org0	oral	2	Directed
4	#org70	#org0	soCalled	1	Directed
8	#per14	#per986	oral	1	Directed
2	#org93	#org0	oral	1	Directed
11	#per978	#per987	oral	1	Directed
12	#org70	#org95	oral	1	Directed
13	#org93	#org0	soCalled	1	Directed
14	#per978	#per14	prayer	1	Directed
15	#per986	#per14	prayer	1	Directed
16	#org70	#per14	prayer	1	Directed
