	id	type
0	b.ISA.1.1	verse
1	b.ISA.1.2	verse
2	b.ISA.1.3	verse
3	b.ISA.1.4	verse
4	b.ISA.1.5	verse
5	b.ISA.1.6	verse
6	b.ISA.1.7	verse
7	b.ISA.1.8	verse
8	b.ISA.1.9	verse
9	b.ISA.1.10	verse
10	b.ISA.1.11	verse
11	b.ISA.1.12	verse
12	b.ISA.1.13	verse
13	b.ISA.1.14	verse
14	b.ISA.1.15	verse
15	b.ISA.1.16	verse
16	b.ISA.1.17	verse
17	b.ISA.1.18	verse
18	b.ISA.1.19	verse
19	b.ISA.1.20	verse
20	b.ISA.1.21	verse
21	b.ISA.1.22	verse
22	b.ISA.1.23	verse
23	b.ISA.1.24	verse
24	b.ISA.1.25	verse
25	b.ISA.1.26	verse
26	b.ISA.1.27	verse
27	b.ISA.1.28	verse
28	b.ISA.1.29	verse
29	b.ISA.1.30	verse
30	b.ISA.1.31	verse
31	b.ISA.2.1	verse
32	b.ISA.2.2	verse
33	b.ISA.2.3	verse
34	b.ISA.2.4	verse
35	b.ISA.2.5	verse
36	b.ISA.2.6	verse
37	b.ISA.2.7	verse
38	b.ISA.2.8	verse
39	b.ISA.2.9	verse
40	b.ISA.2.10	verse
41	b.ISA.2.11	verse
42	b.ISA.2.12	verse
43	b.ISA.2.13	verse
44	b.ISA.2.14	verse
45	b.ISA.2.15	verse
46	b.ISA.2.16	verse
47	b.ISA.2.17	verse
48	b.ISA.2.18	verse
49	b.ISA.2.19	verse
50	b.ISA.2.20	verse
51	b.ISA.2.21	verse
52	b.ISA.2.22	verse
53	b.ISA.3.1	verse
54	b.ISA.3.2	verse
55	b.ISA.3.3	verse
56	b.ISA.3.4	verse
57	b.ISA.3.5	verse
58	b.ISA.3.6	verse
59	b.ISA.3.7	verse
60	b.ISA.3.8	verse
61	b.ISA.3.9	verse
62	b.ISA.3.10	verse
63	b.ISA.3.11	verse
64	b.ISA.3.12	verse
65	b.ISA.3.13	verse
66	b.ISA.3.14	verse
67	b.ISA.3.15	verse
68	b.ISA.3.16	verse
69	b.ISA.3.17	verse
70	b.ISA.3.18	verse
71	b.ISA.3.19	verse
72	b.ISA.3.20	verse
73	b.ISA.3.21	verse
74	b.ISA.3.22	verse
75	b.ISA.3.23	verse
76	b.ISA.3.24	verse
77	b.ISA.3.25	verse
78	b.ISA.3.26	verse
79	b.ISA.4.1	verse
80	b.ISA.4.2	verse
81	b.ISA.4.3	verse
82	b.ISA.4.4	verse
83	b.ISA.4.5	verse
84	b.ISA.4.6	verse
85	b.ISA.5.1	verse
86	b.ISA.5.2	verse
87	b.ISA.5.3	verse
88	b.ISA.5.4	verse
89	b.ISA.5.5	verse
90	b.ISA.5.6	verse
91	b.ISA.5.7	verse
92	b.ISA.5.8	verse
93	b.ISA.5.9	verse
94	b.ISA.5.10	verse
95	b.ISA.5.11	verse
96	b.ISA.5.12	verse
97	b.ISA.5.13	verse
98	b.ISA.5.14	verse
99	b.ISA.5.15	verse
100	b.ISA.5.16	verse
101	b.ISA.5.17	verse
102	b.ISA.5.18	verse
103	b.ISA.5.19	verse
104	b.ISA.5.20	verse
105	b.ISA.5.21	verse
106	b.ISA.5.22	verse
107	b.ISA.5.23	verse
108	b.ISA.5.24	verse
109	b.ISA.5.25	verse
110	b.ISA.5.26	verse
111	b.ISA.5.27	verse
