	Source	Target	Via	Weight	Type
13	#per14	#org0	oral	290	Directed
1	#per14	#org70	oral	279	Directed
11	#per19	#org0	oral	63	Directed
8	#per19	#org70	oral	63	Directed
15	#per14	#per19	oral	61	Directed
27	#per19	#per14	prayer	51	Directed
0	#per69	#org70	oral	45	Directed
81	#per19	#per1440	oral	23	Directed
30	#per14	#org173	oral	22	Directed
76	#per14	#per1440	oral	19	Directed
46	#per14	#org108	oral	18	Directed
45	#per19	#org108	oral	18	Directed
5	#per69	#per14	prayer	17	Directed
104	#per14	#org133	oral	15	Directed
35	#org0	#org0	oral	13	Directed
23	#per19	#org151	oral	13	Directed
62	#per19	#org122	oral	12	Directed
38	#per14	#org81	oral	12	Directed
2	#per69	#org172	oral	11	Directed
85	#per1440	#org0	written	11	Directed
88	#per14	#org103	oral	9	Directed
3	#per14	#org172	oral	9	Directed
44	#per19	#per1598	oral	9	Directed
26	#org0	#org0	soCalled	9	Directed
71	#org294	#org39	oral	8	Directed
64	#org294	#per1601	oral	8	Directed
55	#per14	#pla883	oral	8	Directed
54	#per19	#pla883	oral	8	Directed
108	#org70	#org16	oral	8	Directed
66	#per1600	#per1440	oral	7	Directed
80	#per1440	#per14	prayer	7	Directed
72	#per1600	#org39	oral	7	Directed
65	#per1601	#per1440	idea	7	Directed
101	#per14	#per973	oral	7	Directed
51	#org39	#per14	prayer	6	Directed
75	#per1440	#per19	oral	6	Directed
18	#per19	#per70	idea	6	Directed
14	#per19	#per14	oral	5	Directed
29	#org70	#org70	oral	5	Directed
56	#org19	#org0	soCalled	4	Directed
6	#org70	#org70	soCalled	4	Directed
105	#org133	#org0	soCalled	4	Directed
78	#per1440	#org190	oral	4	Directed
37	#per14	#org53	oral	4	Directed
84	#per14	#per1440	idea	4	Directed
83	#per19	#per1440	idea	4	Directed
79	#org190	#per1440	idea	4	Directed
59	#org70	#per14	oral	3	Directed
106	#org70	#per14	soCalled	3	Directed
73	#per1440	#org39	oral	3	Directed
115	#per14	#pla72	oath	3	Directed
58	#org70	#org8	oral	3	Directed
4	#org0	#org0	idea	3	Directed
36	#org14	#org0	oath	3	Directed
39	#per19	#org144	oral	3	Directed
109	#org70	#org102	idea	2	Directed
60	#org70	#org0	soCalled	2	Directed
102	#org0	#thin0	oral	2	Directed
34	#org173	#org173	thought	2	Directed
16	#per19	#org70	idea	2	Directed
74	#per1601	#per19	oral	2	Directed
43	#org24	#org0	oral	2	Directed
53	#per14	#org25	oral	2	Directed
57	#org0	#per14	soCalled	2	Directed
92	#per14	#pla890	oral	2	Directed
93	#thin0	#org0	oral	1	Directed
94	#org297	#org103	oral	1	Directed
95	#org297	#org297	thought	1	Directed
96	#per14	#pla3	oral	1	Directed
97	#per14	#pla2	oral	1	Directed
98	#per14	#thin0	oral	1	Directed
99	#per973	#pla3	oral	1	Directed
100	#per973	#pla30	oral	1	Directed
91	#per14	#pla69	oral	1	Directed
52	#org25	#org0	oral	1	Directed
103	#org166	#per14	oral	1	Directed
89	#org0	#org103	soCalled	1	Directed
12	#org4	#per19	oral	1	Directed
10	#org4	#org4	oral	1	Directed
9	#org19	#org19	soCalled	1	Directed
107	#org70	#org0	idea	1	Directed
7	#org122	#org0	soCalled	1	Directed
110	#pla72	#org0	oral	1	Directed
111	#org70	#org70	thought	1	Directed
112	#org101	#org70	oral	1	Directed
113	#org16	#org0	oral	1	Directed
114	#org18	#org0	soCalled	1	Directed
90	#org0	#org70	soCaled	1	Directed
20	#per1605	#per1605	idea	1	Directed
17	#org0	#org151	oral	1	Directed
87	#org70	#org0	oral	1	Directed
50	#org0	#org0	prayer	1	Directed
49	#org0	#org0	song	1	Directed
48	#per14	#org63	oral	1	Directed
47	#pla153	#org0	oral	1	Directed
61	#org70	#thin0	soCalled	1	Directed
42	#org0	#per19	oral	1	Directed
63	#org0	#org0	thought	1	Directed
41	#per19	#org25	oral	1	Directed
40	#org92	#org174	soCalled	1	Directed
67	#per1440	#per1600	soCalled	1	Directed
68	#per14	#org39	oral	1	Directed
69	#per14	#per1600	oral	1	Directed
70	#per1601	#org294	oral	1	Directed
33	#org100	#org173	oral	1	Directed
32	#thin0	#thin0	oral	1	Directed
31	#org0	#org173	idea	1	Directed
77	#per1615	#per1440	oral	1	Directed
28	#org16	#org16	oral	1	Directed
25	#per1604	#per1603	soCalled	1	Directed
24	#per1604	#per19	soCalled	1	Directed
22	#per70	#per14	oral	1	Directed
82	#per1440	#org0	oral	1	Directed
21	#per14	#per70	oral	1	Directed
19	#per1599	#per1599	idea	1	Directed
86	#pla72	#pla2	oral	1	Directed
116	#per14	#org18	oral	1	Directed
