	Source	Target	Weight	Type
0	#org22	#per14	2	Undirected
1	#org18	#per14	1	Undirected
2	#per1	#per31	1	Undirected
3	#org102	#org22	2	Undirected
4	#org18	#org22	2	Undirected
5	#org102	#per14	2	Undirected
6	#org0	#org14	2	Undirected
7	#org14	#wor1	2	Undirected
8	#per14	#per31	1	Undirected
9	#org100	#org37	1	Undirected
10	#org100	#org22	1	Undirected
11	#per503	#per857	1	Undirected
12	#org0	#per1	1	Undirected
13	#org14	#org22	1	Undirected
14	#per14	#per2	1	Undirected
15	#org0	#wor1	4	Undirected
16	#org102	#org37	1	Undirected
17	#org22	#wor1	2	Undirected
18	#per14	#wor1	1	Undirected
19	#per1	#per14	1	Undirected
20	#org22	#per31	1	Undirected
21	#org22	#per1	2	Undirected
22	#org0	#org102	1	Undirected
23	#org100	#org102	3	Undirected
24	#org0	#per14	4	Undirected
25	#org0	#per2	1	Undirected
26	#org6	#per14	1	Undirected
27	#org0	#org22	4	Undirected
28	#per2	#per3	1	Undirected
29	#per2	#wor1	1	Undirected
