	b.JAM.1.1	b.JAM.1.2	b.JAM.1.3	b.JAM.1.4	b.JAM.1.5	b.JAM.1.6	b.JAM.1.7	b.JAM.1.8	b.JAM.1.9	b.JAM.1.10	b.JAM.1.11	b.JAM.1.12	b.JAM.1.13	b.JAM.1.14	b.JAM.1.15	b.JAM.1.16	b.JAM.1.17	b.JAM.1.18	b.JAM.1.19	b.JAM.1.20	b.JAM.1.21	b.JAM.1.22	b.JAM.1.23	b.JAM.1.24	b.JAM.1.25	b.JAM.1.26	b.JAM.1.27	b.JAM.2.1	b.JAM.2.2	b.JAM.2.3	b.JAM.2.4	b.JAM.2.5	b.JAM.2.6	b.JAM.2.7	b.JAM.2.8	b.JAM.2.9	b.JAM.2.10	b.JAM.2.11	b.JAM.2.12	b.JAM.2.13	b.JAM.2.14	b.JAM.2.15	b.JAM.2.16	b.JAM.2.17	b.JAM.2.18	b.JAM.2.19	b.JAM.2.20	b.JAM.2.21	b.JAM.2.22	b.JAM.2.23	b.JAM.2.24	b.JAM.2.25	b.JAM.2.26	b.JAM.3.1	b.JAM.3.2	b.JAM.3.3	b.JAM.3.4	b.JAM.3.5	b.JAM.3.6	b.JAM.3.7	b.JAM.3.8	b.JAM.3.9	b.JAM.3.10	b.JAM.3.11	b.JAM.3.12	b.JAM.3.13	b.JAM.3.14	b.JAM.3.15	b.JAM.3.16	b.JAM.3.17	b.JAM.3.18
#org37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org19	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
#org22	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	3	1	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
#wor1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org18	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
