	id	type
0	b.JAM.1.1	verse
1	b.JAM.1.2	verse
2	b.JAM.1.3	verse
3	b.JAM.1.4	verse
4	b.JAM.1.5	verse
5	b.JAM.1.6	verse
6	b.JAM.1.7	verse
7	b.JAM.1.8	verse
8	b.JAM.1.9	verse
9	b.JAM.1.10	verse
10	b.JAM.1.11	verse
11	b.JAM.1.12	verse
12	b.JAM.1.13	verse
13	b.JAM.1.14	verse
14	b.JAM.1.15	verse
15	b.JAM.1.16	verse
16	b.JAM.1.17	verse
17	b.JAM.1.18	verse
18	b.JAM.1.19	verse
19	b.JAM.1.20	verse
20	b.JAM.1.21	verse
21	b.JAM.1.22	verse
22	b.JAM.1.23	verse
23	b.JAM.1.24	verse
24	b.JAM.1.25	verse
25	b.JAM.1.26	verse
26	b.JAM.1.27	verse
27	b.JAM.2.1	verse
28	b.JAM.2.2	verse
29	b.JAM.2.3	verse
30	b.JAM.2.4	verse
31	b.JAM.2.5	verse
32	b.JAM.2.6	verse
33	b.JAM.2.7	verse
34	b.JAM.2.8	verse
35	b.JAM.2.9	verse
36	b.JAM.2.10	verse
37	b.JAM.2.11	verse
38	b.JAM.2.12	verse
39	b.JAM.2.13	verse
40	b.JAM.2.14	verse
41	b.JAM.2.15	verse
42	b.JAM.2.16	verse
43	b.JAM.2.17	verse
44	b.JAM.2.18	verse
45	b.JAM.2.19	verse
46	b.JAM.2.20	verse
47	b.JAM.2.21	verse
48	b.JAM.2.22	verse
49	b.JAM.2.23	verse
50	b.JAM.2.24	verse
51	b.JAM.2.25	verse
52	b.JAM.2.26	verse
53	b.JAM.3.1	verse
54	b.JAM.3.2	verse
55	b.JAM.3.3	verse
56	b.JAM.3.4	verse
57	b.JAM.3.5	verse
58	b.JAM.3.6	verse
59	b.JAM.3.7	verse
60	b.JAM.3.8	verse
61	b.JAM.3.9	verse
62	b.JAM.3.10	verse
63	b.JAM.3.11	verse
64	b.JAM.3.12	verse
65	b.JAM.3.13	verse
66	b.JAM.3.14	verse
67	b.JAM.3.15	verse
68	b.JAM.3.16	verse
69	b.JAM.3.17	verse
70	b.JAM.3.18	verse
