	Source	Target	Weight	Type
0	#org183	#org248	1	Undirected
1	#pla159	#pla4	1	Undirected
2	#org144	#org240	1	Undirected
3	#org91	#pla785	4	Undirected
4	#per708	#pla115	1	Undirected
5	#org0	#org100	4	Undirected
6	#org0	#org25	5	Undirected
7	#per991	#pla767	1	Undirected
8	#org70	#org75	4	Undirected
9	#per996	#pla467	1	Undirected
10	#per996	#pla125	1	Undirected
11	#org16	#org70	4	Undirected
12	#org233	#pla57	1	Undirected
13	#pla108	#pla302	1	Undirected
14	#org57	#pla755	1	Undirected
15	#org0	#pla611	1	Undirected
16	#org183	#per1037	1	Undirected
17	#org93	#per691	4	Undirected
18	#per1039	#pla780	1	Undirected
19	#org143	#pla4	3	Undirected
20	#org122	#org70	5	Undirected
21	#per1024	#per999	9	Undirected
22	#org63	#pla115	1	Undirected
23	#org24	#per1009	1	Undirected
24	#org0	#org122	1	Undirected
25	#org75	#pla488	2	Undirected
26	#per1033	#pla57	1	Undirected
27	#org239	#pla484	1	Undirected
28	#per26	#pla115	1	Undirected
29	#pla2	#pla515	1	Undirected
30	#per583	#pla515	1	Undirected
31	#org140	#pla755	1	Undirected
32	#org46	#pla3	1	Undirected
33	#per916	#per918	3	Undirected
34	#org91	#per1027	1	Undirected
35	#pla12	#pla13	4	Undirected
36	#org4	#per998	2	Undirected
37	#org190	#org93	1	Undirected
38	#org103	#per1005	1	Undirected
39	#pla2	#pla267	1	Undirected
40	#org70	#per1040	1	Undirected
41	#org21	#pla325	2	Undirected
42	#org70	#per993	2	Undirected
43	#pla271	#pla712	1	Undirected
44	#org179	#org63	1	Undirected
45	#per677	#pla4	1	Undirected
46	#org46	#pla4	6	Undirected
47	#per1024	#per1033	1	Undirected
48	#org24	#pla763	1	Undirected
49	#pla305	#pla550	1	Undirected
50	#per14	#pla30	3	Undirected
51	#org16	#pla84	1	Undirected
52	#org246	#pla650	1	Undirected
53	#per1028	#per996	2	Undirected
54	#per991	#per999	1	Undirected
55	#org0	#org143	1	Undirected
56	#pla4	#pla627	1	Undirected
57	#org70	#pla9	2	Undirected
58	#per503	#pla4	3	Undirected
59	#pla311	#pla467	1	Undirected
60	#org57	#org77	1	Undirected
61	#per14	#pla14	2	Undirected
62	#org233	#pla765	1	Undirected
63	#org63	#pla576	1	Undirected
64	#org103	#per992	2	Undirected
65	#per1039	#pla57	1	Undirected
66	#per1037	#pla303	1	Undirected
67	#org238	#per1000	1	Undirected
68	#org4	#per994	16	Undirected
69	#org239	#pla249	1	Undirected
70	#org8	#pla5	1	Undirected
71	#org0	#per1016	1	Undirected
72	#org122	#org249	1	Undirected
73	#org100	#per991	1	Undirected
74	#per947	#pla611	1	Undirected
75	#pla23	#pla467	1	Undirected
76	#org21	#org39	8	Undirected
77	#org55	#pla507	1	Undirected
78	#org239	#thin0	8	Undirected
79	#per604	#pla321	1	Undirected
80	#org19	#per14	2	Undirected
81	#org39	#pla3	1	Undirected
82	#pla4	#pla754	1	Undirected
83	#per1005	#per650	3	Undirected
84	#pla108	#pla484	1	Undirected
85	#org72	#per1011	1	Undirected
86	#pla324	#pla4	1	Undirected
87	#org244	#org70	4	Undirected
88	#org70	#pla324	2	Undirected
89	#org234	#per1029	1	Undirected
90	#org75	#pla4	6	Undirected
91	#org0	#per14	18	Undirected
92	#org93	#pla9	3	Undirected
93	#org70	#per947	3	Undirected
94	#pla110	#pla6	1	Undirected
95	#pla2	#pla4	4	Undirected
96	#pla5	#pla507	1	Undirected
97	#org63	#pla4	6	Undirected
98	#pla2	#pla311	1	Undirected
99	#org70	#per73	4	Undirected
100	#org103	#per73	1	Undirected
101	#per916	#pla14	1	Undirected
102	#pla13	#pla725	1	Undirected
103	#org66	#org75	1	Undirected
104	#org70	#per26	1	Undirected
105	#per14	#pla1	1	Undirected
106	#pla2	#pla3	1	Undirected
107	#pla176	#pla776	1	Undirected
108	#pla362	#pla488	1	Undirected
109	#per1021	#pla545	1	Undirected
110	#pla313	#pla749	1	Undirected
111	#per1035	#per691	3	Undirected
112	#per14	#pla5	5	Undirected
113	#pla397	#pla467	1	Undirected
114	#per1007	#per500	1	Undirected
115	#org74	#org75	1	Undirected
116	#per1013	#pla82	1	Undirected
117	#pla2	#pla321	2	Undirected
118	#org40	#pla469	2	Undirected
119	#per1032	#pla249	1	Undirected
120	#org57	#org74	1	Undirected
121	#pla292	#pla4	1	Undirected
122	#per1040	#pla311	1	Undirected
123	#per947	#per996	1	Undirected
124	#per14	#pla324	2	Undirected
125	#org50	#per500	1	Undirected
126	#org66	#per1018	1	Undirected
127	#org55	#pla663	1	Undirected
128	#org131	#per998	1	Undirected
129	#org65	#org70	1	Undirected
130	#org40	#per996	2	Undirected
131	#org242	#org93	3	Undirected
132	#org172	#pla2	1	Undirected
133	#org0	#per1028	2	Undirected
134	#org70	#pla545	5	Undirected
135	#per1040	#per17	1	Undirected
136	#org74	#pla4	1	Undirected
137	#pla246	#pla545	2	Undirected
138	#org55	#pla4	2	Undirected
139	#pla115	#pla81	1	Undirected
140	#org70	#pla14	1	Undirected
141	#per947	#pla495	2	Undirected
142	#pla137	#pla41	1	Undirected
143	#org242	#per691	1	Undirected
144	#per1021	#per14	1	Undirected
145	#pla362	#pla4	2	Undirected
146	#org243	#per1035	1	Undirected
147	#org93	#pla57	9	Undirected
148	#org57	#org66	1	Undirected
149	#pla302	#pla321	1	Undirected
150	#org48	#pla4	1	Undirected
151	#org237	#per991	1	Undirected
152	#org93	#pla321	1	Undirected
153	#org0	#pla3	1	Undirected
154	#org70	#per918	1	Undirected
155	#org218	#per150	1	Undirected
156	#per14	#thin0	2	Undirected
157	#per181	#pla650	1	Undirected
158	#org103	#org75	1	Undirected
159	#per14	#pla519	2	Undirected
160	#org216	#per26	1	Undirected
161	#pla12	#pla321	1	Undirected
162	#org70	#pla275	1	Undirected
163	#pla3	#pla321	1	Undirected
164	#org0	#pla175	1	Undirected
165	#org70	#pla302	1	Undirected
166	#per993	#pla611	2	Undirected
167	#per997	#pla4	3	Undirected
168	#pla23	#pla313	1	Undirected
169	#per14	#pla408	2	Undirected
170	#pla4	#pla506	2	Undirected
171	#per14	#pla757	1	Undirected
172	#org24	#pla9	1	Undirected
173	#org0	#per1009	2	Undirected
174	#org21	#pla2	2	Undirected
175	#org216	#per181	1	Undirected
176	#org63	#pla645	1	Undirected
177	#per14	#pla759	1	Undirected
178	#per1003	#per993	6	Undirected
179	#pla140	#pla249	1	Undirected
180	#pla12	#pla336	1	Undirected
181	#org0	#org193	1	Undirected
182	#org82	#pla57	2	Undirected
183	#org16	#pla786	1	Undirected
184	#pla137	#pla468	2	Undirected
185	#org103	#per996	2	Undirected
186	#per73	#pla14	1	Undirected
187	#org179	#pla785	3	Undirected
188	#per993	#pla757	3	Undirected
189	#per1001	#per1009	3	Undirected
190	#per1018	#pla3	1	Undirected
191	#org24	#per993	4	Undirected
192	#org131	#org46	4	Undirected
193	#per4	#pla785	1	Undirected
194	#org70	#pla133	1	Undirected
195	#per991	#pla137	1	Undirected
196	#org179	#org57	1	Undirected
197	#per17	#pla311	1	Undirected
198	#per690	#pla84	1	Undirected
199	#org70	#pla311	1	Undirected
200	#pla2	#pla366	1	Undirected
201	#per1011	#per996	1	Undirected
202	#org39	#org45	1	Undirected
203	#pla57	#pla6	1	Undirected
204	#org82	#per1016	1	Undirected
205	#org50	#org70	28	Undirected
206	#org63	#pla366	1	Undirected
207	#per691	#pla4	13	Undirected
208	#org70	#org81	2	Undirected
209	#org50	#pla790	1	Undirected
210	#pla271	#pla468	1	Undirected
211	#per991	#pla324	1	Undirected
212	#per690	#pla321	1	Undirected
213	#org241	#pla108	3	Undirected
214	#org234	#per991	15	Undirected
215	#per1024	#pla4	2	Undirected
216	#per14	#per916	2	Undirected
217	#org63	#pla746	1	Undirected
218	#org235	#per17	1	Undirected
219	#org0	#pla493	1	Undirected
220	#per690	#pla471	1	Undirected
221	#org101	#pla545	1	Undirected
222	#org190	#pla776	2	Undirected
223	#org234	#per995	2	Undirected
224	#org233	#pla5	1	Undirected
225	#per17	#per991	1	Undirected
226	#per1024	#per14	2	Undirected
227	#org57	#pla156	1	Undirected
228	#per181	#per499	1	Undirected
229	#org22	#per991	1	Undirected
230	#org22	#org50	2	Undirected
231	#org22	#org70	11	Undirected
232	#per1002	#pla9	1	Undirected
233	#per991	#pla109	1	Undirected
234	#org53	#org63	1	Undirected
