	id	type
0	b.JDG.1.1	verse
1	b.JDG.1.2	verse
2	b.JDG.1.3	verse
3	b.JDG.1.4	verse
4	b.JDG.1.5	verse
5	b.JDG.1.6	verse
6	b.JDG.1.7	verse
7	b.JDG.1.8	verse
8	b.JDG.1.9	verse
9	b.JDG.1.10	verse
10	b.JDG.1.11	verse
11	b.JDG.1.12	verse
12	b.JDG.1.13	verse
13	b.JDG.1.14	verse
14	b.JDG.1.15	verse
15	b.JDG.1.16	verse
16	b.JDG.1.17	verse
17	b.JDG.1.18	verse
18	b.JDG.1.19	verse
19	b.JDG.1.20	verse
20	b.JDG.1.21	verse
21	b.JDG.1.22	verse
22	b.JDG.1.23	verse
23	b.JDG.1.24	verse
24	b.JDG.1.25	verse
25	b.JDG.1.26	verse
26	b.JDG.1.27	verse
27	b.JDG.1.28	verse
28	b.JDG.1.29	verse
29	b.JDG.1.30	verse
30	b.JDG.1.31	verse
31	b.JDG.1.32	verse
32	b.JDG.1.33	verse
33	b.JDG.1.34	verse
34	b.JDG.1.35	verse
35	b.JDG.1.36	verse
36	b.JDG.2.1	verse
37	b.JDG.2.2	verse
38	b.JDG.2.3	verse
39	b.JDG.2.4	verse
40	b.JDG.2.5	verse
41	b.JDG.2.6	verse
42	b.JDG.2.7	verse
43	b.JDG.2.8	verse
44	b.JDG.2.9	verse
45	b.JDG.2.10	verse
46	b.JDG.2.11	verse
47	b.JDG.2.12	verse
48	b.JDG.2.13	verse
49	b.JDG.2.14	verse
50	b.JDG.2.15	verse
51	b.JDG.2.16	verse
52	b.JDG.2.17	verse
53	b.JDG.2.18	verse
54	b.JDG.2.19	verse
55	b.JDG.2.20	verse
56	b.JDG.2.21	verse
57	b.JDG.2.22	verse
58	b.JDG.2.23	verse
59	b.JDG.3.1	verse
60	b.JDG.3.2	verse
61	b.JDG.3.3	verse
62	b.JDG.3.4	verse
63	b.JDG.3.5	verse
64	b.JDG.3.6	verse
65	b.JDG.3.7	verse
66	b.JDG.3.8	verse
67	b.JDG.3.9	verse
68	b.JDG.3.10	verse
69	b.JDG.3.11	verse
70	b.JDG.3.12	verse
71	b.JDG.3.13	verse
72	b.JDG.3.14	verse
73	b.JDG.3.15	verse
74	b.JDG.3.16	verse
75	b.JDG.3.17	verse
76	b.JDG.3.18	verse
77	b.JDG.3.19	verse
78	b.JDG.3.20	verse
79	b.JDG.3.21	verse
80	b.JDG.3.22	verse
81	b.JDG.3.23	verse
82	b.JDG.3.24	verse
83	b.JDG.3.25	verse
84	b.JDG.3.26	verse
85	b.JDG.3.27	verse
86	b.JDG.3.28	verse
87	b.JDG.3.29	verse
88	b.JDG.3.30	verse
89	b.JDG.3.31	verse
90	b.JDG.4.1	verse
91	b.JDG.4.2	verse
92	b.JDG.4.3	verse
93	b.JDG.4.4	verse
94	b.JDG.4.5	verse
95	b.JDG.4.6	verse
96	b.JDG.4.7	verse
97	b.JDG.4.8	verse
98	b.JDG.4.9	verse
99	b.JDG.4.10	verse
100	b.JDG.4.11	verse
101	b.JDG.4.12	verse
102	b.JDG.4.13	verse
103	b.JDG.4.14	verse
104	b.JDG.4.15	verse
105	b.JDG.4.16	verse
106	b.JDG.4.17	verse
107	b.JDG.4.18	verse
108	b.JDG.4.19	verse
109	b.JDG.4.20	verse
110	b.JDG.4.21	verse
111	b.JDG.4.22	verse
112	b.JDG.4.23	verse
113	b.JDG.4.24	verse
114	b.JDG.5.1	verse
115	b.JDG.5.2	verse
116	b.JDG.5.3	verse
117	b.JDG.5.4	verse
118	b.JDG.5.5	verse
119	b.JDG.5.6	verse
120	b.JDG.5.7	verse
121	b.JDG.5.8	verse
122	b.JDG.5.9	verse
123	b.JDG.5.10	verse
124	b.JDG.5.11	verse
125	b.JDG.5.12	verse
126	b.JDG.5.13	verse
127	b.JDG.5.14	verse
128	b.JDG.5.15	verse
129	b.JDG.5.16	verse
130	b.JDG.5.17	verse
131	b.JDG.5.18	verse
132	b.JDG.5.19	verse
133	b.JDG.5.20	verse
134	b.JDG.5.21	verse
135	b.JDG.5.22	verse
136	b.JDG.5.23	verse
137	b.JDG.5.24	verse
138	b.JDG.5.25	verse
139	b.JDG.5.26	verse
140	b.JDG.5.27	verse
141	b.JDG.5.28	verse
142	b.JDG.5.29	verse
143	b.JDG.5.30	verse
144	b.JDG.5.31	verse
145	b.JDG.6.1	verse
146	b.JDG.6.2	verse
147	b.JDG.6.3	verse
148	b.JDG.6.4	verse
149	b.JDG.6.5	verse
150	b.JDG.6.6	verse
151	b.JDG.6.7	verse
152	b.JDG.6.8	verse
153	b.JDG.6.9	verse
154	b.JDG.6.10	verse
155	b.JDG.6.11	verse
156	b.JDG.6.12	verse
157	b.JDG.6.13	verse
158	b.JDG.6.14	verse
159	b.JDG.6.15	verse
160	b.JDG.6.16	verse
161	b.JDG.6.17	verse
162	b.JDG.6.18	verse
163	b.JDG.6.19	verse
164	b.JDG.6.20	verse
165	b.JDG.6.21	verse
166	b.JDG.6.22	verse
167	b.JDG.6.23	verse
168	b.JDG.6.24	verse
169	b.JDG.6.25	verse
170	b.JDG.6.26	verse
171	b.JDG.6.27	verse
172	b.JDG.6.28	verse
173	b.JDG.6.29	verse
174	b.JDG.6.30	verse
175	b.JDG.6.31	verse
176	b.JDG.6.32	verse
177	b.JDG.6.33	verse
178	b.JDG.6.34	verse
179	b.JDG.6.35	verse
180	b.JDG.6.36	verse
181	b.JDG.6.37	verse
182	b.JDG.6.38	verse
183	b.JDG.6.39	verse
184	b.JDG.6.40	verse
185	b.JDG.7.1	verse
186	b.JDG.7.2	verse
187	b.JDG.7.3	verse
188	b.JDG.7.4	verse
189	b.JDG.7.5	verse
190	b.JDG.7.6	verse
191	b.JDG.7.7	verse
192	b.JDG.7.8	verse
193	b.JDG.7.9	verse
194	b.JDG.7.10	verse
195	b.JDG.7.11	verse
196	b.JDG.7.12	verse
197	b.JDG.7.13	verse
198	b.JDG.7.14	verse
199	b.JDG.7.15	verse
200	b.JDG.7.16	verse
201	b.JDG.7.17	verse
202	b.JDG.7.18	verse
203	b.JDG.7.19	verse
204	b.JDG.7.20	verse
205	b.JDG.7.21	verse
206	b.JDG.7.22	verse
207	b.JDG.7.23	verse
208	b.JDG.7.24	verse
209	b.JDG.7.25	verse
210	b.JDG.8.1	verse
211	b.JDG.8.2	verse
212	b.JDG.8.3	verse
213	b.JDG.8.4	verse
214	b.JDG.8.5	verse
215	b.JDG.8.6	verse
216	b.JDG.8.7	verse
217	b.JDG.8.8	verse
218	b.JDG.8.9	verse
219	b.JDG.8.10	verse
220	b.JDG.8.11	verse
221	b.JDG.8.12	verse
222	b.JDG.8.13	verse
223	b.JDG.8.14	verse
224	b.JDG.8.15	verse
225	b.JDG.8.16	verse
226	b.JDG.8.17	verse
227	b.JDG.8.18	verse
228	b.JDG.8.19	verse
229	b.JDG.8.20	verse
230	b.JDG.8.21	verse
231	b.JDG.8.22	verse
232	b.JDG.8.23	verse
233	b.JDG.8.24	verse
234	b.JDG.8.25	verse
235	b.JDG.8.26	verse
236	b.JDG.8.27	verse
237	b.JDG.8.28	verse
238	b.JDG.8.29	verse
239	b.JDG.8.30	verse
240	b.JDG.8.31	verse
241	b.JDG.8.32	verse
242	b.JDG.8.33	verse
243	b.JDG.8.34	verse
244	b.JDG.8.35	verse
245	b.JDG.9.1	verse
246	b.JDG.9.2	verse
247	b.JDG.9.3	verse
248	b.JDG.9.4	verse
249	b.JDG.9.5	verse
250	b.JDG.9.6	verse
251	b.JDG.9.7	verse
252	b.JDG.9.8	verse
253	b.JDG.9.9	verse
254	b.JDG.9.10	verse
255	b.JDG.9.11	verse
256	b.JDG.9.12	verse
