	Source	Target	Via	Weight	Type
91	#per996	#org0	song	30	Directed
96	#per14	#per991	oral	15	Directed
9	#per1032	#org239	oral	14	Directed
113	#org190	#org244	oral	14	Directed
127	#per14	#org70	oral	14	Directed
6	#per691	#org244	oral	13	Directed
8	#org70	#org70	oral	12	Directed
10	#per1006	#per990	oral	8	Directed
54	#thin0	#thin0	oral	8	Directed
21	#per990	#org53	oral	7	Directed
14	#org70	#per14	prayer	6	Directed
83	#org70	#org50	oral	6	Directed
85	#org4	#per994	oral	5	Directed
48	#per990	#per1006	oral	5	Directed
31	#org91	#org91	oral	5	Directed
109	#org25	#org25	oral	4	Directed
73	#per1040	#per994	oral	4	Directed
124	#per991	#org4	oral	4	Directed
3	#org46	#org70	oral	4	Directed
32	#per690	#per14	song	4	Directed
92	#org4	#per1040	oral	4	Directed
76	#per996	#per690	oral	4	Directed
105	#per991	#per14	prayer	4	Directed
2	#org39	#org46	oral	4	Directed
15	#per991	#org236	oral	3	Directed
38	#org4	#per991	oral	3	Directed
33	#org4	#org70	oral	3	Directed
16	#org91	#per992	oral	3	Directed
26	#per1043	#org91	oral	3	Directed
141	#org25	#per691	oral	3	Directed
25	#per991	#org70	oral	3	Directed
58	#per1009	#per1024	oral	3	Directed
1	#org91	#per1043	oral	3	Directed
87	#org70	#org46	oral	3	Directed
119	#org53	#org53	oral	3	Directed
75	#org8	#org70	oral	3	Directed
84	#org39	#per990	oral	3	Directed
80	#per997	#per1016	oral	2	Directed
67	#per995	#per991	oral	2	Directed
69	#per14	#org22	oral	2	Directed
82	#per999	#per1009	oral	2	Directed
78	#org236	#per991	oral	2	Directed
86	#org233	#org233	oral	2	Directed
0	#per990	#per14	prayer	2	Directed
89	#per14	#org0	oral	2	Directed
90	#per691	#org93	oral	2	Directed
139	#org39	#org93	oral	2	Directed
138	#per994	#per14	prayer	2	Directed
136	#org50	#org50	oral	2	Directed
134	#per991	#org93	oral	2	Directed
132	#org46	#org131	oral	2	Directed
122	#org53	#per990	oral	2	Directed
114	#per991	#org24	oral	2	Directed
112	#per990	#per1041	oral	2	Directed
110	#per691	#org25	oral	2	Directed
106	#per994	#org4	oral	2	Directed
64	#per991	#per995	oral	2	Directed
103	#org4	#org0	oral	2	Directed
101	#org93	#org242	oral	2	Directed
98	#per14	#per690	soCalled	2	Directed
94	#per691	#per1037	oral	2	Directed
66	#per691	#per14	prayer	2	Directed
71	#org93	#org242	idea	2	Directed
34	#org93	#org50	oral	2	Directed
53	#per1009	#per999	oral	2	Directed
7	#per999	#org239	oral	2	Directed
11	#per1028	#org0	oral	2	Directed
12	#org93	#org39	oral	2	Directed
17	#org242	#org93	oral	2	Directed
35	#per992	#per1043	oral	2	Directed
41	#per990	#org39	oral	2	Directed
47	#per1008	#per992	oral	2	Directed
52	#per993	#per1003	oral	2	Directed
142	#per990	#per994	oral	2	Directed
60	#per1037	#per691	oral	2	Directed
57	#org140	#org140	oral	2	Directed
125	#org50	#org93	oral	1	Directed
123	#per1006	#org140	oral	1	Directed
19	#org53	#per656	prayer	1	Directed
121	#per994	#per990	oral	1	Directed
120	#per991	#org237	oral	1	Directed
20	#org131	#org0	oral	1	Directed
118	#org70	#per14	oral	1	Directed
74	#org70	#per998	oral	1	Directed
117	#per1024	#org24	oral	1	Directed
116	#per1041	#per990	oral	1	Directed
115	#per690	#per996	oral	1	Directed
22	#org24	#org0	oral	1	Directed
23	#per690	#org25	song	1	Directed
24	#org93	#per991	oral	1	Directed
111	#per1042	#per990	oral	1	Directed
18	#per1003	#per690	oral	1	Directed
68	#org70	#org70	oath	1	Directed
126	#per1024	#org144	oral	1	Directed
28	#per992	#org91	oral	1	Directed
128	#per991	#org70	idea	1	Directed
129	#per999	#per1024	idea	1	Directed
130	#org53	#org39	oral	1	Directed
131	#per1003	#per993	oral	1	Directed
13	#per1018	#org0	oral	1	Directed
133	#per997	#org70	oral	1	Directed
135	#org22	#org70	oral	1	Directed
61	#per991	#per1029	oral	1	Directed
137	#org39	#org53	oral	1	Directed
65	#org70	#per919	oral	1	Directed
5	#org39	#org45	oral	1	Directed
140	#per1024	#org234	oral	1	Directed
4	#org244	#org190	oral	1	Directed
27	#org93	#per691	oral	1	Directed
108	#org24	#org0	idea	1	Directed
55	#per14	#org70	prayer	1	Directed
70	#org140	#per1006	oral	1	Directed
56	#org242	#org242	oral	1	Directed
77	#org53	#per1041	oral	1	Directed
72	#org234	#org234	oral	1	Directed
79	#per992	#per992	thought	1	Directed
51	#org190	#org0	oral	1	Directed
81	#org70	#org85	oral	1	Directed
50	#per1043	#per992	oral	1	Directed
49	#per708	#org0	oral	1	Directed
46	#per915	#per708	oral	1	Directed
45	#org190	#org93	oral	1	Directed
44	#org50	#org249	idea	1	Directed
88	#per990	#per990	thought	1	Directed
43	#per994	#org4	prayer	1	Directed
42	#per992	#per1008	oral	1	Directed
40	#org243	#per691	oral	1	Directed
107	#per708	#per915	oral	1	Directed
93	#per998	#org70	oral	1	Directed
39	#org46	#org21	oral	1	Directed
95	#org0	#org0	oral	1	Directed
37	#org0	#org0	soCalled	1	Directed
97	#org234	#org239	idea	1	Directed
36	#org70	#org100	oral	1	Directed
99	#per1003	#org0	idea	1	Directed
100	#per990	#per1042	oral	1	Directed
59	#per1009	#org0	oral	1	Directed
102	#org70	#per991	oral	1	Directed
62	#org131	#org46	oral	1	Directed
104	#per1016	#per997	oral	1	Directed
30	#per994	#per1040	oral	1	Directed
29	#org0	#org53	oral	1	Directed
63	#per990	#org0	oral	1	Directed
