	Source	Target	Weight	Type
0	#org39	#org65	3	Undirected
1	#org39	#per1441	7	Undirected
2	#org16	#pla3	1	Undirected
3	#org273	#pla832	2	Undirected
4	#per1438	#per626	1	Undirected
5	#org39	#pla3	88	Undirected
6	#per1158	#pla545	1	Undirected
7	#per861	#pla3	23	Undirected
8	#org82	#per15	8	Undirected
9	#org24	#pla485	1	Undirected
10	#org8	#pla3	8	Undirected
11	#org82	#pla5	1	Undirected
12	#org24	#per1134	4	Undirected
13	#pla528	#pla614	1	Undirected
14	#per1072	#pla3	1	Undirected
15	#org24	#pla3	37	Undirected
16	#pla545	#pla614	1	Undirected
17	#per1268	#per1451	1	Undirected
18	#per1068	#per15	16	Undirected
19	#per1479	#per975	1	Undirected
20	#per1491	#per15	1	Undirected
21	#per861	#pla246	1	Undirected
22	#per14	#pla72	15	Undirected
23	#org24	#pla835	1	Undirected
24	#org113	#pla41	1	Undirected
25	#org239	#pla30	1	Undirected
26	#per1405	#per1435	7	Undirected
27	#org100	#pla848	1	Undirected
28	#per1092	#per1441	1	Undirected
29	#pla269	#pla81	1	Undirected
30	#pla113	#pla841	1	Undirected
31	#per14	#pla442	7	Undirected
32	#org25	#pla832	2	Undirected
33	#org24	#per1162	1	Undirected
34	#per1059	#per1441	2	Undirected
35	#per14	#per1449	1	Undirected
36	#org113	#pla69	1	Undirected
37	#per1119	#per1313	1	Undirected
38	#org101	#pla2	1	Undirected
39	#pla268	#pla81	1	Undirected
40	#org81	#pla506	1	Undirected
41	#org88	#pla6	1	Undirected
42	#org190	#pla22	1	Undirected
43	#org0	#per14	210	Undirected
44	#org12	#wor1	1	Undirected
45	#org271	#pla3	1	Undirected
46	#org0	#pla23	1	Undirected
47	#org12	#pla69	7	Undirected
48	#per1436	#pla2	2	Undirected
49	#per1463	#pla4	1	Undirected
50	#org151	#per1460	2	Undirected
51	#org39	#pla454	1	Undirected
52	#per1353	#per1475	1	Undirected
53	#per1143	#per1202	1	Undirected
54	#per1072	#per1434	6	Undirected
55	#org24	#per1316	1	Undirected
56	#org183	#pla30	1	Undirected
57	#org39	#pla51	2	Undirected
58	#per1434	#pla485	2	Undirected
59	#org133	#pla851	1	Undirected
60	#org70	#pla2	14	Undirected
61	#org81	#pla362	1	Undirected
62	#org21	#per15	1	Undirected
63	#org39	#pla64	1	Undirected
64	#org22	#pla30	1	Undirected
65	#per1119	#per1202	1	Undirected
66	#per1467	#per861	1	Undirected
67	#per14	#pla296	1	Undirected
68	#per15	#pla448	2	Undirected
69	#per1108	#per1445	1	Undirected
70	#org133	#pla57	1	Undirected
71	#org25	#pla69	6	Undirected
72	#org22	#per15	21	Undirected
73	#org0	#org81	7	Undirected
74	#org65	#pla153	1	Undirected
75	#org0	#pla738	1	Undirected
76	#org82	#per1158	2	Undirected
77	#per14	#tim9	4	Undirected
78	#org39	#per1405	6	Undirected
79	#org101	#per14	29	Undirected
80	#org102	#org103	1	Undirected
81	#org104	#pla4	1	Undirected
82	#org0	#pla17	2	Undirected
83	#org172	#pla3	29	Undirected
84	#org174	#pla81	1	Undirected
85	#org70	#pla826	5	Undirected
86	#per15	#pla30	33	Undirected
87	#per1202	#wor12	1	Undirected
88	#org39	#pla156	3	Undirected
89	#org151	#per1103	1	Undirected
90	#per1059	#pla639	1	Undirected
91	#org24	#per1444	3	Undirected
92	#per1103	#per1450	4	Undirected
93	#org24	#pla287	1	Undirected
94	#org274	#pla69	5	Undirected
95	#pla30	#pla485	1	Undirected
96	#per1273	#per1441	1	Undirected
97	#per14	#pla839	3	Undirected
98	#per1436	#pla69	5	Undirected
99	#pla451	#pla454	3	Undirected
100	#pla80	#pla849	1	Undirected
101	#per1480	#pla69	2	Undirected
102	#org221	#per14	3	Undirected
103	#org271	#per1273	1	Undirected
104	#pla290	#pla545	1	Undirected
105	#org101	#pla41	2	Undirected
106	#org100	#pla111	1	Undirected
107	#pla2	#pla3	27	Undirected
108	#org143	#per15	20	Undirected
109	#org103	#org65	1	Undirected
110	#org122	#per1072	1	Undirected
111	#per1068	#pla30	4	Undirected
112	#org12	#per861	3	Undirected
113	#pla112	#pla321	3	Undirected
114	#per14	#pla827	1	Undirected
115	#org266	#per15	3	Undirected
116	#org81	#pla845	1	Undirected
117	#org70	#pla131	1	Undirected
118	#per14	#pla838	3	Undirected
119	#per15	#pla547	5	Undirected
120	#org101	#org65	2	Undirected
121	#org24	#pla354	2	Undirected
122	#org171	#per1069	1	Undirected
123	#org133	#org171	1	Undirected
124	#per1092	#per1130	2	Undirected
125	#org70	#pla41	14	Undirected
126	#pla393	#pla5	1	Undirected
127	#per15	#pla311	1	Undirected
128	#per1162	#per15	5	Undirected
129	#org12	#per1313	1	Undirected
130	#org268	#per15	10	Undirected
131	#pla488	#pla528	1	Undirected
132	#per14	#pla137	3	Undirected
133	#per14	#per4	7	Undirected
134	#org50	#pla3	1	Undirected
135	#per1158	#per1438	1	Undirected
136	#pla69	#pla813	1	Undirected
137	#org100	#per968	1	Undirected
138	#org70	#per4	6	Undirected
139	#org19	#pla3	1	Undirected
140	#per15	#pla110	1	Undirected
141	#per1069	#per15	1	Undirected
142	#org13	#pla448	1	Undirected
143	#pla303	#pla485	1	Undirected
144	#org39	#per1162	2	Undirected
145	#org144	#org272	1	Undirected
146	#org195	#per861	4	Undirected
147	#pla528	#pla545	1	Undirected
148	#per1447	#per975	2	Undirected
149	#org24	#pla853	1	Undirected
150	#org13	#per15	3	Undirected
151	#per1073	#per1130	1	Undirected
152	#per1158	#pla118	1	Undirected
153	#org100	#pla316	1	Undirected
154	#per1085	#per15	1	Undirected
155	#org268	#pla112	1	Undirected
156	#per1434	#pla69	2	Undirected
157	#org273	#per15	2	Undirected
158	#org25	#per646	1	Undirected
159	#per1158	#per1455	1	Undirected
160	#per14	#pla539	1	Undirected
161	#per1119	#per1447	1	Undirected
162	#org0	#org174	1	Undirected
163	#per1062	#per1158	1	Undirected
164	#per1158	#per1460	1	Undirected
165	#org172	#per35	2	Undirected
166	#pla30	#pla72	2	Undirected
167	#org143	#per1437	1	Undirected
168	#per1073	#per14	1	Undirected
169	#pla149	#pla813	1	Undirected
170	#per1158	#pla2	4	Undirected
171	#pla14	#pla41	1	Undirected
172	#per650	#pla3	2	Undirected
173	#per1434	#pla3	1	Undirected
174	#org0	#per861	13	Undirected
175	#pla64	#wor12	1	Undirected
176	#org174	#org64	2	Undirected
177	#per1434	#per1472	1	Undirected
178	#per1158	#pla69	31	Undirected
179	#org39	#per1313	1	Undirected
180	#per1119	#per1471	2	Undirected
181	#org14	#pla111	1	Undirected
182	#per1273	#per14	1	Undirected
183	#org39	#org46	1	Undirected
184	#per15	#pla321	10	Undirected
185	#org239	#per1434	1	Undirected
186	#org70	#pla294	1	Undirected
187	#per1445	#per1481	1	Undirected
188	#org133	#org24	25	Undirected
