	id	type
0	b.JER.1.1	verse
1	b.JER.1.2	verse
2	b.JER.1.3	verse
3	b.JER.1.4	verse
4	b.JER.1.5	verse
5	b.JER.1.6	verse
6	b.JER.1.7	verse
7	b.JER.1.8	verse
8	b.JER.1.9	verse
9	b.JER.1.10	verse
10	b.JER.1.11	verse
11	b.JER.1.12	verse
12	b.JER.1.13	verse
13	b.JER.1.14	verse
14	b.JER.1.15	verse
15	b.JER.1.16	verse
16	b.JER.1.17	verse
17	b.JER.1.18	verse
18	b.JER.1.19	verse
19	b.JER.2.1	verse
20	b.JER.2.2	verse
21	b.JER.2.3	verse
22	b.JER.2.4	verse
23	b.JER.2.5	verse
24	b.JER.2.6	verse
25	b.JER.2.7	verse
26	b.JER.2.8	verse
27	b.JER.2.9	verse
28	b.JER.2.10	verse
29	b.JER.2.11	verse
30	b.JER.2.12	verse
31	b.JER.2.13	verse
32	b.JER.2.14	verse
33	b.JER.2.15	verse
34	b.JER.2.16	verse
35	b.JER.2.17	verse
36	b.JER.2.18	verse
37	b.JER.2.19	verse
38	b.JER.2.20	verse
39	b.JER.2.21	verse
40	b.JER.2.22	verse
41	b.JER.2.23	verse
42	b.JER.2.24	verse
43	b.JER.2.25	verse
44	b.JER.2.26	verse
45	b.JER.2.27	verse
46	b.JER.2.28	verse
47	b.JER.2.29	verse
48	b.JER.2.30	verse
49	b.JER.2.31	verse
50	b.JER.2.32	verse
51	b.JER.2.33	verse
52	b.JER.2.34	verse
53	b.JER.2.35	verse
54	b.JER.2.36	verse
55	b.JER.2.37	verse
56	b.JER.3.1	verse
57	b.JER.3.2	verse
58	b.JER.3.3	verse
59	b.JER.3.4	verse
60	b.JER.3.5	verse
61	b.JER.3.6	verse
62	b.JER.3.7	verse
63	b.JER.3.8	verse
64	b.JER.3.9	verse
65	b.JER.3.10	verse
66	b.JER.3.11	verse
67	b.JER.3.12	verse
68	b.JER.3.13	verse
69	b.JER.3.14	verse
70	b.JER.3.15	verse
71	b.JER.3.16	verse
72	b.JER.3.17	verse
73	b.JER.3.18	verse
74	b.JER.3.19	verse
75	b.JER.3.20	verse
76	b.JER.3.21	verse
77	b.JER.3.22	verse
78	b.JER.3.23	verse
79	b.JER.3.24	verse
80	b.JER.3.25	verse
81	b.JER.4.1	verse
82	b.JER.4.2	verse
83	b.JER.4.3	verse
84	b.JER.4.4	verse
85	b.JER.4.5	verse
86	b.JER.4.6	verse
87	b.JER.4.7	verse
88	b.JER.4.8	verse
89	b.JER.4.9	verse
90	b.JER.4.10	verse
91	b.JER.4.11	verse
92	b.JER.4.12	verse
93	b.JER.4.13	verse
94	b.JER.4.14	verse
95	b.JER.4.15	verse
96	b.JER.4.16	verse
97	b.JER.4.17	verse
98	b.JER.4.18	verse
99	b.JER.4.19	verse
100	b.JER.4.20	verse
101	b.JER.4.21	verse
102	b.JER.4.22	verse
103	b.JER.4.23	verse
104	b.JER.4.24	verse
105	b.JER.4.25	verse
106	b.JER.4.26	verse
107	b.JER.4.27	verse
108	b.JER.4.28	verse
109	b.JER.4.29	verse
110	b.JER.4.30	verse
111	b.JER.4.31	verse
112	b.JER.5.1	verse
113	b.JER.5.2	verse
114	b.JER.5.3	verse
115	b.JER.5.4	verse
116	b.JER.5.5	verse
117	b.JER.5.6	verse
118	b.JER.5.7	verse
119	b.JER.5.8	verse
120	b.JER.5.9	verse
121	b.JER.5.10	verse
122	b.JER.5.11	verse
123	b.JER.5.12	verse
124	b.JER.5.13	verse
125	b.JER.5.14	verse
126	b.JER.5.15	verse
127	b.JER.5.16	verse
128	b.JER.5.17	verse
129	b.JER.5.18	verse
130	b.JER.5.19	verse
131	b.JER.5.20	verse
132	b.JER.5.21	verse
133	b.JER.5.22	verse
134	b.JER.5.23	verse
135	b.JER.5.24	verse
136	b.JER.5.25	verse
137	b.JER.5.26	verse
138	b.JER.5.27	verse
139	b.JER.5.28	verse
140	b.JER.5.29	verse
141	b.JER.5.30	verse
142	b.JER.5.31	verse
143	b.JER.6.1	verse
144	b.JER.6.2	verse
145	b.JER.6.3	verse
146	b.JER.6.4	verse
147	b.JER.6.5	verse
148	b.JER.6.6	verse
149	b.JER.6.7	verse
150	b.JER.6.8	verse
151	b.JER.6.9	verse
152	b.JER.6.10	verse
153	b.JER.6.11	verse
154	b.JER.6.12	verse
155	b.JER.6.13	verse
156	b.JER.6.14	verse
157	b.JER.6.15	verse
158	b.JER.6.16	verse
159	b.JER.6.17	verse
160	b.JER.6.18	verse
161	b.JER.6.19	verse
162	b.JER.6.20	verse
163	b.JER.6.21	verse
164	b.JER.6.22	verse
165	b.JER.6.23	verse
166	b.JER.6.24	verse
167	b.JER.6.25	verse
168	b.JER.6.26	verse
169	b.JER.6.27	verse
170	b.JER.6.28	verse
171	b.JER.6.29	verse
172	b.JER.6.30	verse
173	b.JER.7.1	verse
174	b.JER.7.2	verse
175	b.JER.7.3	verse
176	b.JER.7.4	verse
177	b.JER.7.5	verse
178	b.JER.7.6	verse
179	b.JER.7.7	verse
180	b.JER.7.8	verse
181	b.JER.7.9	verse
182	b.JER.7.10	verse
183	b.JER.7.11	verse
184	b.JER.7.12	verse
185	b.JER.7.13	verse
186	b.JER.7.14	verse
187	b.JER.7.15	verse
188	b.JER.7.16	verse
189	b.JER.7.17	verse
190	b.JER.7.18	verse
191	b.JER.7.19	verse
192	b.JER.7.20	verse
193	b.JER.7.21	verse
194	b.JER.7.22	verse
195	b.JER.7.23	verse
196	b.JER.7.24	verse
197	b.JER.7.25	verse
198	b.JER.7.26	verse
199	b.JER.7.27	verse
200	b.JER.7.28	verse
201	b.JER.7.29	verse
202	b.JER.7.30	verse
203	b.JER.7.31	verse
204	b.JER.7.32	verse
205	b.JER.7.33	verse
206	b.JER.7.34	verse
207	b.JER.8.1	verse
208	b.JER.8.2	verse
209	b.JER.8.3	verse
210	b.JER.8.4	verse
211	b.JER.8.5	verse
212	b.JER.8.6	verse
213	b.JER.8.7	verse
214	b.JER.8.8	verse
215	b.JER.8.9	verse
216	b.JER.8.10	verse
217	b.JER.8.11	verse
218	b.JER.8.12	verse
219	b.JER.8.13	verse
220	b.JER.8.14	verse
221	b.JER.8.15	verse
222	b.JER.8.16	verse
223	b.JER.8.17	verse
224	b.JER.8.18	verse
225	b.JER.8.19	verse
226	b.JER.8.20	verse
227	b.JER.8.21	verse
228	b.JER.8.22	verse
229	b.JER.9.1	verse
230	b.JER.9.2	verse
231	b.JER.9.3	verse
232	b.JER.9.4	verse
233	b.JER.9.5	verse
234	b.JER.9.6	verse
235	b.JER.9.7	verse
236	b.JER.9.8	verse
237	b.JER.9.9	verse
238	b.JER.9.10	verse
239	b.JER.9.11	verse
240	b.JER.9.12	verse
241	b.JER.9.13	verse
242	b.JER.9.14	verse
243	b.JER.9.15	verse
244	b.JER.9.16	verse
245	b.JER.9.17	verse
246	b.JER.9.18	verse
247	b.JER.9.19	verse
248	b.JER.9.20	verse
249	b.JER.9.21	verse
250	b.JER.9.22	verse
251	b.JER.9.23	verse
252	b.JER.9.24	verse
253	b.JER.9.25	verse
254	b.JER.9.26	verse
255	b.JER.10.1	verse
256	b.JER.10.2	verse
