	Source	Target	Weight	Type
0	#per1119	#per1461	1	Undirected
1	#org111	#org171	1	Undirected
2	#org0	#per650	1	Undirected
3	#org0	#per16	1	Undirected
4	#org104	#org143	1	Undirected
5	#per1202	#per1490	1	Undirected
6	#org64	#per1158	12	Undirected
7	#org0	#org100	9	Undirected
8	#per14	#per1438	3	Undirected
9	#org64	#pla3	18	Undirected
10	#per1072	#pla4	1	Undirected
11	#org13	#pla303	3	Undirected
12	#org12	#org25	12	Undirected
13	#org81	#pla842	1	Undirected
14	#org0	#pla454	1	Undirected
15	#org151	#pla321	1	Undirected
16	#org81	#pla488	3	Undirected
17	#org151	#org25	4	Undirected
18	#org39	#org5	1	Undirected
19	#per1462	#pla41	1	Undirected
20	#org16	#org70	8	Undirected
21	#org190	#pla813	1	Undirected
22	#org172	#pla321	1	Undirected
23	#org39	#wor1	4	Undirected
24	#org268	#per14	10	Undirected
25	#pla246	#pla5	1	Undirected
26	#org171	#per4	2	Undirected
27	#per1436	#per1438	1	Undirected
28	#org270	#per15	1	Undirected
29	#org151	#pla2	5	Undirected
30	#org39	#pla6	2	Undirected
31	#org104	#per14	1	Undirected
32	#org143	#pla4	1	Undirected
33	#org24	#per1059	1	Undirected
34	#per1467	#pla69	1	Undirected
35	#per1434	#per1475	1	Undirected
36	#org39	#per1481	1	Undirected
37	#per1460	#pla2	1	Undirected
38	#org0	#org171	6	Undirected
39	#pla841	#pla847	1	Undirected
40	#org0	#org122	3	Undirected
41	#org12	#pla30	7	Undirected
42	#org64	#pla30	1	Undirected
43	#per1105	#per15	1	Undirected
44	#per1105	#pla315	1	Undirected
45	#pla113	#pla841	1	Undirected
46	#per1092	#per1454	1	Undirected
47	#per1158	#pla69	31	Undirected
48	#per15	#pla264	3	Undirected
49	#per1073	#per14	1	Undirected
50	#org24	#per1444	3	Undirected
51	#org114	#org171	1	Undirected
52	#org171	#pla69	14	Undirected
53	#per861	#pla495	2	Undirected
54	#org12	#per975	1	Undirected
55	#per1072	#pla485	1	Undirected
56	#per1143	#per1487	1	Undirected
57	#org12	#per861	3	Undirected
58	#pla321	#pla400	1	Undirected
59	#per1457	#pla69	2	Undirected
60	#org273	#org274	1	Undirected
61	#org39	#per646	1	Undirected
62	#org0	#per1440	1	Undirected
63	#org13	#per1103	1	Undirected
64	#per1353	#per1434	10	Undirected
65	#org0	#pla545	1	Undirected
66	#org25	#per1451	2	Undirected
67	#org12	#per1068	2	Undirected
68	#per1103	#pla639	3	Undirected
69	#pla427	#pla846	1	Undirected
70	#org117	#per14	1	Undirected
71	#org39	#per1162	2	Undirected
72	#org113	#per15	5	Undirected
73	#pla23	#pla3	1	Undirected
74	#org39	#pla69	58	Undirected
75	#per39	#pla30	1	Undirected
76	#org39	#pla23	1	Undirected
77	#org101	#pla838	1	Undirected
78	#org82	#per1158	2	Undirected
79	#org103	#org172	5	Undirected
80	#per1461	#per15	2	Undirected
81	#org151	#pla354	1	Undirected
82	#per1437	#per1441	1	Undirected
83	#org274	#pla69	5	Undirected
84	#org230	#per1134	1	Undirected
85	#per14	#pla30	42	Undirected
86	#org102	#org70	3	Undirected
87	#per1436	#pla30	1	Undirected
88	#org64	#org70	4	Undirected
89	#per1206	#per15	1	Undirected
90	#org24	#pla90	1	Undirected
91	#per1438	#per646	1	Undirected
92	#per14	#per26	1	Undirected
93	#pla547	#pla826	3	Undirected
94	#org25	#per975	7	Undirected
95	#per975	#pla3	5	Undirected
96	#org161	#per14	2	Undirected
97	#org225	#per1158	1	Undirected
98	#org25	#per1126	1	Undirected
99	#org151	#pla112	1	Undirected
100	#org39	#per1225	2	Undirected
101	#per3	#per35	1	Undirected
102	#org171	#org22	1	Undirected
103	#pla311	#pla57	1	Undirected
104	#pla545	#pla600	1	Undirected
105	#org171	#per1353	2	Undirected
106	#per650	#pla2	1	Undirected
107	#org112	#org122	1	Undirected
108	#org25	#pla5	2	Undirected
109	#org122	#pla303	1	Undirected
110	#org8	#pla5	1	Undirected
111	#org102	#org16	2	Undirected
112	#per15	#pla830	3	Undirected
113	#org39	#pla354	1	Undirected
114	#org24	#per1474	4	Undirected
115	#per14	#pla797	1	Undirected
116	#org39	#org8	51	Undirected
117	#per1103	#per626	1	Undirected
118	#org38	#per15	1	Undirected
119	#pla525	#pla844	1	Undirected
120	#org102	#per14	9	Undirected
121	#pla488	#pla841	1	Undirected
122	#org239	#pla302	1	Undirected
123	#per1490	#per15	1	Undirected
124	#org19	#per14	21	Undirected
125	#per1440	#per15	1	Undirected
126	#org39	#pla3	88	Undirected
127	#org133	#org171	1	Undirected
128	#per1316	#per14	2	Undirected
129	#per15	#pla173	1	Undirected
130	#per1103	#per1486	1	Undirected
131	#org18	#per14	3	Undirected
132	#org14	#per15	8	Undirected
133	#org64	#pla5	1	Undirected
134	#org0	#per14	210	Undirected
135	#org39	#org50	1	Undirected
136	#per1202	#per1313	1	Undirected
137	#org39	#per1405	6	Undirected
138	#org151	#org46	1	Undirected
139	#pla303	#pla69	1	Undirected
140	#per1443	#pla69	2	Undirected
141	#per15	#pla4	56	Undirected
142	#pla2	#pla4	2	Undirected
143	#per14	#pla162	1	Undirected
144	#org133	#pla72	5	Undirected
145	#org195	#per15	7	Undirected
146	#per1068	#pla41	1	Undirected
147	#per1158	#per1478	1	Undirected
148	#org265	#org70	1	Undirected
149	#org0	#per642	1	Undirected
150	#org122	#per15	10	Undirected
151	#org81	#per14	47	Undirected
152	#pla267	#pla269	1	Undirected
153	#pla41	#pla422	1	Undirected
154	#org0	#org174	1	Undirected
155	#per14	#pla742	1	Undirected
156	#org24	#per1441	2	Undirected
157	#org268	#pla112	1	Undirected
158	#org100	#pla813	1	Undirected
