	Source	Target	Weight	Type
0	#org0	#per845	112	Undirected
1	#pla41	#tim3	1	Undirected
2	#org165	#org168	4	Undirected
3	#per845	#per850	1	Undirected
4	#org102	#per846	25	Undirected
5	#per847	#tim3	1	Undirected
6	#org95	#pla41	1	Undirected
7	#org122	#per845	8	Undirected
8	#per845	#pla414	1	Undirected
9	#pla15	#pla41	1	Undirected
10	#per847	#pla18	3	Undirected
11	#per851	#pla39	1	Undirected
12	#per845	#per854	144	Undirected
13	#per847	#per853	1	Undirected
14	#per14	#per20	18	Undirected
15	#org18	#per14	4	Undirected
16	#org4	#per14	4	Undirected
17	#org168	#per14	1	Undirected
18	#org0	#tim3	1	Undirected
19	#per14	#pla414	1	Undirected
20	#per475	#per851	1	Undirected
21	#per845	#wor1	1	Undirected
22	#per845	#pla298	1	Undirected
23	#per20	#pla41	5	Undirected
24	#org122	#per855	1	Undirected
25	#org165	#per847	2	Undirected
26	#org95	#per847	3	Undirected
27	#org0	#per14	42	Undirected
28	#org19	#per854	7	Undirected
29	#org18	#per854	3	Undirected
30	#per14	#per475	5	Undirected
31	#per845	#tim3	1	Undirected
32	#org102	#per853	1	Undirected
33	#org100	#org19	2	Undirected
34	#per14	#per17	1	Undirected
35	#org122	#per850	1	Undirected
36	#org15	#per851	1	Undirected
37	#org0	#org18	4	Undirected
38	#org167	#per14	2	Undirected
39	#per847	#pla298	1	Undirected
40	#org19	#pla41	2	Undirected
41	#per846	#tim2	1	Undirected
42	#per845	#per856	1	Undirected
43	#org15	#per845	1	Undirected
44	#org0	#org165	1	Undirected
45	#org0	#org19	7	Undirected
46	#org0	#org168	1	Undirected
47	#org102	#per851	36	Undirected
48	#org101	#per14	1	Undirected
49	#per851	#pla15	10	Undirected
50	#org122	#per848	1	Undirected
51	#per854	#pla415	1	Undirected
52	#per846	#pla162	1	Undirected
53	#org0	#per852	1	Undirected
54	#per847	#pla42	1	Undirected
55	#per14	#per846	105	Undirected
56	#per20	#per846	7	Undirected
57	#org19	#per20	1	Undirected
58	#org165	#pla41	2	Undirected
59	#per14	#per847	106	Undirected
60	#per846	#per853	1	Undirected
61	#per847	#per856	1	Undirected
62	#org18	#per847	5	Undirected
63	#org6	#per851	1	Undirected
64	#per846	#pla18	3	Undirected
65	#org167	#per851	3	Undirected
66	#per854	#pla41	7	Undirected
67	#per100	#per845	1	Undirected
68	#org102	#org18	2	Undirected
69	#per100	#per847	1	Undirected
70	#org102	#org122	1	Undirected
71	#org12	#per845	1	Undirected
72	#per17	#per851	1	Undirected
73	#org102	#org24	1	Undirected
74	#org102	#per847	27	Undirected
75	#org0	#per851	73	Undirected
76	#org0	#per854	42	Undirected
77	#per846	#per849	2	Undirected
78	#per845	#per851	669	Undirected
79	#per846	#pla39	2	Undirected
80	#per14	#per845	360	Undirected
81	#per845	#per849	4	Undirected
82	#org168	#per851	4	Undirected
83	#per14	#per851	142	Undirected
84	#org25	#per846	4	Undirected
85	#org102	#per854	5	Undirected
86	#org0	#org102	2	Undirected
87	#org0	#per17	1	Undirected
88	#org169	#per845	3	Undirected
89	#per475	#per846	1	Undirected
90	#per20	#per847	5	Undirected
91	#org100	#pla41	2	Undirected
92	#per847	#pla15	8	Undirected
93	#per475	#per847	1	Undirected
94	#org18	#org19	3	Undirected
95	#org0	#org122	4	Undirected
96	#org168	#org64	1	Undirected
97	#per846	#per847	477	Undirected
98	#per850	#pla41	1	Undirected
99	#org100	#per854	3	Undirected
100	#org79	#per851	1	Undirected
101	#per845	#per855	1	Undirected
102	#per847	#pla41	13	Undirected
103	#org19	#org95	1	Undirected
104	#per851	#per856	1	Undirected
105	#org131	#per845	1	Undirected
106	#org24	#per851	2	Undirected
107	#per851	#per853	1	Undirected
108	#per855	#pla41	1	Undirected
109	#per845	#pla415	1	Undirected
110	#per851	#pla161	1	Undirected
111	#org4	#per20	2	Undirected
112	#org19	#tim2	1	Undirected
113	#org165	#per850	2	Undirected
114	#per845	#pla162	1	Undirected
115	#org122	#per847	3	Undirected
116	#org122	#per14	3	Undirected
117	#per849	#per851	2	Undirected
118	#per845	#pla9	1	Undirected
119	#org102	#per14	1	Undirected
120	#per851	#pla41	19	Undirected
121	#org79	#per845	1	Undirected
122	#per14	#pla15	5	Undirected
123	#org25	#per845	5	Undirected
124	#per845	#per852	1	Undirected
125	#org100	#org131	1	Undirected
126	#per850	#per855	3	Undirected
127	#org10	#per845	1	Undirected
128	#org122	#org165	1	Undirected
129	#per845	#per848	1	Undirected
130	#per475	#per845	6	Undirected
131	#per846	#pla15	8	Undirected
132	#per846	#per854	29	Undirected
133	#org165	#per845	12	Undirected
134	#per100	#per846	1	Undirected
135	#per851	#tim2	1	Undirected
136	#org18	#per846	6	Undirected
137	#per846	#pla161	1	Undirected
138	#org4	#per846	2	Undirected
139	#per847	#pla39	1	Undirected
140	#per851	#pla18	4	Undirected
141	#org102	#org19	4	Undirected
142	#org4	#org6	2	Undirected
143	#org95	#per846	3	Undirected
144	#org100	#org12	1	Undirected
145	#per17	#per854	2	Undirected
146	#org167	#org169	2	Undirected
147	#org24	#per14	1	Undirected
148	#org19	#per851	54	Undirected
149	#per145	#per845	1	Undirected
150	#per145	#per851	1	Undirected
151	#org0	#org100	2	Undirected
152	#org100	#per851	16	Undirected
153	#org4	#per851	7	Undirected
154	#per851	#pla162	1	Undirected
155	#org12	#per846	1	Undirected
156	#org4	#per847	1	Undirected
157	#org122	#per851	4	Undirected
158	#per845	#pla41	35	Undirected
159	#per846	#pla158	1	Undirected
160	#per846	#per856	1	Undirected
161	#org101	#per846	3	Undirected
162	#org100	#org102	1	Undirected
163	#per847	#tim2	1	Undirected
164	#per14	#per854	38	Undirected
165	#per845	#pla161	1	Undirected
166	#per100	#per851	1	Undirected
167	#per851	#per854	128	Undirected
168	#org168	#per846	4	Undirected
169	#org165	#org166	1	Undirected
170	#org101	#per851	3	Undirected
171	#org19	#pla15	2	Undirected
172	#org165	#org64	1	Undirected
173	#org165	#per20	1	Undirected
174	#org6	#per845	1	Undirected
175	#org4	#per845	9	Undirected
