	Source	Target	Weight	Type
0	#per14	#pla18	3	Undirected
1	#org100	#per846	11	Undirected
2	#org6	#per20	2	Undirected
3	#org122	#per848	1	Undirected
4	#org167	#per851	3	Undirected
5	#org19	#pla41	2	Undirected
6	#per475	#per845	6	Undirected
7	#org15	#per846	1	Undirected
8	#per856	#pla415	1	Undirected
9	#per475	#per846	1	Undirected
10	#per846	#pla162	1	Undirected
11	#per851	#pla15	10	Undirected
12	#per846	#pla42	2	Undirected
13	#per845	#per856	1	Undirected
14	#org102	#per846	25	Undirected
15	#org165	#per849	1	Undirected
16	#org100	#org131	1	Undirected
17	#org131	#per847	1	Undirected
18	#org79	#per854	1	Undirected
19	#org18	#per851	19	Undirected
20	#org165	#per855	2	Undirected
21	#org165	#per845	12	Undirected
22	#per20	#per845	16	Undirected
23	#org0	#pla41	4	Undirected
24	#per475	#pla41	1	Undirected
25	#org122	#per850	1	Undirected
26	#org168	#per14	1	Undirected
27	#org0	#org168	1	Undirected
28	#org102	#per851	36	Undirected
29	#per847	#pla162	1	Undirected
30	#per851	#pla41	19	Undirected
31	#org95	#per847	3	Undirected
32	#per847	#pla298	1	Undirected
33	#per851	#per852	1	Undirected
34	#org79	#per851	1	Undirected
35	#per850	#per855	3	Undirected
36	#org6	#per846	1	Undirected
37	#org15	#per847	1	Undirected
38	#per846	#pla18	3	Undirected
39	#org101	#per847	3	Undirected
40	#org100	#per845	16	Undirected
41	#per847	#per849	2	Undirected
42	#org0	#pla15	4	Undirected
43	#org19	#org95	1	Undirected
44	#org12	#per851	1	Undirected
45	#org19	#per846	39	Undirected
46	#org165	#per848	2	Undirected
47	#per17	#per845	2	Undirected
48	#per845	#pla414	1	Undirected
49	#per845	#tim2	1	Undirected
50	#org165	#per846	3	Undirected
51	#org168	#org24	1	Undirected
52	#per851	#pla162	1	Undirected
53	#per846	#per853	1	Undirected
54	#org0	#org122	4	Undirected
55	#org122	#per851	4	Undirected
56	#per847	#per856	1	Undirected
57	#org0	#per20	3	Undirected
58	#per851	#pla18	4	Undirected
59	#per850	#pla41	1	Undirected
60	#per14	#per846	105	Undirected
61	#org95	#pla41	1	Undirected
62	#org101	#per845	3	Undirected
63	#org165	#per851	2	Undirected
64	#per851	#pla161	1	Undirected
65	#per845	#per850	1	Undirected
66	#org165	#org166	1	Undirected
67	#org25	#per845	5	Undirected
68	#org122	#per846	4	Undirected
69	#org0	#org4	1	Undirected
70	#org167	#org169	2	Undirected
71	#org19	#per845	72	Undirected
72	#org4	#per851	7	Undirected
73	#org25	#per14	1	Undirected
74	#per17	#per851	1	Undirected
75	#org122	#org165	1	Undirected
76	#per845	#tim3	1	Undirected
77	#org24	#per846	2	Undirected
78	#per845	#per855	1	Undirected
79	#per145	#per845	1	Undirected
80	#org165	#org168	4	Undirected
81	#per846	#tim2	1	Undirected
82	#org19	#per14	20	Undirected
83	#pla41	#tim3	1	Undirected
84	#per845	#pla15	16	Undirected
85	#org102	#org122	1	Undirected
86	#per854	#pla41	7	Undirected
87	#org0	#org100	2	Undirected
88	#org100	#org102	1	Undirected
89	#per20	#per851	6	Undirected
90	#per845	#pla41	35	Undirected
91	#org4	#per14	4	Undirected
92	#per14	#per851	142	Undirected
93	#org167	#per14	2	Undirected
94	#org0	#per845	112	Undirected
95	#org0	#per852	1	Undirected
96	#per847	#pla42	1	Undirected
97	#org122	#per847	3	Undirected
98	#org102	#org18	2	Undirected
99	#org64	#per845	1	Undirected
100	#org100	#pla41	2	Undirected
101	#org0	#org102	2	Undirected
102	#per848	#per855	3	Undirected
103	#org122	#per14	3	Undirected
104	#org6	#per847	1	Undirected
105	#per14	#per20	18	Undirected
106	#per845	#pla9	1	Undirected
107	#org18	#per845	23	Undirected
108	#per17	#per854	2	Undirected
109	#org0	#org131	1	Undirected
110	#org25	#per847	4	Undirected
111	#org6	#per14	2	Undirected
112	#per847	#pla161	1	Undirected
113	#per20	#pla41	5	Undirected
114	#per846	#per856	1	Undirected
115	#org101	#per851	3	Undirected
116	#org101	#per846	3	Undirected
117	#org0	#tim3	1	Undirected
118	#org168	#per846	4	Undirected
119	#per845	#per848	1	Undirected
120	#org169	#per847	3	Undirected
121	#org165	#org64	1	Undirected
122	#per846	#per851	477	Undirected
123	#org167	#per846	3	Undirected
124	#per845	#pla39	2	Undirected
125	#org165	#per850	2	Undirected
126	#per846	#pla39	2	Undirected
127	#org95	#per846	3	Undirected
128	#per845	#per851	669	Undirected
129	#org15	#per845	1	Undirected
130	#org0	#per17	1	Undirected
131	#org24	#per845	4	Undirected
132	#org18	#per847	5	Undirected
133	#org122	#pla41	1	Undirected
134	#org25	#per846	4	Undirected
135	#org19	#pla15	2	Undirected
136	#per848	#per850	3	Undirected
137	#org102	#per845	38	Undirected
138	#per845	#per846	506	Undirected
139	#org4	#per20	2	Undirected
140	#per845	#pla162	1	Undirected
141	#per851	#pla158	2	Undirected
142	#org100	#per854	3	Undirected
143	#org4	#org6	2	Undirected
144	#org95	#per845	3	Undirected
145	#pla162	#pla298	1	Undirected
146	#per851	#per856	1	Undirected
147	#org169	#per846	3	Undirected
148	#org4	#per845	9	Undirected
149	#per14	#pla415	1	Undirected
150	#per845	#per852	1	Undirected
151	#org165	#org24	1	Undirected
152	#per14	#per17	1	Undirected
153	#org102	#per854	5	Undirected
154	#per845	#per854	144	Undirected
155	#per100	#per846	1	Undirected
156	#per846	#per847	477	Undirected
157	#org102	#per853	1	Undirected
158	#org169	#per845	3	Undirected
159	#per846	#pla161	1	Undirected
160	#per14	#pla41	12	Undirected
161	#per851	#per853	1	Undirected
162	#per100	#per845	1	Undirected
163	#org24	#per847	2	Undirected
164	#org19	#tim2	1	Undirected
165	#per845	#pla161	1	Undirected
166	#per20	#per846	7	Undirected
167	#org168	#per845	9	Undirected
168	#org24	#per14	1	Undirected
169	#org165	#per847	2	Undirected
170	#per847	#tim2	1	Undirected
171	#per854	#per856	2	Undirected
172	#org131	#per851	1	Undirected
173	#per847	#pla39	1	Undirected
174	#org168	#per847	4	Undirected
