	Source	Target	Via	Weight	Type
20	#per845	#per846	oral	287	Directed
7	#per845	#per851	oral	159	Directed
34	#per854	#per845	oral	140	Directed
39	#per14	#per845	oral	123	Directed
9	#per851	#per845	oral	110	Directed
13	#per845	#per14	oral	81	Directed
17	#per847	#per845	oral	47	Directed
14	#per846	#per845	oral	47	Directed
31	#per854	#per846	oral	17	Directed
0	#per845	#org0	oral	15	Directed
2	#per20	#per14	oral	7	Directed
1	#per14	#per20	oral	6	Directed
3	#org165	#per845	oral	6	Directed
10	#org4	#per851	oral	5	Directed
8	#org0	#org0	oral	5	Directed
25	#org19	#per14	oral	3	Directed
40	#per14	#per851	oral	2	Directed
12	#per845	#per845	oral	2	Directed
19	#org19	#org0	oral	2	Directed
21	#per845	#per20	oral	2	Directed
36	#org0	#per14	prayer	2	Directed
26	#per845	#per851	socalled	2	Directed
32	#per854	#org0	oral	2	Directed
30	#org168	#org0	oral	1	Directed
38	#org0	#per14	soCaled	1	Directed
37	#org18	#org0	oral	1	Directed
35	#org0	#org0	soCalled	1	Directed
6	#per845	#per849	oral	1	Directed
33	#per846	#org0	oral	1	Directed
4	#per845	#per14	prayer	1	Directed
16	#per845	#org0	soCalled	1	Directed
29	#per14	#org0	oral	1	Directed
5	#per849	#per845	oral	1	Directed
27	#org18	#org18	soCalled	1	Directed
11	#per845	#per851	soCalled	1	Directed
24	#per851	#per851	idea	1	Directed
23	#per847	#per847	idea	1	Directed
22	#per846	#per846	idea	1	Directed
15	#org0	#per14	soCalled	1	Directed
18	#per845	#per846	soCalled	1	Directed
28	#per20	#org0	oral	1	Directed
