	Source	Target	Weight	Type
0	#pla4	#pla794	1	Undirected
1	#per1045	#pla72	7	Undirected
2	#org118	#pla4	1	Undirected
3	#org70	#pla795	1	Undirected
4	#per14	#pla23	1	Undirected
5	#org0	#org15	1	Undirected
6	#org166	#per1045	1	Undirected
7	#per14	#pla22	1	Undirected
8	#per14	#pla316	1	Undirected
9	#per14	#pla18	1	Undirected
10	#org70	#tim2	5	Undirected
11	#org21	#per14	1	Undirected
12	#per14	#pla41	6	Undirected
13	#org166	#pla2	1	Undirected
14	#per14	#pla4	6	Undirected
15	#org0	#org24	1	Undirected
16	#pla153	#pla273	1	Undirected
17	#pla2	#pla4	1	Undirected
18	#org39	#pla5	1	Undirected
19	#per1045	#pla18	1	Undirected
20	#pla23	#pla316	1	Undirected
21	#org131	#per1045	1	Undirected
22	#org171	#per14	1	Undirected
23	#org172	#pla4	1	Undirected
24	#org39	#pla246	1	Undirected
25	#org24	#per14	2	Undirected
26	#pla30	#pla4	1	Undirected
27	#per14	#pla72	7	Undirected
28	#org70	#pla794	2	Undirected
29	#pla72	#tim2	1	Undirected
30	#org18	#per14	1	Undirected
31	#org15	#per14	1	Undirected
32	#org25	#per14	3	Undirected
33	#per14	#pla291	1	Undirected
34	#per1045	#pla291	1	Undirected
35	#org172	#pla2	1	Undirected
36	#org12	#per1045	3	Undirected
37	#per1045	#pla23	1	Undirected
38	#per1045	#per1046	1	Undirected
39	#org24	#org70	2	Undirected
40	#org0	#pla794	2	Undirected
41	#per1046	#per14	1	Undirected
42	#org19	#org70	3	Undirected
43	#org172	#per1045	1	Undirected
44	#org70	#pla153	1	Undirected
45	#org22	#per1045	1	Undirected
46	#org118	#org39	1	Undirected
47	#org25	#pla41	1	Undirected
48	#org70	#pla72	7	Undirected
49	#org39	#pla2	3	Undirected
50	#per1045	#pla5	1	Undirected
51	#org19	#pla4	1	Undirected
52	#per1045	#pla795	1	Undirected
53	#per1045	#pla77	1	Undirected
54	#org16	#pla72	1	Undirected
55	#org39	#per1045	3	Undirected
56	#pla2	#pla3	3	Undirected
57	#per1045	#tim2	5	Undirected
58	#org12	#per14	3	Undirected
59	#org0	#org70	11	Undirected
60	#pla2	#pla246	1	Undirected
61	#org19	#per1045	3	Undirected
62	#org70	#pla41	6	Undirected
63	#org70	#pla4	6	Undirected
64	#org18	#org70	1	Undirected
65	#org70	#pla316	1	Undirected
66	#org24	#per1045	2	Undirected
67	#per14	#pla246	1	Undirected
68	#org22	#per14	1	Undirected
69	#org166	#org19	1	Undirected
70	#per1045	#pla316	1	Undirected
71	#org39	#org70	3	Undirected
72	#org0	#per14	11	Undirected
73	#per1045	#per14	73	Undirected
74	#org171	#pla2	1	Undirected
75	#org70	#pla22	1	Undirected
76	#org0	#org12	1	Undirected
77	#org21	#org70	1	Undirected
78	#org19	#per14	3	Undirected
79	#org70	#pla23	1	Undirected
80	#org0	#pla795	1	Undirected
81	#pla41	#tim2	1	Undirected
82	#org25	#pla4	1	Undirected
83	#per14	#pla2	6	Undirected
84	#org15	#per1045	1	Undirected
85	#org18	#per1045	1	Undirected
86	#pla41	#pla77	1	Undirected
87	#org19	#org39	1	Undirected
88	#org0	#org18	1	Undirected
89	#org118	#pla3	1	Undirected
90	#org0	#per1045	11	Undirected
91	#org12	#pla30	2	Undirected
92	#org16	#org70	1	Undirected
93	#org70	#pla291	1	Undirected
94	#org70	#pla5	1	Undirected
95	#org171	#pla3	1	Undirected
96	#per1045	#pla153	1	Undirected
97	#org19	#pla2	1	Undirected
98	#org12	#org70	3	Undirected
99	#per1045	#pla2	6	Undirected
100	#org172	#per14	1	Undirected
101	#org70	#per17	2	Undirected
102	#per1045	#pla273	1	Undirected
103	#org70	#pla2	6	Undirected
104	#per14	#pla794	2	Undirected
105	#org70	#pla3	6	Undirected
106	#org0	#pla4	1	Undirected
107	#org166	#org39	1	Undirected
108	#pla41	#pla72	1	Undirected
109	#org22	#org70	1	Undirected
110	#org172	#org39	1	Undirected
111	#pla2	#pla291	1	Undirected
112	#org25	#per1045	3	Undirected
113	#org22	#pla41	1	Undirected
114	#org16	#pla3	1	Undirected
115	#per14	#per17	2	Undirected
116	#org131	#per17	1	Undirected
117	#pla4	#pla72	1	Undirected
118	#org22	#org25	1	Undirected
119	#org25	#pla30	1	Undirected
120	#pla22	#pla23	1	Undirected
121	#org16	#per1045	1	Undirected
122	#org131	#per14	1	Undirected
123	#per14	#tim2	5	Undirected
124	#org25	#org70	3	Undirected
125	#pla3	#pla4	2	Undirected
126	#org39	#per14	3	Undirected
127	#pla2	#pla5	1	Undirected
128	#org70	#per1045	72	Undirected
129	#org118	#pla2	1	Undirected
130	#org0	#per17	1	Undirected
131	#org16	#per14	1	Undirected
132	#org171	#per1045	1	Undirected
133	#org70	#pla273	1	Undirected
134	#per14	#pla5	1	Undirected
135	#per1045	#pla3	6	Undirected
136	#org118	#per1045	1	Undirected
137	#org166	#org70	1	Undirected
138	#org15	#org70	1	Undirected
139	#per1045	#pla30	4	Undirected
140	#org21	#per1045	1	Undirected
141	#per1045	#pla4	6	Undirected
142	#pla18	#pla41	1	Undirected
143	#org118	#per14	1	Undirected
144	#org166	#per14	1	Undirected
145	#org118	#org172	1	Undirected
146	#org70	#pla246	1	Undirected
147	#per14	#pla153	1	Undirected
148	#per1045	#pla246	1	Undirected
149	#per1045	#pla22	1	Undirected
150	#per14	#pla77	1	Undirected
151	#org118	#org70	1	Undirected
152	#org70	#pla77	1	Undirected
153	#pla246	#pla5	1	Undirected
154	#org24	#tim2	1	Undirected
155	#org39	#pla3	1	Undirected
156	#org70	#pla18	1	Undirected
157	#per14	#pla3	6	Undirected
158	#per1045	#pla41	6	Undirected
159	#per14	#pla30	4	Undirected
160	#org39	#pla4	1	Undirected
161	#pla3	#pla72	3	Undirected
162	#per1045	#per17	2	Undirected
163	#org172	#pla3	1	Undirected
164	#org131	#org70	1	Undirected
165	#org172	#org70	1	Undirected
166	#per14	#pla795	1	Undirected
167	#org70	#per14	72	Undirected
168	#org171	#org70	1	Undirected
169	#per1045	#pla794	2	Undirected
170	#per14	#pla273	1	Undirected
171	#org70	#pla30	4	Undirected
172	#pla22	#pla316	1	Undirected
