	id	type
0	b.JOE.1.1	verse
1	b.JOE.1.2	verse
2	b.JOE.1.3	verse
3	b.JOE.1.4	verse
4	b.JOE.1.5	verse
5	b.JOE.1.6	verse
6	b.JOE.1.7	verse
7	b.JOE.1.8	verse
8	b.JOE.1.9	verse
9	b.JOE.1.10	verse
10	b.JOE.1.11	verse
11	b.JOE.1.12	verse
12	b.JOE.1.13	verse
13	b.JOE.1.14	verse
14	b.JOE.1.15	verse
15	b.JOE.1.16	verse
16	b.JOE.1.17	verse
17	b.JOE.1.18	verse
18	b.JOE.1.19	verse
19	b.JOE.1.20	verse
20	b.JOE.2.1	verse
21	b.JOE.2.2	verse
22	b.JOE.2.3	verse
23	b.JOE.2.4	verse
24	b.JOE.2.5	verse
25	b.JOE.2.6	verse
26	b.JOE.2.7	verse
27	b.JOE.2.8	verse
28	b.JOE.2.9	verse
29	b.JOE.2.10	verse
30	b.JOE.2.11	verse
31	b.JOE.2.12	verse
32	b.JOE.2.13	verse
33	b.JOE.2.14	verse
34	b.JOE.2.15	verse
35	b.JOE.2.16	verse
36	b.JOE.2.17	verse
37	b.JOE.2.18	verse
38	b.JOE.2.19	verse
39	b.JOE.2.20	verse
40	b.JOE.2.21	verse
41	b.JOE.2.22	verse
42	b.JOE.2.23	verse
43	b.JOE.2.24	verse
44	b.JOE.2.25	verse
45	b.JOE.2.26	verse
46	b.JOE.2.27	verse
47	b.JOE.2.28	verse
48	b.JOE.2.29	verse
49	b.JOE.2.30	verse
50	b.JOE.2.31	verse
51	b.JOE.2.32	verse
52	b.JOE.3.1	verse
53	b.JOE.3.2	verse
54	b.JOE.3.3	verse
55	b.JOE.3.4	verse
56	b.JOE.3.5	verse
57	b.JOE.3.6	verse
58	b.JOE.3.7	verse
59	b.JOE.3.8	verse
60	b.JOE.3.9	verse
61	b.JOE.3.10	verse
62	b.JOE.3.11	verse
63	b.JOE.3.12	verse
64	b.JOE.3.13	verse
65	b.JOE.3.14	verse
66	b.JOE.3.15	verse
67	b.JOE.3.16	verse
68	b.JOE.3.17	verse
69	b.JOE.3.18	verse
70	b.JOE.3.19	verse
71	b.JOE.3.20	verse
72	b.JOE.3.21	verse
