	Source	Target	Weight	Type
0	#org131	#per17	1	Undirected
1	#org15	#org70	1	Undirected
2	#org18	#per14	1	Undirected
3	#pla2	#pla3	3	Undirected
4	#per1045	#per1046	1	Undirected
5	#org70	#pla3	6	Undirected
6	#org70	#pla30	4	Undirected
7	#per1045	#pla246	1	Undirected
8	#pla18	#pla41	1	Undirected
9	#org70	#pla41	6	Undirected
10	#per14	#pla3	6	Undirected
11	#per1046	#per14	1	Undirected
12	#org19	#per14	3	Undirected
13	#org70	#pla2	6	Undirected
14	#org70	#pla153	1	Undirected
15	#org0	#pla794	2	Undirected
16	#org118	#pla2	1	Undirected
17	#org70	#pla246	1	Undirected
18	#per1045	#per14	73	Undirected
19	#per14	#pla23	1	Undirected
20	#org166	#org70	1	Undirected
21	#org39	#pla5	1	Undirected
22	#per14	#pla5	1	Undirected
23	#org12	#org70	3	Undirected
24	#org166	#per1045	1	Undirected
25	#org21	#per14	1	Undirected
26	#org166	#org19	1	Undirected
27	#pla4	#pla72	1	Undirected
28	#org25	#per1045	3	Undirected
29	#per1045	#pla18	1	Undirected
30	#per14	#pla18	1	Undirected
31	#per14	#pla794	2	Undirected
32	#org172	#org70	1	Undirected
33	#org19	#org39	1	Undirected
34	#per14	#pla795	1	Undirected
35	#per14	#tim2	5	Undirected
36	#org16	#pla72	1	Undirected
37	#org70	#pla77	1	Undirected
38	#org0	#org24	1	Undirected
39	#per14	#pla72	7	Undirected
40	#org25	#pla30	1	Undirected
41	#org171	#per1045	1	Undirected
42	#pla2	#pla5	1	Undirected
43	#org22	#pla41	1	Undirected
44	#org39	#pla246	1	Undirected
45	#pla22	#pla23	1	Undirected
46	#per1045	#per17	2	Undirected
47	#pla41	#pla77	1	Undirected
48	#per1045	#pla273	1	Undirected
49	#org0	#org18	1	Undirected
50	#org16	#org70	1	Undirected
51	#org39	#pla4	1	Undirected
52	#org166	#org39	1	Undirected
53	#per1045	#pla3	6	Undirected
54	#org70	#pla273	1	Undirected
55	#org39	#pla3	1	Undirected
56	#org172	#per1045	1	Undirected
57	#per14	#pla4	6	Undirected
58	#per1045	#pla4	6	Undirected
59	#pla3	#pla72	3	Undirected
60	#org70	#pla291	1	Undirected
61	#org118	#org39	1	Undirected
62	#per1045	#tim2	5	Undirected
63	#pla4	#pla794	1	Undirected
64	#org25	#pla41	1	Undirected
65	#org15	#per14	1	Undirected
66	#pla2	#pla291	1	Undirected
67	#org70	#per14	72	Undirected
68	#org171	#pla3	1	Undirected
69	#org131	#org70	1	Undirected
70	#org172	#pla3	1	Undirected
71	#org22	#per14	1	Undirected
72	#per14	#pla153	1	Undirected
73	#org21	#org70	1	Undirected
74	#org118	#pla4	1	Undirected
75	#pla2	#pla4	1	Undirected
76	#per1045	#pla795	1	Undirected
77	#org12	#pla30	2	Undirected
78	#per14	#per17	2	Undirected
79	#org70	#pla5	1	Undirected
80	#org19	#pla2	1	Undirected
81	#per14	#pla41	6	Undirected
82	#per1045	#pla41	6	Undirected
83	#per14	#pla246	1	Undirected
84	#pla3	#pla4	2	Undirected
85	#per14	#pla273	1	Undirected
86	#org118	#pla3	1	Undirected
87	#per14	#pla2	6	Undirected
88	#org118	#org70	1	Undirected
89	#org12	#per1045	3	Undirected
90	#org171	#org70	1	Undirected
91	#org0	#org12	1	Undirected
92	#org24	#org70	2	Undirected
93	#org19	#org70	3	Undirected
94	#org131	#per14	1	Undirected
95	#org0	#pla795	1	Undirected
96	#per14	#pla77	1	Undirected
97	#org70	#pla23	1	Undirected
98	#per1045	#pla77	1	Undirected
99	#org18	#per1045	1	Undirected
100	#org172	#per14	1	Undirected
101	#org172	#org39	1	Undirected
102	#org171	#pla2	1	Undirected
103	#per1045	#pla5	1	Undirected
104	#org0	#org70	11	Undirected
105	#org39	#per14	3	Undirected
106	#org70	#pla18	1	Undirected
107	#org0	#per1045	11	Undirected
108	#org21	#per1045	1	Undirected
109	#org25	#org70	3	Undirected
110	#per1045	#pla30	4	Undirected
111	#per14	#pla22	1	Undirected
112	#per14	#pla30	4	Undirected
113	#per1045	#pla794	2	Undirected
114	#org24	#per1045	2	Undirected
115	#org19	#pla4	1	Undirected
116	#org172	#pla4	1	Undirected
117	#pla22	#pla316	1	Undirected
118	#org70	#pla795	1	Undirected
119	#org22	#org25	1	Undirected
120	#org118	#org172	1	Undirected
121	#org19	#per1045	3	Undirected
122	#org172	#pla2	1	Undirected
123	#org39	#org70	3	Undirected
124	#org70	#pla316	1	Undirected
125	#pla30	#pla4	1	Undirected
126	#org16	#per14	1	Undirected
127	#org0	#per17	1	Undirected
128	#org22	#org70	1	Undirected
129	#org15	#per1045	1	Undirected
130	#per1045	#pla22	1	Undirected
131	#org39	#pla2	3	Undirected
132	#pla2	#pla246	1	Undirected
133	#pla153	#pla273	1	Undirected
134	#per1045	#pla291	1	Undirected
135	#org118	#per1045	1	Undirected
136	#org70	#pla4	6	Undirected
137	#per1045	#pla153	1	Undirected
138	#org70	#pla22	1	Undirected
139	#per14	#pla316	1	Undirected
140	#pla246	#pla5	1	Undirected
141	#per1045	#pla316	1	Undirected
142	#org166	#pla2	1	Undirected
143	#org25	#pla4	1	Undirected
144	#org16	#per1045	1	Undirected
145	#org18	#org70	1	Undirected
146	#org0	#pla4	1	Undirected
147	#org0	#org15	1	Undirected
148	#per1045	#pla72	7	Undirected
149	#per1045	#pla23	1	Undirected
150	#org70	#per17	2	Undirected
151	#org70	#tim2	5	Undirected
152	#org0	#per14	11	Undirected
153	#pla41	#tim2	1	Undirected
154	#org70	#pla72	7	Undirected
155	#org22	#per1045	1	Undirected
156	#org171	#per14	1	Undirected
157	#org24	#per14	2	Undirected
158	#pla23	#pla316	1	Undirected
159	#org166	#per14	1	Undirected
160	#org12	#per14	3	Undirected
161	#org70	#pla794	2	Undirected
162	#org131	#per1045	1	Undirected
163	#per1045	#pla2	6	Undirected
164	#per14	#pla291	1	Undirected
165	#org70	#per1045	72	Undirected
166	#pla72	#tim2	1	Undirected
167	#pla41	#pla72	1	Undirected
168	#org39	#per1045	3	Undirected
169	#org118	#per14	1	Undirected
170	#org16	#pla3	1	Undirected
171	#org25	#per14	3	Undirected
172	#org24	#tim2	1	Undirected
