	Source	Target	Weight	Type
0	#org0	#pla1	1	Undirected
1	#org0	#org24	2	Undirected
2	#org15	#org2	5	Undirected
3	#per17	#per18	3	Undirected
4	#per1	#per11	7	Undirected
5	#org13	#tim9	5	Undirected
6	#org3	#per1	188	Undirected
7	#per14	#per21	3	Undirected
8	#org0	#per0	2	Undirected
9	#per21	#per40	4	Undirected
10	#org0	#per35	1	Undirected
11	#per12	#wor1	1	Undirected
12	#org0	#per17	2	Undirected
13	#per28	#pla8	2	Undirected
14	#per21	#per58	1	Undirected
15	#org8	#per103	1	Undirected
16	#per1	#per20	5	Undirected
17	#per14	#per22	2	Undirected
18	#per20	#per34	2	Undirected
19	#per14	#pla19	2	Undirected
20	#org15	#pla30	1	Undirected
21	#per1	#tim1	4	Undirected
22	#per50	#tim9	1	Undirected
23	#per61	#pla35	1	Undirected
24	#per1	#pla58	1	Undirected
25	#org24	#per48	1	Undirected
26	#per1	#pla53	1	Undirected
27	#per107	#pla31	1	Undirected
28	#org13	#org24	2	Undirected
29	#per1	#pla2	6	Undirected
30	#org27	#pla9	1	Undirected
31	#org8	#per13	1	Undirected
32	#pla37	#tim5	1	Undirected
33	#pla45	#pla7	1	Undirected
34	#org3	#per50	3	Undirected
35	#pla43	#pla55	2	Undirected
36	#org3	#pla55	1	Undirected
37	#per28	#wor1	1	Undirected
38	#org2	#per103	3	Undirected
39	#org0	#pla7	2	Undirected
40	#per1	#pla11	3	Undirected
41	#per35	#wor1	1	Undirected
42	#per1	#per103	21	Undirected
43	#per22	#per23	1	Undirected
44	#per110	#per20	1	Undirected
45	#org13	#per107	4	Undirected
46	#org2	#per26	1	Undirected
47	#per22	#per53	1	Undirected
48	#per21	#per22	5	Undirected
49	#org8	#pla8	1	Undirected
50	#org8	#per18	2	Undirected
51	#per53	#pla48	1	Undirected
52	#org12	#per106	1	Undirected
53	#per1	#pla18	15	Undirected
54	#org2	#wor1	4	Undirected
55	#per1	#pla4	7	Undirected
56	#per1	#pla28	1	Undirected
57	#org2	#tim9	1	Undirected
58	#per25	#pla36	4	Undirected
59	#org2	#per13	2	Undirected
60	#pla57	#tim5	1	Undirected
61	#org2	#pla4	1	Undirected
62	#per18	#pla18	2	Undirected
63	#org12	#org29	1	Undirected
64	#per103	#per17	3	Undirected
65	#org0	#pla43	1	Undirected
66	#org27	#pla18	2	Undirected
67	#org0	#per26	2	Undirected
68	#per1	#per34	12	Undirected
69	#pla55	#pla7	1	Undirected
70	#per1	#pla59	1	Undirected
71	#per0	#per1	25	Undirected
72	#per14	#tim2	2	Undirected
73	#org0	#per22	6	Undirected
74	#org4	#per1	3	Undirected
75	#per21	#per48	4	Undirected
76	#pla3	#pla31	1	Undirected
77	#pla3	#pla7	1	Undirected
78	#org13	#per1	169	Undirected
79	#per0	#per112	1	Undirected
80	#org13	#tim1	1	Undirected
81	#org2	#org8	3	Undirected
82	#org12	#per103	2	Undirected
83	#org0	#org17	1	Undirected
84	#per0	#pla3	1	Undirected
85	#per11	#per58	1	Undirected
86	#per14	#tim5	1	Undirected
87	#org21	#per1	1	Undirected
88	#org13	#per50	18	Undirected
89	#org3	#pla11	2	Undirected
90	#per1	#pla9	1	Undirected
91	#org18	#per0	1	Undirected
92	#org13	#wor1	7	Undirected
93	#per1	#per26	10	Undirected
94	#per103	#pla18	1	Undirected
95	#org24	#per1	13	Undirected
96	#per106	#pla31	2	Undirected
97	#org4	#per58	1	Undirected
98	#pla2	#pla7	4	Undirected
99	#per58	#pla36	3	Undirected
100	#per1	#wor1	18	Undirected
101	#per21	#per23	1	Undirected
102	#org12	#per34	1	Undirected
103	#org0	#per19	2	Undirected
104	#org27	#per14	4	Undirected
105	#per14	#per26	3	Undirected
106	#org2	#per0	1	Undirected
107	#per30	#pla7	1	Undirected
108	#org24	#per34	5	Undirected
109	#org0	#org2	4	Undirected
110	#per112	#per48	3	Undirected
111	#per23	#per24	1	Undirected
112	#org13	#pla47	2	Undirected
113	#org2	#org24	7	Undirected
114	#org3	#per0	2	Undirected
115	#pla46	#pla9	1	Undirected
116	#per108	#tim2	1	Undirected
117	#per21	#per53	1	Undirected
118	#org13	#per48	2	Undirected
119	#org3	#per30	7	Undirected
120	#org3	#per26	1	Undirected
121	#org8	#per14	3	Undirected
122	#org0	#tim2	1	Undirected
123	#org13	#per0	1	Undirected
124	#org13	#org2	20	Undirected
125	#pla3	#tim10	1	Undirected
126	#per106	#per108	6	Undirected
127	#org12	#org24	8	Undirected
128	#pla11	#pla48	1	Undirected
129	#per0	#pla56	1	Undirected
130	#per1	#pla55	3	Undirected
131	#per23	#per30	1	Undirected
132	#per26	#tim9	2	Undirected
133	#org3	#per20	2	Undirected
134	#org13	#per20	1	Undirected
135	#per11	#pla11	1	Undirected
136	#pla3	#tim12	1	Undirected
137	#org0	#per18	15	Undirected
138	#per1	#pla35	1	Undirected
139	#pla11	#pla7	1	Undirected
140	#per1	#per110	10	Undirected
141	#per17	#pla19	1	Undirected
142	#per50	#per51	1	Undirected
143	#org3	#per106	2	Undirected
144	#per14	#pla18	6	Undirected
145	#org3	#wor1	3	Undirected
146	#org13	#tim5	7	Undirected
147	#per1	#per35	1	Undirected
148	#org6	#per2	1	Undirected
149	#org15	#per0	1	Undirected
150	#org13	#org17	1	Undirected
151	#org13	#pla30	3	Undirected
152	#org0	#org4	1	Undirected
153	#pla31	#tim5	1	Undirected
154	#org11	#pla11	1	Undirected
155	#per103	#pla4	1	Undirected
156	#per48	#pla47	1	Undirected
157	#org13	#per28	1	Undirected
158	#org3	#pla4	1	Undirected
159	#per1	#pla57	1	Undirected
160	#org12	#org8	1	Undirected
161	#per112	#per21	1	Undirected
162	#org0	#org15	8	Undirected
163	#org0	#tim11	1	Undirected
164	#per1	#per30	9	Undirected
165	#org0	#org8	1	Undirected
166	#per107	#per14	1	Undirected
167	#org6	#per1	2	Undirected
168	#per2	#per21	1	Undirected
169	#pla30	#pla4	1	Undirected
170	#org0	#per28	6	Undirected
171	#per11	#tim10	1	Undirected
