	Source	Target	Weight	Type
0	#org3	#per50	3	Undirected
1	#org0	#pla4	2	Undirected
2	#org13	#org2	20	Undirected
3	#org13	#per11	1	Undirected
4	#per28	#per53	3	Undirected
5	#org13	#org24	2	Undirected
6	#per25	#per58	1	Undirected
7	#per106	#per108	6	Undirected
8	#per11	#tim10	1	Undirected
9	#per21	#per25	7	Undirected
10	#org11	#pla11	1	Undirected
11	#org12	#pla7	1	Undirected
12	#per1	#pla48	3	Undirected
13	#org13	#per28	1	Undirected
14	#org2	#org24	7	Undirected
15	#org12	#org13	4	Undirected
16	#pla3	#pla53	1	Undirected
17	#org3	#per17	8	Undirected
18	#org0	#per106	2	Undirected
19	#per24	#per30	1	Undirected
20	#per11	#per115	1	Undirected
21	#per1	#per113	1	Undirected
22	#pla46	#pla9	1	Undirected
23	#per1	#tim11	1	Undirected
24	#pla36	#tim1	1	Undirected
25	#per12	#pla8	1	Undirected
26	#org6	#per2	1	Undirected
27	#per1	#per115	1	Undirected
28	#tim9	#wor1	1	Undirected
29	#per14	#tim1	1	Undirected
30	#org17	#per1	2	Undirected
31	#pla37	#tim5	1	Undirected
32	#org12	#per42	1	Undirected
33	#per1	#per20	5	Undirected
34	#per11	#per113	1	Undirected
35	#org12	#per103	2	Undirected
36	#per0	#per21	3	Undirected
37	#per1	#pla53	1	Undirected
38	#org2	#per13	2	Undirected
39	#org3	#per30	7	Undirected
40	#pla3	#pla57	1	Undirected
41	#org0	#per22	6	Undirected
42	#org3	#per18	2	Undirected
43	#org0	#wor1	8	Undirected
44	#per14	#per58	1	Undirected
45	#org11	#org3	2	Undirected
46	#per104	#pla54	1	Undirected
47	#org106	#per106	1	Undirected
48	#org13	#per18	5	Undirected
49	#org0	#per50	2	Undirected
50	#per2	#per40	1	Undirected
51	#org6	#per1	2	Undirected
52	#org11	#per1	5	Undirected
53	#org15	#per108	2	Undirected
54	#org24	#per50	1	Undirected
55	#org15	#per1	18	Undirected
56	#org13	#per14	48	Undirected
57	#per58	#pla36	3	Undirected
58	#org24	#per0	1	Undirected
59	#per110	#per34	1	Undirected
60	#org4	#pla18	1	Undirected
61	#per23	#per24	1	Undirected
62	#org3	#pla11	2	Undirected
63	#org13	#tim2	2	Undirected
64	#org2	#pla47	1	Undirected
65	#org8	#per53	1	Undirected
66	#per110	#per20	1	Undirected
67	#pla30	#pla47	1	Undirected
68	#per108	#per14	4	Undirected
69	#org0	#per107	1	Undirected
70	#org15	#per107	3	Undirected
71	#org106	#org15	1	Undirected
72	#org0	#per28	6	Undirected
73	#org15	#per26	2	Undirected
74	#per1	#pla57	1	Undirected
75	#org27	#per18	13	Undirected
76	#org17	#pla54	1	Undirected
77	#per14	#wor1	3	Undirected
78	#per106	#pla31	2	Undirected
79	#per53	#pla48	1	Undirected
80	#per58	#tim1	1	Undirected
81	#org4	#per58	1	Undirected
82	#per21	#per22	5	Undirected
83	#per22	#per30	1	Undirected
84	#org0	#org13	14	Undirected
85	#per42	#per50	2	Undirected
86	#per48	#tim5	1	Undirected
87	#per11	#per58	1	Undirected
88	#per12	#per53	1	Undirected
89	#per1	#pla7	10	Undirected
90	#per106	#per107	5	Undirected
91	#per1	#wor2	1	Undirected
92	#org0	#per17	2	Undirected
93	#per18	#wor1	1	Undirected
94	#per28	#wor1	1	Undirected
95	#org0	#per21	2	Undirected
96	#per1	#per21	27	Undirected
97	#per103	#pla19	2	Undirected
98	#org6	#per14	1	Undirected
99	#org5	#per26	1	Undirected
100	#per14	#tim2	2	Undirected
101	#org15	#pla31	1	Undirected
102	#per14	#per2	1	Undirected
103	#per21	#pla43	1	Undirected
104	#org11	#per11	1	Undirected
105	#org8	#pla8	1	Undirected
106	#org0	#org17	1	Undirected
107	#org13	#per108	1	Undirected
108	#per1	#pla37	2	Undirected
109	#per1	#pla19	3	Undirected
110	#org2	#per103	3	Undirected
111	#pla57	#tim5	1	Undirected
112	#per24	#per53	1	Undirected
113	#per1	#per12	2	Undirected
114	#org12	#per18	1	Undirected
115	#org13	#pla36	1	Undirected
116	#per1	#per17	13	Undirected
117	#per18	#per26	1	Undirected
118	#per22	#per24	1	Undirected
119	#org0	#org2	4	Undirected
120	#per1	#tim5	7	Undirected
121	#org12	#pla30	1	Undirected
122	#per21	#per53	1	Undirected
123	#org0	#per19	2	Undirected
124	#org15	#per106	3	Undirected
125	#org3	#per110	10	Undirected
126	#org13	#per103	1	Undirected
127	#per106	#tim5	1	Undirected
128	#per21	#pla36	4	Undirected
129	#per35	#wor1	1	Undirected
130	#per20	#per34	2	Undirected
131	#org13	#org6	3	Undirected
132	#per26	#per53	1	Undirected
133	#org3	#per20	2	Undirected
134	#per11	#per25	2	Undirected
135	#per103	#per14	7	Undirected
136	#per14	#tim9	2	Undirected
137	#per23	#per30	1	Undirected
138	#per22	#per28	7	Undirected
139	#tim5	#tim9	1	Undirected
140	#org0	#tim1	1	Undirected
141	#per1	#per40	4	Undirected
142	#per103	#per17	3	Undirected
143	#org0	#per18	15	Undirected
144	#pla3	#tim12	1	Undirected
145	#per11	#pla11	1	Undirected
146	#per113	#per114	1	Undirected
147	#per50	#pla19	1	Undirected
148	#org2	#pla3	1	Undirected
149	#org13	#pla30	3	Undirected
150	#pla11	#pla48	1	Undirected
151	#per110	#per17	1	Undirected
152	#org13	#pla7	1	Undirected
153	#per18	#pla49	1	Undirected
154	#per50	#pla35	1	Undirected
155	#org3	#per21	11	Undirected
156	#org13	#pla19	1	Undirected
157	#per1	#pla47	3	Undirected
158	#org2	#tim9	1	Undirected
159	#per112	#per21	1	Undirected
160	#per25	#pla36	4	Undirected
161	#per14	#pla18	6	Undirected
162	#org13	#org27	1	Undirected
163	#org8	#per18	2	Undirected
164	#org0	#per11	2	Undirected
165	#per21	#per30	1	Undirected
166	#per21	#per34	1	Undirected
167	#per1	#pla36	2	Undirected
168	#per1	#per103	21	Undirected
169	#per18	#pla9	3	Undirected
170	#pla30	#pla4	1	Undirected
171	#per1	#per48	8	Undirected
172	#per1	#per53	6	Undirected
173	#pla11	#pla7	1	Undirected
174	#per1	#per35	1	Undirected
175	#org3	#per24	1	Undirected
176	#pla8	#wor1	1	Undirected
177	#per1	#pla56	1	Undirected
178	#org12	#org8	1	Undirected
179	#org13	#pla35	1	Undirected
180	#per0	#per1	25	Undirected
181	#org27	#org3	3	Undirected
182	#pla2	#pla7	4	Undirected
183	#org3	#per11	1	Undirected
184	#org2	#per19	1	Undirected
185	#per26	#tim9	2	Undirected
186	#pla11	#pla43	1	Undirected
187	#pla1	#wor1	1	Undirected
188	#org8	#per13	1	Undirected
189	#org13	#tim5	7	Undirected
190	#per23	#pla48	1	Undirected
191	#per17	#per28	2	Undirected
192	#per21	#per58	1	Undirected
193	#per114	#per58	1	Undirected
194	#org2	#org29	1	Undirected
195	#org28	#per30	1	Undirected
196	#per1	#tim9	4	Undirected
197	#pla3	#pla54	1	Undirected
198	#per14	#per21	3	Undirected
199	#pla45	#pla7	1	Undirected
200	#per48	#pla37	1	Undirected
201	#per1	#per42	1	Undirected
202	#per22	#per53	1	Undirected
203	#org3	#pla55	1	Undirected
204	#per1	#pla58	1	Undirected
205	#org0	#per1	77	Undirected
206	#org13	#pla57	2	Undirected
207	#per18	#pla46	1	Undirected
208	#org0	#org12	3	Undirected
209	#per105	#per34	3	Undirected
210	#per1	#pla55	3	Undirected
211	#org3	#pla4	1	Undirected
212	#per21	#pla45	1	Undirected
213	#per50	#tim9	1	Undirected
214	#per0	#per48	2	Undirected
215	#org2	#pla7	1	Undirected
216	#per103	#per26	1	Undirected
217	#per0	#per17	1	Undirected
218	#org13	#per20	1	Undirected
219	#per14	#per17	7	Undirected
220	#per110	#per14	5	Undirected
221	#per1	#pla1	1	Undirected
222	#per53	#pla7	1	Undirected
223	#org3	#per105	2	Undirected
224	#per1	#per26	10	Undirected
225	#per103	#pla4	1	Undirected
226	#org12	#per34	1	Undirected
227	#per107	#pla31	1	Undirected
228	#per48	#pla47	1	Undirected
229	#per14	#per26	3	Undirected
230	#org0	#per0	2	Undirected
231	#per1	#pla59	1	Undirected
232	#org3	#pla7	2	Undirected
233	#per111	#per21	1	Undirected
234	#per1	#pla4	7	Undirected
235	#per21	#per40	4	Undirected
236	#org106	#per107	1	Undirected
237	#per14	#pla4	2	Undirected
238	#org0	#tim11	1	Undirected
239	#org3	#per0	2	Undirected
240	#per107	#per108	7	Undirected
241	#org24	#wor1	2	Undirected
242	#org3	#per23	1	Undirected
243	#per1	#per11	7	Undirected
244	#per28	#pla45	2	Undirected
245	#per22	#pla7	1	Undirected
246	#org2	#org5	4	Undirected
247	#org12	#wor1	2	Undirected
248	#org0	#pla30	2	Undirected
249	#org12	#org2	15	Undirected
250	#per108	#tim2	1	Undirected
251	#org0	#pla18	6	Undirected
252	#org2	#org8	3	Undirected
253	#org0	#pla11	1	Undirected
254	#per53	#wor1	1	Undirected
255	#pla53	#pla54	2	Undirected
256	#per1	#pla35	1	Undirected
257	#org2	#per48	2	Undirected
258	#org11	#pla2	1	Undirected
259	#pla55	#pla7	1	Undirected
260	#per115	#per58	1	Undirected
261	#per0	#per14	3	Undirected
262	#org0	#pla1	1	Undirected
263	#org8	#per103	1	Undirected
264	#org0	#org27	1	Undirected
265	#per50	#per51	1	Undirected
266	#org3	#per58	2	Undirected
267	#org2	#wor1	4	Undirected
268	#per12	#pla18	1	Undirected
269	#pla3	#pla7	1	Undirected
270	#org8	#per19	2	Undirected
271	#org13	#per48	2	Undirected
272	#org13	#org15	20	Undirected
273	#org15	#org2	5	Undirected
274	#per14	#per50	1	Undirected
275	#per1	#tim1	4	Undirected
276	#per1	#per61	1	Undirected
277	#org3	#pla2	3	Undirected
278	#per11	#per114	1	Undirected
279	#per1	#per30	9	Undirected
280	#org2	#org3	1	Undirected
281	#per1	#tim13	1	Undirected
282	#pla11	#pla47	1	Undirected
283	#org12	#org3	1	Undirected
284	#per30	#pla48	1	Undirected
285	#per24	#pla48	1	Undirected
286	#org2	#pla30	1	Undirected
287	#per11	#pla7	1	Undirected
288	#per21	#per23	1	Undirected
289	#org2	#per34	1	Undirected
290	#per26	#wor1	5	Undirected
291	#per1	#per58	7	Undirected
292	#org12	#per50	4	Undirected
293	#per1	#pla54	1	Undirected
294	#per1	#pla2	6	Undirected
295	#pla3	#pla31	1	Undirected
296	#org13	#pla47	2	Undirected
297	#per50	#pla37	1	Undirected
298	#org15	#per14	5	Undirected
299	#org8	#wor1	1	Undirected
300	#per17	#pla19	1	Undirected
301	#org3	#pla57	1	Undirected
302	#org13	#pla2	1	Undirected
303	#per112	#per48	3	Undirected
304	#org21	#per1	1	Undirected
305	#per26	#per28	1	Undirected
306	#org18	#per22	1	Undirected
307	#org13	#per61	1	Undirected
308	#per22	#per23	1	Undirected
309	#per14	#tim3	2	Undirected
310	#per18	#pla18	2	Undirected
311	#org8	#pla7	1	Undirected
312	#org3	#pla48	2	Undirected
313	#org2	#pla4	1	Undirected
