	Source	Target	Via	Weight	Type
29	#per1	#org3	oral	144	Directed
21	#per1	#org13	oral	103	Directed
18	#per1	#org0	oral	44	Directed
69	#per1	#per14	prayer	30	Directed
53	#per1	#org2	oral	24	Directed
19	#per1	#per0	oral	21	Directed
28	#per1	#per1	oral	20	Directed
23	#per1	#per103	oral	18	Directed
41	#per1	#per21	oral	15	Directed
20	#org13	#per1	oral	14	Directed
45	#org0	#org0	oral	13	Directed
0	#per18	#org0	spoken	13	Directed
25	#per18	#org27	oral	10	Directed
40	#per21	#per1	oral	10	Directed
32	#per1	#org15	oral	9	Directed
33	#org13	#org15	oral	7	Directed
94	#org13	#per50	oral	7	Directed
93	#per50	#org13	oral	7	Directed
34	#org15	#org13	oral	7	Directed
54	#org3	#per1	oral	7	Directed
63	#per108	#per1	oral	6	Directed
2	#per18	#org2	spoken	6	Directed
82	#per1	#per34	oral	6	Directed
44	#org13	#org0	oral	6	Directed
38	#per1	#per22	oral	6	Directed
39	#org13	#org13	oral	6	Directed
95	#per50	#per1	oral	6	Directed
13	#per1	#per53	spoken	5	Directed
1	#org2	#per18	spoken	4	Directed
30	#org3	#org3	oral	4	Directed
96	#per1	#per50	oral	4	Directed
64	#per1	#per108	oral	4	Directed
46	#org12	#org24	oral	4	Directed
60	#org0	#org13	oral	3	Directed
61	#per0	#per1	oral	3	Directed
43	#per1	#org11	oral	3	Directed
52	#org2	#per1	oral	3	Directed
107	#per1	#per58	oral	3	Directed
108	#per58	#per1	oral	3	Directed
72	#org2	#org2	oral	3	Directed
84	#per30	#org3	oral	3	Directed
55	#org15	#org0	oral	3	Directed
90	#per0	#per21	oral	3	Directed
27	#org2	#org0	oral	3	Directed
88	#org24	#per1	oral	3	Directed
22	#per103	#per1	oral	3	Directed
79	#per19	#org0	written	2	Directed
83	#per21	#org3	oral	2	Directed
85	#per28	#org3	oral	2	Directed
92	#per1	#per48	oral	2	Directed
91	#per21	#org0	oral	2	Directed
89	#per1	#org24	oral	2	Directed
71	#org12	#org12	oral	2	Directed
56	#org0	#org15	oral	2	Directed
73	#per48	#org12	oral	2	Directed
81	#per1	#per25	oral	2	Directed
111	#per1	#per30	oral	2	Directed
50	#org5	#per1	oral	2	Directed
98	#org12	#per50	oral	2	Directed
14	#per53	#per1	spoken	2	Directed
16	#per1	#per11	oral	2	Directed
42	#org11	#per1	oral	2	Directed
11	#per28	#per53	spoken	2	Directed
31	#org3	#org0	oral	2	Directed
6	#org3	#per1	spoken	2	Directed
115	#per21	#per2	oral	1	Directed
106	#per58	#org4	oral	1	Directed
86	#per110	#org3	oral	1	Directed
87	#org3	#per1	soCalled	1	Directed
109	#per58	#org3	idea	1	Directed
110	#org3	#per30	oral	1	Directed
104	#per58	#per21	oral	1	Directed
112	#per30	#per1	oral	1	Directed
105	#org4	#per58	oral	1	Directed
97	#per50	#org3	oral	1	Directed
113	#org3	#per21	oral	1	Directed
103	#per1	#org3	written	1	Directed
102	#org24	#org24	oral	1	Directed
101	#per1	#org0	soCalled	1	Directed
114	#per25	#per21	oral	1	Directed
99	#per50	#org0	written	1	Directed
100	#org13	#org0	idea	1	Directed
58	#org2	#org15	oral	1	Directed
80	#per25	#per1	oral	1	Directed
12	#per53	#per28	spoken	1	Directed
36	#per28	#per1	oral	1	Directed
35	#per1	#per28	oral	1	Directed
26	#per18	#org0	oral	1	Directed
24	#org27	#per18	oral	1	Directed
17	#per11	#org0	oral	1	Directed
15	#per11	#per1	oral	1	Directed
10	#per1	#per28	spoken	1	Directed
78	#org0	#per1	oral	1	Directed
9	#per1	#per21	spoken	1	Directed
8	#per22	#per21	spoken	1	Directed
7	#per1	#org3	spoken	1	Directed
5	#per1	#org27	spoken	1	Directed
4	#per14	#per18	unknown	1	Directed
3	#org13	#per18	spoken	1	Directed
37	#per22	#per1	oral	1	Directed
47	#org24	#org12	oral	1	Directed
48	#per103	#org12	oral	1	Directed
49	#org12	#per103	oral	1	Directed
51	#per1	#org5	oral	1	Directed
57	#org15	#org2	oral	1	Directed
59	#per0	#org2	oral	1	Directed
62	#org13	#per1	soCalled	1	Directed
65	#per30	#org28	oral	1	Directed
66	#per108	#per107	oral	1	Directed
67	#per107	#per1	oral	1	Directed
68	#per1	#per107	oral	1	Directed
70	#per1	#per106	oral	1	Directed
74	#per34	#org3	oral	1	Directed
75	#org0	#per28	oral	1	Directed
76	#per1	#per14	soCalled	1	Directed
77	#per14	#org0	oral	1	Directed
116	#per1	#org21	oral	1	Directed
