	Source	Target	Weight	Type
0	#per14	#pla151	4	Undirected
1	#per14	#per36	29	Undirected
2	#per14	#pla4	1	Undirected
3	#org99	#per36	2	Undirected
4	#per471	#pla20	2	Undirected
5	#org13	#pla4	1	Undirected
6	#org98	#per14	4	Undirected
7	#org98	#pla4	1	Undirected
8	#per14	#pla15	1	Undirected
9	#pla151	#pla152	1	Undirected
10	#per36	#pla4	2	Undirected
11	#org0	#pla41	1	Undirected
12	#org99	#pla20	4	Undirected
13	#pla151	#pla4	1	Undirected
14	#per14	#pla152	1	Undirected
15	#per14	#per470	1	Undirected
16	#per36	#pla41	1	Undirected
17	#per36	#per470	1	Undirected
18	#per14	#pla20	5	Undirected
19	#org13	#org98	1	Undirected
20	#per36	#pla151	7	Undirected
21	#org13	#per36	1	Undirected
22	#per14	#pla41	1	Undirected
23	#per14	#per471	2	Undirected
24	#per14	#pla73	2	Undirected
25	#org98	#per36	8	Undirected
26	#per36	#pla20	6	Undirected
27	#per36	#pla15	1	Undirected
28	#per36	#pla152	1	Undirected
29	#per36	#pla73	2	Undirected
30	#org98	#pla151	4	Undirected
31	#org99	#per14	4	Undirected
32	#org99	#per471	3	Undirected
33	#org0	#per36	1	Undirected
34	#org0	#per14	1	Undirected
