	Source	Target	Weight	Type
0	#per503	#pla480	1	Undirected
1	#org206	#pla522	1	Undirected
2	#org205	#org63	1	Undirected
3	#pla271	#pla467	1	Undirected
4	#per943	#pla521	1	Undirected
5	#per915	#per918	1	Undirected
6	#per14	#pla57	1	Undirected
7	#org205	#pla5	1	Undirected
8	#org63	#org77	2	Undirected
9	#org190	#pla5	1	Undirected
10	#per14	#pla9	29	Undirected
11	#per150	#per4	1	Undirected
12	#per619	#pla4	5	Undirected
13	#pla584	#pla595	1	Undirected
14	#pla562	#pla564	1	Undirected
15	#org22	#per503	15	Undirected
16	#pla26	#pla292	2	Undirected
17	#org24	#pla110	1	Undirected
18	#pla532	#pla533	1	Undirected
19	#org53	#pla5	1	Undirected
20	#pla13	#pla2	1	Undirected
21	#pla287	#pla485	1	Undirected
22	#pla571	#pla631	1	Undirected
23	#pla4	#pla732	1	Undirected
24	#per503	#per948	1	Undirected
25	#pla153	#pla385	1	Undirected
26	#org63	#pla57	1	Undirected
27	#pla495	#pla600	1	Undirected
28	#org215	#org44	1	Undirected
29	#per5	#pla246	2	Undirected
30	#per920	#pla154	1	Undirected
31	#pla115	#pla3	4	Undirected
32	#org101	#pla4	4	Undirected
33	#org218	#per139	1	Undirected
34	#per72	#per936	1	Undirected
35	#org24	#pla481	1	Undirected
36	#org44	#per26	17	Undirected
37	#org70	#per639	3	Undirected
38	#pla328	#pla9	1	Undirected
39	#pla354	#pla506	1	Undirected
40	#org24	#pla111	10	Undirected
41	#per5	#pla409	1	Undirected
42	#org75	#pla488	4	Undirected
43	#per14	#per933	1	Undirected
44	#org100	#pla500	2	Undirected
45	#pla493	#pla541	1	Undirected
46	#org95	#pla483	1	Undirected
47	#org44	#pla311	1	Undirected
48	#pla308	#pla635	1	Undirected
49	#pla321	#pla9	1	Undirected
50	#pla266	#pla41	1	Undirected
51	#org100	#org63	2	Undirected
52	#org216	#org46	2	Undirected
53	#org22	#pla84	1	Undirected
54	#per708	#pla4	2	Undirected
55	#org25	#per14	30	Undirected
56	#org103	#pla84	1	Undirected
57	#org201	#per14	1	Undirected
58	#org25	#per610	2	Undirected
59	#org91	#pla311	4	Undirected
60	#org100	#per14	4	Undirected
61	#pla18	#pla4	1	Undirected
62	#pla137	#pla510	1	Undirected
63	#org100	#per940	1	Undirected
64	#per14	#pla41	4	Undirected
65	#org190	#pla111	2	Undirected
66	#pla121	#pla266	1	Undirected
67	#pla154	#pla329	1	Undirected
68	#org55	#org70	4	Undirected
69	#per932	#per936	1	Undirected
70	#org44	#per72	8	Undirected
71	#pla493	#pla558	1	Undirected
72	#per121	#pla467	1	Undirected
73	#pla311	#pla546	1	Undirected
74	#org209	#pla41	1	Undirected
75	#per503	#pla266	1	Undirected
76	#pla274	#pla671	1	Undirected
77	#pla516	#pla564	1	Undirected
78	#per12	#per503	1	Undirected
79	#pla646	#pla696	1	Undirected
80	#pla4	#pla519	1	Undirected
81	#per381	#per931	1	Undirected
82	#per911	#per912	1	Undirected
83	#org70	#per104	2	Undirected
84	#org179	#org55	1	Undirected
85	#pla287	#pla385	1	Undirected
86	#per940	#pla491	2	Undirected
87	#per14	#pla137	1	Undirected
88	#org22	#per4	1	Undirected
89	#per912	#per914	1	Undirected
90	#org95	#pla108	1	Undirected
91	#per109	#pla656	1	Undirected
92	#org191	#per943	1	Undirected
93	#org70	#pla73	1	Undirected
94	#org183	#pla5	2	Undirected
95	#org100	#pla499	1	Undirected
96	#org201	#pla505	1	Undirected
97	#per14	#pla732	3	Undirected
98	#org16	#pla4	3	Undirected
99	#org46	#per104	1	Undirected
100	#org205	#org206	1	Undirected
101	#per120	#pla329	1	Undirected
102	#org207	#per14	1	Undirected
103	#org75	#pla153	2	Undirected
104	#org19	#pla676	2	Undirected
105	#pla137	#pla154	6	Undirected
106	#per109	#pla567	1	Undirected
107	#per931	#per932	1	Undirected
108	#org44	#pla13	1	Undirected
109	#per503	#per619	10	Undirected
110	#pla4	#pla498	2	Undirected
111	#per500	#pla115	1	Undirected
112	#org190	#pla26	10	Undirected
113	#org25	#org40	16	Undirected
114	#org66	#pla4	1	Undirected
115	#pla329	#pla644	1	Undirected
116	#org22	#pla503	1	Undirected
117	#org16	#pla84	1	Undirected
118	#org39	#pla3	1	Undirected
119	#org0	#per14	7	Undirected
120	#org91	#per26	1	Undirected
121	#org66	#pla303	1	Undirected
122	#org100	#pla517	1	Undirected
123	#pla654	#pla724	1	Undirected
124	#org91	#pla546	1	Undirected
125	#org49	#pla2	1	Undirected
126	#pla626	#pla686	1	Undirected
127	#per503	#pla485	7	Undirected
128	#org88	#per156	1	Undirected
129	#pla115	#pla48	1	Undirected
130	#pla402	#pla493	1	Undirected
131	#org70	#per619	3	Undirected
132	#per2	#pla84	1	Undirected
133	#pla115	#pla682	1	Undirected
134	#pla733	#pla9	1	Undirected
135	#org40	#pla154	1	Undirected
136	#per499	#pla637	1	Undirected
137	#pla669	#pla691	1	Undirected
138	#per949	#pla521	1	Undirected
139	#org70	#pla329	9	Undirected
140	#org0	#org63	1	Undirected
141	#org196	#per909	1	Undirected
142	#org57	#pla495	1	Undirected
143	#per14	#pla329	6	Undirected
144	#org75	#org76	1	Undirected
145	#org24	#pla490	1	Undirected
146	#org70	#wor1	3	Undirected
147	#org192	#org70	2	Undirected
148	#pla153	#pla48	2	Undirected
149	#org203	#pla522	1	Undirected
150	#pla23	#pla48	1	Undirected
151	#pla292	#pla482	1	Undirected
152	#per638	#per639	1	Undirected
153	#pla115	#pla493	2	Undirected
154	#org63	#pla26	1	Undirected
155	#per945	#pla521	1	Undirected
156	#org41	#pla73	1	Undirected
157	#org77	#per5	1	Undirected
158	#org54	#pla354	1	Undirected
159	#org39	#pla4	3	Undirected
160	#org57	#per26	1	Undirected
161	#org44	#per922	1	Undirected
162	#org16	#per14	3	Undirected
163	#org70	#pla4	95	Undirected
164	#pla292	#pla5	1	Undirected
165	#per104	#per4	1	Undirected
166	#per26	#pla468	7	Undirected
167	#pla332	#pla653	1	Undirected
168	#org103	#per14	8	Undirected
169	#org76	#pla26	1	Undirected
170	#org46	#pla520	1	Undirected
171	#per72	#per921	1	Undirected
172	#pla316	#pla4	1	Undirected
173	#per919	#pla510	1	Undirected
174	#per949	#pla489	4	Undirected
175	#org196	#per945	1	Undirected
176	#org192	#pla26	5	Undirected
177	#org74	#pla4	2	Undirected
178	#per638	#per939	1	Undirected
179	#per26	#pla302	2	Undirected
180	#org39	#per917	3	Undirected
181	#org0	#pla9	1	Undirected
182	#org183	#org22	1	Undirected
