	Source	Target	Weight	Type
0	#per500	#pla676	2	Undirected
1	#pla467	#pla622	1	Undirected
2	#org63	#org66	6	Undirected
3	#org19	#pla115	1	Undirected
4	#pla13	#pla154	1	Undirected
5	#pla313	#pla574	1	Undirected
6	#per926	#pla292	1	Undirected
7	#org46	#pla321	1	Undirected
8	#pla555	#pla586	1	Undirected
9	#org215	#org45	1	Undirected
10	#org66	#pla504	1	Undirected
11	#org43	#org48	2	Undirected
12	#per124	#per5	2	Undirected
13	#per381	#per931	1	Undirected
14	#org24	#org70	9	Undirected
15	#pla121	#pla13	1	Undirected
16	#per26	#pla468	7	Undirected
17	#org100	#pla495	4	Undirected
18	#per381	#pla154	2	Undirected
19	#org197	#pla354	1	Undirected
20	#org63	#pla84	1	Undirected
21	#pla12	#pla649	1	Undirected
22	#pla4	#pla502	2	Undirected
23	#per503	#per949	4	Undirected
24	#pla12	#pla520	1	Undirected
25	#per948	#pla385	2	Undirected
26	#org217	#pla621	1	Undirected
27	#org191	#per923	4	Undirected
28	#pla467	#pla468	4	Undirected
29	#org93	#pla4	1	Undirected
30	#pla108	#pla734	1	Undirected
31	#org70	#pla372	1	Undirected
32	#pla2	#pla628	1	Undirected
33	#per14	#pla287	1	Undirected
34	#org70	#pla336	1	Undirected
35	#org63	#pla354	1	Undirected
36	#pla493	#pla505	1	Undirected
37	#pla153	#pla516	1	Undirected
38	#per503	#pla110	2	Undirected
39	#per14	#per949	1	Undirected
40	#pla565	#pla658	1	Undirected
41	#per503	#pla115	6	Undirected
42	#org202	#org210	2	Undirected
43	#org65	#org70	2	Undirected
44	#org74	#pla153	2	Undirected
45	#org42	#org43	3	Undirected
46	#org46	#pla520	1	Undirected
47	#pla311	#pla660	1	Undirected
48	#org50	#per14	2	Undirected
49	#org43	#org93	2	Undirected
50	#pla503	#pla513	2	Undirected
51	#org22	#pla125	1	Undirected
52	#pla156	#pla266	1	Undirected
53	#per104	#per381	1	Undirected
54	#pla2	#pla638	1	Undirected
55	#org216	#org43	1	Undirected
56	#pla115	#pla519	2	Undirected
57	#pla273	#pla509	1	Undirected
58	#org0	#org40	1	Undirected
59	#pla115	#pla485	1	Undirected
60	#org194	#pla4	1	Undirected
61	#pla153	#pla636	1	Undirected
62	#org75	#per503	5	Undirected
63	#org44	#org93	8	Undirected
64	#org45	#pla314	1	Undirected
65	#pla495	#pla663	1	Undirected
66	#per72	#per922	1	Undirected
67	#per139	#pla5	1	Undirected
68	#pla493	#pla679	1	Undirected
69	#org103	#org70	6	Undirected
70	#pla469	#pla553	1	Undirected
71	#org93	#pla57	6	Undirected
72	#per942	#pla115	1	Undirected
73	#org70	#pla176	3	Undirected
74	#org63	#org88	1	Undirected
75	#per26	#pla176	1	Undirected
76	#pla486	#pla487	1	Undirected
77	#per2	#pla84	1	Undirected
78	#pla563	#pla733	2	Undirected
79	#pla12	#pla329	1	Undirected
80	#pla110	#pla711	1	Undirected
81	#pla468	#pla57	5	Undirected
82	#org42	#pla4	1	Undirected
83	#per109	#per26	1	Undirected
84	#org42	#pla154	1	Undirected
85	#pla363	#pla612	1	Undirected
86	#org49	#pla468	1	Undirected
87	#org179	#per503	2	Undirected
88	#org19	#pla13	1	Undirected
89	#org55	#org63	5	Undirected
90	#org44	#org70	22	Undirected
91	#org41	#pla138	1	Undirected
92	#org215	#org50	1	Undirected
93	#per14	#per26	37	Undirected
94	#pla57	#pla731	1	Undirected
95	#per26	#pla483	1	Undirected
96	#org88	#pla4	4	Undirected
97	#org70	#pla329	9	Undirected
98	#org63	#pla360	1	Undirected
99	#org195	#org39	2	Undirected
100	#org100	#pla520	1	Undirected
101	#org122	#pla4	1	Undirected
102	#org70	#pla481	1	Undirected
103	#pla273	#pla531	1	Undirected
104	#pla321	#pla470	1	Undirected
105	#per26	#pla536	1	Undirected
106	#pla4	#pla496	2	Undirected
107	#org44	#per381	2	Undirected
108	#per943	#pla490	3	Undirected
109	#org191	#per948	1	Undirected
110	#org54	#org66	4	Undirected
111	#pla560	#pla620	1	Undirected
112	#org39	#org43	2	Undirected
113	#pla12	#pla632	1	Undirected
114	#org93	#pla153	1	Undirected
115	#pla565	#pla611	1	Undirected
116	#pla154	#pla676	2	Undirected
117	#org12	#pla9	11	Undirected
118	#per913	#per914	1	Undirected
119	#pla13	#pla7	2	Undirected
120	#pla562	#pla636	1	Undirected
121	#per927	#per930	1	Undirected
122	#org203	#org207	1	Undirected
123	#pla354	#pla478	1	Undirected
124	#org25	#pla263	1	Undirected
125	#org43	#pla154	1	Undirected
126	#per933	#pla2	3	Undirected
127	#org41	#pla302	1	Undirected
128	#pla137	#pla154	6	Undirected
129	#per14	#pla492	1	Undirected
130	#org204	#org207	1	Undirected
131	#org132	#org216	1	Undirected
132	#org122	#org44	1	Undirected
133	#pla372	#pla395	2	Undirected
134	#org44	#per152	2	Undirected
135	#org91	#pla660	1	Undirected
136	#pla402	#pla547	1	Undirected
137	#per919	#per924	3	Undirected
138	#org22	#pla108	1	Undirected
139	#org66	#pla156	1	Undirected
140	#per929	#per932	1	Undirected
141	#per909	#per943	10	Undirected
142	#org93	#pla332	1	Undirected
143	#org190	#pla18	1	Undirected
144	#org93	#pla546	2	Undirected
145	#pla705	#pla719	1	Undirected
146	#org204	#org205	1	Undirected
147	#org19	#org41	1	Undirected
148	#pla140	#pla488	1	Undirected
149	#pla294	#pla717	1	Undirected
150	#org100	#pla180	1	Undirected
151	#pla386	#pla568	1	Undirected
152	#org77	#pla26	1	Undirected
153	#per26	#pla488	1	Undirected
154	#per12	#pla9	1	Undirected
155	#pla492	#pla493	1	Undirected
156	#pla26	#pla733	1	Undirected
157	#org190	#org75	1	Undirected
158	#org132	#pla546	1	Undirected
159	#pla115	#pla505	1	Undirected
160	#pla287	#pla385	1	Undirected
161	#org70	#pla84	11	Undirected
162	#per604	#pla4	6	Undirected
163	#org74	#pla495	1	Undirected
164	#org57	#org77	2	Undirected
165	#pla115	#pla57	1	Undirected
166	#org190	#org194	2	Undirected
167	#org66	#pla176	1	Undirected
168	#org67	#pla154	2	Undirected
169	#pla176	#pla354	1	Undirected
170	#org100	#pla513	2	Undirected
171	#org39	#pla560	1	Undirected
172	#per14	#pla502	2	Undirected
173	#per26	#pla302	2	Undirected
174	#org42	#pla13	1	Undirected
175	#org54	#org63	4	Undirected
176	#org57	#pla4	4	Undirected
177	#per72	#pla9	1	Undirected
178	#per4	#per604	1	Undirected
179	#pla12	#pla601	1	Undirected
180	#org100	#per940	1	Undirected
181	#org74	#pla496	1	Undirected
182	#pla268	#pla522	1	Undirected
183	#org179	#pla502	1	Undirected
184	#pla2	#pla705	1	Undirected
185	#per503	#per619	10	Undirected
186	#org19	#per500	1	Undirected
187	#pla138	#pla468	1	Undirected
188	#per924	#pla175	1	Undirected
189	#org211	#pla115	1	Undirected
190	#pla638	#pla687	1	Undirected
191	#per604	#per619	4	Undirected
192	#org196	#pla26	3	Undirected
193	#pla2	#pla315	1	Undirected
194	#pla115	#pla733	1	Undirected
195	#org44	#pla73	1	Undirected
196	#per14	#per5	2	Undirected
197	#org200	#pla493	1	Undirected
198	#org54	#pla354	1	Undirected
199	#per640	#pla4	1	Undirected
200	#per73	#pla137	2	Undirected
201	#pla629	#pla648	1	Undirected
202	#org41	#pla563	1	Undirected
203	#org70	#per604	6	Undirected
204	#per922	#per927	1	Undirected
205	#pla115	#pla563	1	Undirected
206	#pla41	#pla506	1	Undirected
207	#org16	#pla563	1	Undirected
208	#per920	#per935	1	Undirected
209	#org39	#per124	2	Undirected
210	#per610	#pla137	2	Undirected
211	#pla570	#pla585	1	Undirected
212	#per909	#pla485	2	Undirected
213	#pla519	#pla520	1	Undirected
214	#org44	#pla311	1	Undirected
215	#org0	#org44	1	Undirected
216	#pla349	#pla584	1	Undirected
217	#per503	#pla4	85	Undirected
218	#org42	#per26	1	Undirected
219	#per104	#pla110	1	Undirected
220	#org191	#pla491	1	Undirected
221	#org0	#org41	1	Undirected
222	#org75	#per26	1	Undirected
223	#org57	#pla153	1	Undirected
224	#org207	#pla316	1	Undirected
225	#org24	#pla111	10	Undirected
226	#org25	#pla111	1	Undirected
227	#org208	#pla5	1	Undirected
228	#org46	#org48	1	Undirected
229	#org100	#pla504	2	Undirected
230	#per109	#pla698	1	Undirected
231	#org49	#org50	3	Undirected
232	#pla153	#pla564	1	Undirected
233	#pla246	#pla409	1	Undirected
234	#org132	#org46	1	Undirected
235	#org216	#pla467	1	Undirected
236	#pla294	#pla718	1	Undirected
237	#org202	#pla154	1	Undirected
238	#org74	#pla9	2	Undirected
239	#org200	#pla4	1	Undirected
240	#org16	#pla5	1	Undirected
241	#org70	#org78	1	Undirected
242	#pla336	#pla485	1	Undirected
243	#org16	#pla115	1	Undirected
244	#org70	#pla292	3	Undirected
245	#pla503	#pla504	2	Undirected
246	#per104	#per152	2	Undirected
247	#per499	#pla13	1	Undirected
248	#org49	#pla159	1	Undirected
249	#per503	#pla64	1	Undirected
250	#pla2	#pla707	1	Undirected
251	#org70	#pla563	1	Undirected
252	#org218	#pla4	1	Undirected
253	#pla12	#pla469	1	Undirected
254	#pla292	#pla5	1	Undirected
255	#pla246	#pla560	1	Undirected
256	#org101	#org44	1	Undirected
257	#pla4	#pla490	1	Undirected
258	#org70	#pla281	1	Undirected
259	#pla469	#pla588	1	Undirected
260	#org76	#per14	2	Undirected
261	#pla112	#pla176	1	Undirected
262	#pla467	#pla555	1	Undirected
263	#pla561	#pla705	1	Undirected
264	#org203	#org63	1	Undirected
265	#per919	#pla9	3	Undirected
266	#org95	#wor1	1	Undirected
267	#pla354	#pla41	1	Undirected
268	#org19	#pla138	1	Undirected
269	#per104	#per503	3	Undirected
270	#pla137	#pla507	1	Undirected
271	#org66	#pla498	1	Undirected
272	#pla631	#pla7	1	Undirected
273	#org46	#per152	1	Undirected
274	#per26	#per72	1	Undirected
275	#per604	#pla468	2	Undirected
276	#per72	#pla137	4	Undirected
277	#pla115	#pla13	1	Undirected
278	#pla246	#pla699	1	Undirected
279	#per14	#pla644	1	Undirected
280	#pla386	#pla634	1	Undirected
281	#per131	#pla5	1	Undirected
282	#pla137	#pla138	1	Undirected
283	#pla110	#pla552	1	Undirected
284	#org74	#pla156	2	Undirected
285	#pla152	#pla730	1	Undirected
286	#per14	#pla341	2	Undirected
287	#org103	#org40	1	Undirected
288	#pla531	#pla542	1	Undirected
289	#org95	#pla108	1	Undirected
290	#org39	#org49	3	Undirected
291	#org74	#pla303	1	Undirected
292	#pla631	#pla676	1	Undirected
293	#pla311	#pla569	1	Undirected
294	#pla57	#pla676	2	Undirected
295	#org44	#org48	2	Undirected
296	#org215	#pla311	1	Undirected
297	#pla663	#pla696	1	Undirected
298	#per156	#pla4	1	Undirected
299	#org67	#per26	1	Undirected
300	#org40	#org70	21	Undirected
301	#org57	#pla488	1	Undirected
302	#per104	#pla108	1	Undirected
303	#pla112	#pla147	1	Undirected
304	#org179	#org55	1	Undirected
305	#pla274	#pla671	1	Undirected
306	#pla673	#pla9	1	Undirected
307	#org75	#pla538	1	Undirected
308	#per104	#per928	1	Undirected
309	#per381	#per937	1	Undirected
310	#pla324	#pla471	1	Undirected
311	#org41	#org44	38	Undirected
312	#org192	#org57	1	Undirected
313	#per910	#pla656	1	Undirected
314	#pla350	#pla710	1	Undirected
315	#org192	#org63	1	Undirected
316	#org70	#pla468	8	Undirected
317	#pla425	#pla499	1	Undirected
318	#pla549	#pla667	1	Undirected
319	#pla559	#pla565	1	Undirected
320	#org39	#per933	3	Undirected
321	#pla26	#pla478	1	Undirected
322	#per131	#per503	1	Undirected
323	#org75	#pla137	1	Undirected
324	#pla488	#pla537	1	Undirected
325	#org183	#org70	1	Undirected
326	#org47	#per499	1	Undirected
327	#org44	#pla734	2	Undirected
328	#org88	#org95	1	Undirected
329	#org100	#pla506	1	Undirected
330	#org24	#pla115	1	Undirected
331	#org100	#per949	1	Undirected
332	#pla519	#pla57	1	Undirected
333	#pla577	#pla685	1	Undirected
334	#pla321	#pla406	1	Undirected
335	#pla266	#pla503	1	Undirected
336	#org70	#pla486	1	Undirected
337	#pla302	#pla468	1	Undirected
338	#per708	#per912	1	Undirected
339	#pla556	#pla707	1	Undirected
340	#pla4	#pla505	1	Undirected
341	#pla489	#pla703	1	Undirected
342	#per917	#per925	4	Undirected
343	#org57	#org76	2	Undirected
344	#org49	#pla2	1	Undirected
345	#org205	#org53	1	Undirected
346	#pla108	#pla467	1	Undirected
347	#org214	#pla732	1	Undirected
348	#per14	#per931	1	Undirected
349	#pla26	#pla562	1	Undirected
350	#pla4	#pla81	1	Undirected
351	#pla467	#pla574	1	Undirected
352	#pla386	#pla652	1	Undirected
353	#pla110	#pla111	5	Undirected
354	#pla606	#pla677	1	Undirected
355	#pla115	#pla287	3	Undirected
356	#per909	#pla492	1	Undirected
357	#org57	#pla496	1	Undirected
358	#org70	#per945	4	Undirected
359	#pla110	#pla159	1	Undirected
360	#pla630	#pla692	1	Undirected
361	#pla629	#pla656	1	Undirected
362	#pla637	#pla676	1	Undirected
363	#org75	#pla84	2	Undirected
364	#org19	#org216	1	Undirected
365	#org54	#pla402	1	Undirected
366	#per530	#pla26	1	Undirected
367	#org46	#pla302	1	Undirected
368	#org16	#per26	2	Undirected
369	#pla287	#pla3	3	Undirected
370	#pla175	#pla9	2	Undirected
371	#org193	#org75	1	Undirected
372	#org195	#per917	3	Undirected
373	#per940	#pla111	1	Undirected
374	#per503	#pla354	1	Undirected
375	#pla492	#pla670	1	Undirected
376	#per14	#pla494	2	Undirected
377	#per124	#pla112	1	Undirected
378	#org100	#pla125	2	Undirected
379	#org214	#per14	1	Undirected
380	#per14	#per945	1	Undirected
381	#pla119	#pla500	1	Undirected
382	#org70	#per3	2	Undirected
383	#per381	#per936	1	Undirected
384	#org70	#per156	1	Undirected
385	#org191	#org196	4	Undirected
386	#org81	#per640	1	Undirected
387	#pla425	#pla534	1	Undirected
388	#pla552	#pla562	1	Undirected
389	#org40	#pla4	19	Undirected
390	#org208	#per503	1	Undirected
391	#org50	#pla26	1	Undirected
392	#org217	#pla469	1	Undirected
393	#per26	#per924	1	Undirected
394	#org210	#pla372	1	Undirected
395	#per931	#per937	1	Undirected
396	#org192	#org70	2	Undirected
397	#org46	#pla329	1	Undirected
398	#org16	#pla733	1	Undirected
399	#per503	#per945	4	Undirected
400	#org55	#pla84	2	Undirected
401	#org100	#pla538	1	Undirected
402	#per503	#pla153	2	Undirected
403	#pla176	#pla477	1	Undirected
404	#pla26	#pla328	2	Undirected
405	#pla673	#pla720	1	Undirected
406	#org100	#pla514	1	Undirected
407	#per919	#per923	1	Undirected
408	#pla471	#pla565	1	Undirected
409	#per917	#pla26	2	Undirected
410	#org70	#per26	20	Undirected
411	#org46	#per72	1	Undirected
412	#org44	#pla729	1	Undirected
413	#org216	#per499	2	Undirected
414	#org70	#per104	2	Undirected
415	#org100	#per946	2	Undirected
416	#org44	#pla733	1	Undirected
417	#pla654	#pla724	1	Undirected
418	#pla2	#pla556	1	Undirected
419	#per919	#pla273	1	Undirected
420	#org205	#org207	1	Undirected
421	#org44	#pla84	4	Undirected
422	#pla321	#pla697	1	Undirected
423	#pla12	#pla674	1	Undirected
424	#org63	#org76	2	Undirected
425	#pla137	#pla362	2	Undirected
426	#org207	#pla5	1	Undirected
427	#pla495	#pla519	1	Undirected
428	#org48	#pla676	1	Undirected
429	#org215	#pla468	1	Undirected
430	#pla121	#pla499	1	Undirected
431	#per909	#pla490	4	Undirected
432	#org55	#pla504	1	Undirected
433	#pla108	#wor1	1	Undirected
434	#pla13	#pla571	1	Undirected
435	#org63	#pla468	1	Undirected
436	#org70	#pla484	1	Undirected
437	#pla493	#pla541	1	Undirected
438	#org65	#pla175	2	Undirected
439	#org70	#pla125	2	Undirected
440	#pla302	#pla469	1	Undirected
441	#org54	#pla504	1	Undirected
442	#pla269	#pla4	1	Undirected
443	#org22	#org95	1	Undirected
444	#org203	#per503	1	Undirected
445	#per919	#pla154	2	Undirected
446	#per104	#per921	1	Undirected
447	#pla555	#pla580	1	Undirected
448	#org203	#org53	1	Undirected
449	#org49	#per139	1	Undirected
450	#per5	#pla699	1	Undirected
451	#per604	#pla57	1	Undirected
452	#org44	#per26	17	Undirected
453	#org22	#per503	15	Undirected
454	#org215	#per500	1	Undirected
455	#pla3	#pla383	1	Undirected
456	#pla572	#pla688	1	Undirected
457	#per503	#pla302	5	Undirected
458	#org214	#per503	1	Undirected
459	#org40	#per604	3	Undirected
460	#per73	#pla506	1	Undirected
461	#org39	#org93	2	Undirected
462	#org39	#pla470	4	Undirected
463	#org41	#per604	3	Undirected
464	#org44	#per924	1	Undirected
465	#org70	#per5	1	Undirected
466	#pla3	#pla321	1	Undirected
467	#pla471	#pla518	1	Undirected
468	#org48	#per26	1	Undirected
469	#per26	#pla535	1	Undirected
470	#pla519	#pla734	1	Undirected
471	#org63	#pla303	1	Undirected
472	#pla294	#pla520	1	Undirected
473	#org19	#per503	3	Undirected
474	#org78	#per14	1	Undirected
475	#org190	#pla26	10	Undirected
476	#org103	#pla4	4	Undirected
477	#org54	#pla547	2	Undirected
478	#org81	#per503	1	Undirected
479	#org22	#pla503	1	Undirected
480	#org70	#pla156	2	Undirected
481	#pla618	#pla690	1	Undirected
482	#org70	#pla498	1	Undirected
483	#per139	#per4	1	Undirected
484	#org55	#pla4	2	Undirected
485	#per503	#pla502	1	Undirected
486	#pla500	#pla712	1	Undirected
487	#org196	#pla4	1	Undirected
488	#org191	#pla521	1	Undirected
489	#pla5	#pla81	1	Undirected
490	#org39	#pla246	2	Undirected
491	#pla147	#pla4	1	Undirected
492	#org39	#org42	2	Undirected
493	#org201	#org70	1	Undirected
494	#org49	#org63	2	Undirected
495	#org43	#org45	2	Undirected
496	#org44	#per931	1	Undirected
497	#pla554	#pla673	1	Undirected
498	#pla154	#pla544	1	Undirected
499	#per26	#per604	2	Undirected
500	#org24	#per940	2	Undirected
501	#per920	#per936	1	Undirected
502	#pla13	#pla519	2	Undirected
503	#org45	#per5	3	Undirected
504	#pla519	#pla7	2	Undirected
505	#pla599	#pla618	1	Undirected
506	#pla275	#pla590	1	Undirected
507	#org24	#per943	2	Undirected
508	#pla287	#pla489	4	Undirected
509	#org204	#pla268	1	Undirected
510	#pla4	#pla486	1	Undirected
511	#pla281	#pla4	1	Undirected
512	#org203	#per14	1	Undirected
513	#org19	#pla108	1	Undirected
514	#pla268	#pla316	1	Undirected
515	#pla26	#pla3	1	Undirected
516	#per152	#pla711	1	Undirected
517	#per948	#pla490	1	Undirected
518	#org82	#pla371	1	Undirected
519	#pla12	#pla661	1	Undirected
520	#pla468	#pla563	1	Undirected
521	#org190	#org191	4	Undirected
522	#pla733	#pla9	1	Undirected
523	#org74	#pla112	1	Undirected
524	#per14	#per503	159	Undirected
525	#per131	#pla125	1	Undirected
526	#org75	#pla536	1	Undirected
527	#pla4	#pla513	1	Undirected
528	#org25	#wor1	1	Undirected
529	#pla488	#pla504	1	Undirected
530	#org217	#org48	2	Undirected
531	#org75	#pla9	8	Undirected
532	#per26	#per926	1	Undirected
533	#org70	#pla487	1	Undirected
534	#org57	#pla303	1	Undirected
535	#pla115	#pla682	1	Undirected
536	#pla362	#pla488	1	Undirected
537	#pla359	#pla518	1	Undirected
538	#pla314	#pla723	1	Undirected
539	#org45	#per500	1	Undirected
540	#per3	#pla125	1	Undirected
541	#org206	#pla316	1	Undirected
542	#pla153	#pla467	1	Undirected
543	#org196	#per909	1	Undirected
544	#per141	#per2	1	Undirected
545	#org25	#pla108	1	Undirected
546	#pla554	#pla652	1	Undirected
547	#org100	#pla492	1	Undirected
548	#pla314	#pla725	1	Undirected
549	#pla153	#pla268	2	Undirected
550	#per933	#per941	2	Undirected
551	#org144	#org57	1	Undirected
552	#per5	#pla470	3	Undirected
553	#org191	#per503	4	Undirected
554	#per503	#pla5	10	Undirected
555	#pla610	#pla675	1	Undirected
556	#per12	#per503	1	Undirected
557	#org39	#org48	2	Undirected
558	#org0	#pla469	1	Undirected
559	#org100	#pla497	3	Undirected
560	#pla137	#pla26	1	Undirected
561	#org193	#org63	1	Undirected
