	id	type
0	b.LAM.1.1	verse
1	b.LAM.1.2	verse
2	b.LAM.1.3	verse
3	b.LAM.1.4	verse
4	b.LAM.1.5	verse
5	b.LAM.1.6	verse
6	b.LAM.1.7	verse
7	b.LAM.1.8	verse
8	b.LAM.1.9	verse
9	b.LAM.1.10	verse
10	b.LAM.1.11	verse
11	b.LAM.1.12	verse
12	b.LAM.1.13	verse
13	b.LAM.1.14	verse
14	b.LAM.1.15	verse
15	b.LAM.1.16	verse
16	b.LAM.1.17	verse
17	b.LAM.1.18	verse
18	b.LAM.1.19	verse
19	b.LAM.1.20	verse
20	b.LAM.1.21	verse
21	b.LAM.1.22	verse
22	b.LAM.2.1	verse
23	b.LAM.2.2	verse
24	b.LAM.2.3	verse
25	b.LAM.2.4	verse
26	b.LAM.2.5	verse
27	b.LAM.2.6	verse
28	b.LAM.2.7	verse
29	b.LAM.2.8	verse
30	b.LAM.2.9	verse
31	b.LAM.2.10	verse
32	b.LAM.2.11	verse
33	b.LAM.2.12	verse
34	b.LAM.2.13	verse
35	b.LAM.2.14	verse
36	b.LAM.2.15	verse
37	b.LAM.2.16	verse
38	b.LAM.2.17	verse
39	b.LAM.2.18	verse
40	b.LAM.2.19	verse
41	b.LAM.2.20	verse
42	b.LAM.2.21	verse
43	b.LAM.2.22	verse
44	b.LAM.3.1	verse
45	b.LAM.3.2	verse
46	b.LAM.3.3	verse
47	b.LAM.3.4	verse
48	b.LAM.3.5	verse
49	b.LAM.3.6	verse
50	b.LAM.3.7	verse
51	b.LAM.3.8	verse
52	b.LAM.3.9	verse
53	b.LAM.3.10	verse
54	b.LAM.3.11	verse
55	b.LAM.3.12	verse
56	b.LAM.3.13	verse
57	b.LAM.3.14	verse
58	b.LAM.3.15	verse
59	b.LAM.3.16	verse
60	b.LAM.3.17	verse
61	b.LAM.3.18	verse
62	b.LAM.3.19	verse
63	b.LAM.3.20	verse
64	b.LAM.3.21	verse
65	b.LAM.3.22	verse
66	b.LAM.3.23	verse
67	b.LAM.3.24	verse
68	b.LAM.3.25	verse
69	b.LAM.3.26	verse
70	b.LAM.3.27	verse
71	b.LAM.3.28	verse
72	b.LAM.3.29	verse
73	b.LAM.3.30	verse
74	b.LAM.3.31	verse
75	b.LAM.3.32	verse
76	b.LAM.3.33	verse
77	b.LAM.3.34	verse
78	b.LAM.3.35	verse
79	b.LAM.3.36	verse
80	b.LAM.3.37	verse
81	b.LAM.3.38	verse
82	b.LAM.3.39	verse
83	b.LAM.3.40	verse
84	b.LAM.3.41	verse
85	b.LAM.3.42	verse
86	b.LAM.3.43	verse
87	b.LAM.3.44	verse
88	b.LAM.3.45	verse
89	b.LAM.3.46	verse
90	b.LAM.3.47	verse
91	b.LAM.3.48	verse
92	b.LAM.3.49	verse
93	b.LAM.3.50	verse
94	b.LAM.3.51	verse
95	b.LAM.3.52	verse
96	b.LAM.3.53	verse
97	b.LAM.3.54	verse
98	b.LAM.3.55	verse
99	b.LAM.3.56	verse
100	b.LAM.3.57	verse
101	b.LAM.3.58	verse
102	b.LAM.3.59	verse
103	b.LAM.3.60	verse
104	b.LAM.3.61	verse
105	b.LAM.3.62	verse
106	b.LAM.3.63	verse
107	b.LAM.3.64	verse
108	b.LAM.3.65	verse
109	b.LAM.3.66	verse
110	b.LAM.4.1	verse
111	b.LAM.4.2	verse
112	b.LAM.4.3	verse
113	b.LAM.4.4	verse
114	b.LAM.4.5	verse
115	b.LAM.4.6	verse
116	b.LAM.4.7	verse
117	b.LAM.4.8	verse
118	b.LAM.4.9	verse
119	b.LAM.4.10	verse
120	b.LAM.4.11	verse
121	b.LAM.4.12	verse
122	b.LAM.4.13	verse
123	b.LAM.4.14	verse
124	b.LAM.4.16	verse
125	b.LAM.4.15	verse
126	b.LAM.4.17	verse
127	b.LAM.4.18	verse
128	b.LAM.4.19	verse
129	b.LAM.4.20	verse
130	b.LAM.4.21	verse
131	b.LAM.4.22	verse
132	b.LAM.5.1	verse
133	b.LAM.5.2	verse
134	b.LAM.5.3	verse
135	b.LAM.5.4	verse
136	b.LAM.5.5	verse
137	b.LAM.5.6	verse
138	b.LAM.5.7	verse
139	b.LAM.5.8	verse
140	b.LAM.5.9	verse
141	b.LAM.5.10	verse
142	b.LAM.5.11	verse
143	b.LAM.5.12	verse
144	b.LAM.5.13	verse
145	b.LAM.5.14	verse
146	b.LAM.5.15	verse
147	b.LAM.5.16	verse
148	b.LAM.5.17	verse
149	b.LAM.5.18	verse
150	b.LAM.5.19	verse
151	b.LAM.5.20	verse
152	b.LAM.5.21	verse
153	b.LAM.5.22	verse
