	Source	Target	Weight	Type
0	#per604	#pla41	1	Undirected
1	#org0	#org100	1	Undirected
2	#per14	#pla263	42	Undirected
3	#pla4	#pla84	2	Undirected
4	#org183	#org21	1	Undirected
5	#per26	#pla676	3	Undirected
6	#per501	#pla30	1	Undirected
7	#per14	#pla84	12	Undirected
8	#org15	#per14	5	Undirected
9	#org63	#per26	3	Undirected
10	#per26	#tim9	3	Undirected
11	#org70	#per501	4	Undirected
12	#org281	#per14	9	Undirected
13	#per26	#pla263	30	Undirected
14	#org122	#per500	4	Undirected
15	#org70	#per26	121	Undirected
16	#org25	#pla4	1	Undirected
17	#per500	#per605	3	Undirected
18	#org132	#per14	3	Undirected
19	#org12	#org281	3	Undirected
20	#org132	#pla4	1	Undirected
21	#per500	#per604	3	Undirected
22	#per26	#per603	1	Undirected
23	#org100	#per26	1	Undirected
24	#org12	#org70	16	Undirected
25	#org122	#pla4	1	Undirected
26	#org70	#pla263	13	Undirected
27	#org12	#pla30	4	Undirected
28	#per500	#pla30	4	Undirected
29	#per26	#per501	5	Undirected
30	#org70	#tim9	1	Undirected
31	#per590	#pla30	1	Undirected
32	#org0	#org12	5	Undirected
33	#per500	#pla5	1	Undirected
34	#pla4	#pla41	2	Undirected
35	#pla30	#pla41	3	Undirected
36	#pla4	#tim11	1	Undirected
37	#org16	#per26	22	Undirected
38	#org12	#org21	1	Undirected
39	#org18	#per14	2	Undirected
40	#per2	#pla4	1	Undirected
41	#org12	#per14	177	Undirected
42	#per26	#tim6	1	Undirected
43	#per500	#per590	1	Undirected
44	#pla4	#pla676	1	Undirected
45	#org0	#org14	1	Undirected
46	#org132	#org70	2	Undirected
47	#org12	#org18	1	Undirected
48	#per602	#per603	2	Undirected
49	#per590	#per597	1	Undirected
50	#org46	#pla4	1	Undirected
51	#org132	#per500	1	Undirected
52	#org70	#pla5	6	Undirected
53	#per501	#pla4	2	Undirected
54	#per26	#pla84	7	Undirected
55	#pla263	#pla4	4	Undirected
56	#org183	#per501	1	Undirected
57	#per14	#per604	2	Undirected
58	#per14	#pla159	4	Undirected
59	#org0	#pla5	1	Undirected
60	#org144	#per14	6	Undirected
61	#org183	#pla4	2	Undirected
62	#per597	#pla30	1	Undirected
63	#org19	#per14	2	Undirected
64	#per14	#per602	2	Undirected
65	#org122	#org183	34	Undirected
66	#per14	#tim5	1	Undirected
67	#org70	#per605	1	Undirected
68	#org100	#per14	1	Undirected
69	#per26	#per604	3	Undirected
70	#org132	#pla263	1	Undirected
71	#org12	#per596	1	Undirected
72	#org25	#per14	3	Undirected
73	#org103	#per14	3	Undirected
74	#org144	#per26	6	Undirected
75	#org0	#pla4	5	Undirected
76	#org0	#per26	39	Undirected
77	#org25	#per500	1	Undirected
78	#org16	#per501	1	Undirected
79	#org101	#org70	1	Undirected
80	#org0	#pla263	2	Undirected
81	#org102	#per14	5	Undirected
82	#org70	#pla30	6	Undirected
83	#pla30	#pla4	2	Undirected
84	#per14	#pla4	64	Undirected
85	#per14	#per3	1	Undirected
86	#org122	#org21	1	Undirected
87	#per1504	#per26	1	Undirected
88	#org91	#per1504	1	Undirected
89	#per26	#pla613	1	Undirected
90	#org16	#pla41	2	Undirected
91	#org70	#pla41	6	Undirected
92	#org0	#pla30	2	Undirected
93	#per605	#pla41	1	Undirected
94	#per26	#per3	1	Undirected
95	#org0	#org70	17	Undirected
96	#org16	#pla263	1	Undirected
97	#org122	#per26	45	Undirected
98	#org12	#pla4	9	Undirected
99	#per500	#per602	2	Undirected
100	#org63	#per14	3	Undirected
101	#org183	#pla30	1	Undirected
102	#org12	#org131	1	Undirected
103	#per14	#tim11	1	Undirected
104	#org101	#per26	13	Undirected
105	#org100	#org102	1	Undirected
106	#org102	#per26	5	Undirected
107	#per26	#per4	1	Undirected
108	#per26	#per500	132	Undirected
109	#org70	#pla4	55	Undirected
110	#org101	#pla4	1	Undirected
111	#per26	#per590	1	Undirected
112	#org12	#pla84	2	Undirected
113	#org183	#per14	41	Undirected
114	#per1505	#per181	1	Undirected
115	#org16	#per14	23	Undirected
116	#per500	#pla4	13	Undirected
117	#per14	#per500	139	Undirected
118	#org63	#pla84	3	Undirected
119	#per20	#per500	1	Undirected
120	#per26	#tim5	1	Undirected
121	#org91	#per26	1	Undirected
122	#org0	#org101	1	Undirected
123	#org91	#per14	1	Undirected
124	#per2	#per4	1	Undirected
125	#org214	#per14	1	Undirected
126	#per14	#pla5	11	Undirected
127	#org12	#org25	1	Undirected
128	#org16	#pla5	1	Undirected
129	#per14	#per2	1	Undirected
130	#per26	#per597	1	Undirected
131	#org183	#org70	3	Undirected
132	#per500	#pla41	23	Undirected
133	#per3	#per4	1	Undirected
134	#per14	#tim9	4	Undirected
135	#per14	#per605	2	Undirected
136	#org91	#per181	1	Undirected
137	#org131	#per26	6	Undirected
138	#org183	#per500	4	Undirected
139	#per1504	#pla4	1	Undirected
140	#org101	#per14	13	Undirected
141	#org12	#per26	101	Undirected
142	#org19	#org70	1	Undirected
143	#per604	#pla4	1	Undirected
144	#per500	#per603	2	Undirected
145	#org70	#pla159	3	Undirected
146	#per26	#per602	1	Undirected
147	#pla159	#pla4	2	Undirected
148	#org131	#per14	7	Undirected
149	#per1504	#per1505	1	Undirected
150	#per26	#pla159	4	Undirected
151	#per14	#pla613	1	Undirected
152	#org0	#org102	2	Undirected
153	#per14	#per20	3	Undirected
154	#per14	#pla676	3	Undirected
155	#org102	#pla41	1	Undirected
156	#per596	#per597	1	Undirected
157	#org12	#tim9	1	Undirected
158	#org21	#per14	1	Undirected
159	#org0	#org16	3	Undirected
160	#org14	#per26	2	Undirected
161	#org0	#org281	2	Undirected
162	#org46	#org70	1	Undirected
163	#org19	#per26	2	Undirected
164	#org46	#pla676	2	Undirected
165	#org12	#org15	2	Undirected
166	#org91	#per1505	1	Undirected
167	#per4	#pla4	1	Undirected
168	#org12	#per590	1	Undirected
169	#org122	#pla41	1	Undirected
170	#org103	#per26	3	Undirected
171	#org131	#org70	1	Undirected
172	#per2	#per3	1	Undirected
173	#per605	#pla4	1	Undirected
174	#org0	#per14	46	Undirected
175	#org16	#org70	12	Undirected
176	#org25	#per26	4	Undirected
177	#per500	#per597	1	Undirected
178	#org12	#org122	3	Undirected
179	#per181	#per26	1	Undirected
180	#per14	#per1505	1	Undirected
181	#org14	#org70	1	Undirected
182	#org70	#per1504	1	Undirected
183	#pla4	#pla5	2	Undirected
184	#per26	#pla4	55	Undirected
185	#per3	#pla4	1	Undirected
186	#org70	#per500	25	Undirected
187	#per26	#tim11	1	Undirected
188	#org144	#org70	1	Undirected
189	#org70	#tim11	1	Undirected
190	#per14	#per4	1	Undirected
191	#per500	#per596	1	Undirected
192	#org131	#org16	3	Undirected
193	#org16	#pla4	7	Undirected
194	#per14	#per501	5	Undirected
195	#org281	#org70	2	Undirected
196	#per14	#per181	1	Undirected
197	#pla30	#pla73	1	Undirected
198	#org102	#org16	2	Undirected
199	#org0	#per501	4	Undirected
200	#org131	#pla5	1	Undirected
201	#per14	#per603	2	Undirected
202	#org25	#org70	1	Undirected
203	#per14	#per26	616	Undirected
204	#per590	#per596	1	Undirected
205	#per1504	#per181	1	Undirected
206	#org122	#pla263	1	Undirected
207	#org14	#per14	2	Undirected
208	#org12	#per597	1	Undirected
209	#pla5	#pla84	2	Undirected
210	#per26	#pla41	63	Undirected
211	#per14	#per1504	1	Undirected
212	#pla263	#pla41	9	Undirected
213	#pla263	#pla30	6	Undirected
214	#org122	#org70	4	Undirected
215	#per26	#per596	1	Undirected
