	Source	Target	Weight	Type
0	#per500	#pla84	5	Undirected
1	#org46	#pla4	1	Undirected
2	#pla4	#pla676	1	Undirected
3	#org214	#per14	1	Undirected
4	#per20	#per26	3	Undirected
5	#per26	#tim6	1	Undirected
6	#org281	#org70	2	Undirected
7	#org183	#org281	1	Undirected
8	#org12	#pla41	46	Undirected
9	#org12	#org25	4	Undirected
10	#per26	#pla5	11	Undirected
11	#org12	#org214	1	Undirected
12	#per604	#per605	9	Undirected
13	#org122	#pla4	1	Undirected
14	#org12	#org122	3	Undirected
15	#org12	#pla263	23	Undirected
16	#org70	#per26	546	Undirected
17	#org12	#org15	2	Undirected
18	#org70	#per4	1	Undirected
19	#org70	#pla4	64	Undirected
20	#per500	#per603	2	Undirected
21	#org16	#per14	23	Undirected
22	#org183	#per501	1	Undirected
23	#org132	#per604	2	Undirected
24	#per604	#pla30	1	Undirected
25	#per596	#per597	1	Undirected
26	#org46	#pla676	2	Undirected
27	#per500	#pla41	27	Undirected
28	#per26	#per597	1	Undirected
29	#org101	#per14	13	Undirected
30	#per14	#tim9	4	Undirected
31	#org131	#org70	6	Undirected
32	#org103	#per14	3	Undirected
33	#per26	#pla84	12	Undirected
34	#per501	#pla4	2	Undirected
35	#org12	#org16	7	Undirected
36	#per26	#tim5	1	Undirected
37	#org70	#pla41	48	Undirected
38	#per602	#per603	2	Undirected
39	#org12	#pla84	2	Undirected
40	#per1504	#per1505	1	Undirected
41	#org214	#per26	1	Undirected
42	#pla263	#pla41	9	Undirected
43	#org91	#per181	1	Undirected
44	#per605	#pla30	1	Undirected
45	#per2	#per26	1	Undirected
46	#org101	#per26	13	Undirected
47	#per14	#per605	6	Undirected
48	#per14	#per181	1	Undirected
49	#org0	#pla30	2	Undirected
50	#org101	#org70	13	Undirected
51	#org0	#pla263	3	Undirected
52	#org0	#org122	3	Undirected
53	#org25	#pla4	2	Undirected
54	#org183	#pla263	1	Undirected
55	#per26	#per603	1	Undirected
56	#org100	#per26	1	Undirected
57	#org25	#per500	4	Undirected
58	#org14	#per26	2	Undirected
59	#org0	#pla5	1	Undirected
60	#per500	#pla4	22	Undirected
61	#per26	#pla676	3	Undirected
62	#per14	#pla613	1	Undirected
63	#per605	#pla73	1	Undirected
64	#per26	#pla159	4	Undirected
65	#org122	#org70	45	Undirected
66	#org21	#per26	1	Undirected
67	#org63	#pla84	3	Undirected
68	#org70	#pla84	8	Undirected
69	#org70	#tim9	4	Undirected
70	#org0	#per26	49	Undirected
71	#org70	#tim5	1	Undirected
72	#per590	#per597	1	Undirected
73	#org70	#pla676	3	Undirected
74	#org0	#per500	10	Undirected
75	#per1504	#pla4	1	Undirected
76	#per597	#pla30	1	Undirected
77	#per14	#per1504	1	Undirected
78	#per3	#per4	1	Undirected
79	#org131	#org16	3	Undirected
80	#pla4	#tim9	1	Undirected
81	#org12	#org18	2	Undirected
82	#org103	#per26	3	Undirected
83	#org132	#per14	3	Undirected
84	#per14	#per604	6	Undirected
85	#org25	#per26	7	Undirected
86	#org100	#org102	1	Undirected
87	#per604	#pla4	2	Undirected
88	#per2	#pla4	1	Undirected
89	#per26	#tim11	1	Undirected
90	#org122	#per26	48	Undirected
