	Source	Target	Weight	Type
0	#per14	#per26	1	Undirected
1	#org0	#pla4	2	Undirected
2	#per500	#per959	1	Undirected
3	#per12	#wor1	1	Undirected
4	#per476	#per958	4	Undirected
5	#org220	#per959	2	Undirected
6	#org70	#pla4	3	Undirected
7	#org70	#per961	2	Undirected
8	#org104	#per35	2	Undirected
9	#org19	#per960	1	Undirected
10	#per10	#per960	1	Undirected
11	#per26	#wor1	1	Undirected
12	#per14	#per17	3	Undirected
13	#per960	#pla2	1	Undirected
14	#pla3	#wor1	1	Undirected
15	#per11	#per27	1	Undirected
16	#per1	#per963	2	Undirected
17	#per12	#tim5	2	Undirected
18	#org70	#per1	1	Undirected
19	#per17	#pla30	1	Undirected
20	#per27	#per35	1	Undirected
21	#org4	#per14	4	Undirected
22	#org18	#per13	1	Undirected
23	#per12	#per35	2	Undirected
24	#per12	#pla30	1	Undirected
25	#per18	#per959	6	Undirected
26	#org0	#per959	1	Undirected
27	#pla3	#tim5	3	Undirected
28	#org0	#per18	3	Undirected
29	#org16	#per14	1	Undirected
30	#org104	#per12	1	Undirected
31	#org150	#org4	4	Undirected
32	#per26	#pla3	1	Undirected
33	#per14	#per961	12	Undirected
34	#org183	#wor1	1	Undirected
35	#org78	#org88	1	Undirected
36	#per4	#per959	1	Undirected
37	#org100	#org102	2	Undirected
38	#org4	#per1	2	Undirected
39	#per12	#pla3	2	Undirected
40	#per14	#per963	4	Undirected
41	#per17	#per18	1	Undirected
42	#org146	#pla8	1	Undirected
43	#org5	#wor1	1	Undirected
44	#per11	#wor1	1	Undirected
45	#org146	#pla7	1	Undirected
46	#org16	#pla4	1	Undirected
47	#org0	#per14	10	Undirected
48	#per1	#per959	2	Undirected
49	#org42	#per964	1	Undirected
50	#pla2	#pla7	1	Undirected
51	#per962	#pla14	1	Undirected
52	#per11	#per17	3	Undirected
53	#per1	#pla4	1	Undirected
54	#per17	#per960	2	Undirected
55	#per1	#pla3	2	Undirected
56	#org146	#per12	1	Undirected
57	#per35	#pla7	1	Undirected
58	#per500	#per960	1	Undirected
59	#org70	#per11	1	Undirected
60	#per1	#tim5	1	Undirected
61	#per10	#per500	1	Undirected
62	#per1	#per12	5	Undirected
63	#org104	#per960	1	Undirected
64	#per35	#pla1	2	Undirected
65	#org0	#org183	1	Undirected
66	#per1	#pla1	1	Undirected
67	#per14	#pla7	2	Undirected
68	#per1	#pla30	1	Undirected
69	#per500	#per64	1	Undirected
70	#org88	#per960	1	Undirected
71	#org0	#org8	2	Undirected
72	#per961	#pla19	1	Undirected
73	#org4	#per35	1	Undirected
74	#pla30	#wor1	2	Undirected
75	#per14	#wor1	4	Undirected
76	#per961	#pla8	1	Undirected
77	#per11	#pla4	1	Undirected
78	#per11	#per12	8	Undirected
79	#org122	#per959	1	Undirected
80	#per961	#pla4	1	Undirected
81	#per17	#pla3	1	Undirected
82	#per14	#per960	7	Undirected
83	#org4	#pla1	2	Undirected
84	#per1	#per11	10	Undirected
85	#org70	#per4	1	Undirected
86	#org0	#per35	1	Undirected
87	#pla2	#pla8	1	Undirected
88	#org0	#per963	2	Undirected
89	#per13	#per14	1	Undirected
90	#org16	#per963	1	Undirected
91	#org18	#per14	1	Undirected
92	#per18	#per961	2	Undirected
93	#org122	#per1	1	Undirected
94	#per1	#per960	2	Undirected
95	#per11	#pla19	1	Undirected
96	#per18	#pla4	1	Undirected
97	#org42	#per965	1	Undirected
98	#per64	#pla2	1	Undirected
99	#per10	#per959	1	Undirected
100	#per14	#per35	1	Undirected
101	#per35	#pla8	1	Undirected
102	#per2	#per959	1	Undirected
103	#org150	#per35	1	Undirected
104	#pla1	#pla18	1	Undirected
105	#org88	#per2	1	Undirected
106	#org42	#pla467	1	Undirected
107	#org122	#per14	1	Undirected
108	#per12	#per14	1	Undirected
109	#org4	#org70	1	Undirected
110	#org100	#per11	2	Undirected
111	#org150	#per14	2	Undirected
112	#org70	#per960	4	Undirected
113	#org50	#per959	1	Undirected
114	#per11	#pla30	1	Undirected
115	#org22	#per959	1	Undirected
116	#per963	#pla3	1	Undirected
117	#per11	#per35	2	Undirected
118	#per18	#per960	4	Undirected
119	#org0	#per1	3	Undirected
120	#per11	#per5	1	Undirected
121	#org78	#per2	1	Undirected
122	#per959	#per961	4	Undirected
123	#per959	#pla2	1	Undirected
124	#per11	#pla8	1	Undirected
125	#org0	#pla41	1	Undirected
126	#org0	#org18	1	Undirected
127	#org0	#org4	1	Undirected
128	#org0	#pla3	1	Undirected
129	#org104	#per27	1	Undirected
130	#org19	#per959	1	Undirected
131	#org100	#per959	2	Undirected
132	#org78	#per11	1	Undirected
133	#org0	#per17	1	Undirected
134	#per500	#pla2	1	Undirected
135	#org0	#org101	2	Undirected
136	#org16	#org70	1	Undirected
137	#org183	#per961	1	Undirected
138	#pla7	#wor1	1	Undirected
139	#per14	#per959	5	Undirected
140	#per11	#per2	1	Undirected
141	#per959	#per960	5	Undirected
142	#per4	#pla19	1	Undirected
143	#per12	#pla1	1	Undirected
144	#per1	#wor1	1	Undirected
145	#per17	#pla4	1	Undirected
146	#org101	#per960	2	Undirected
147	#per11	#per963	2	Undirected
148	#org19	#per14	1	Undirected
149	#per17	#per959	2	Undirected
150	#per12	#pla7	1	Undirected
151	#org4	#pla41	1	Undirected
152	#org70	#per963	1	Undirected
153	#per965	#pla467	1	Undirected
154	#org104	#per11	1	Undirected
155	#per12	#pla2	1	Undirected
156	#org146	#pla1	1	Undirected
157	#per10	#pla2	1	Undirected
158	#org183	#per11	1	Undirected
159	#pla1	#pla8	1	Undirected
160	#per14	#pla41	1	Undirected
161	#org88	#per11	1	Undirected
162	#org183	#per14	1	Undirected
163	#org18	#per961	1	Undirected
164	#org0	#per960	15	Undirected
165	#org70	#pla19	1	Undirected
166	#pla3	#pla4	1	Undirected
167	#per64	#per959	1	Undirected
168	#org146	#pla2	1	Undirected
169	#per11	#pla3	2	Undirected
170	#pla8	#wor1	1	Undirected
171	#org104	#per1	1	Undirected
172	#per1	#per961	4	Undirected
173	#org150	#per1	2	Undirected
174	#per11	#per4	2	Undirected
175	#org16	#per1	1	Undirected
176	#org8	#per960	2	Undirected
177	#per11	#per959	16	Undirected
178	#per1	#per18	1	Undirected
179	#org122	#per961	1	Undirected
180	#per11	#per14	11	Undirected
181	#org50	#per11	1	Undirected
182	#org0	#per13	1	Undirected
183	#per963	#pla4	3	Undirected
184	#org19	#per13	1	Undirected
185	#org88	#per959	1	Undirected
186	#per13	#per961	1	Undirected
187	#org19	#per961	1	Undirected
188	#per35	#pla2	1	Undirected
189	#org220	#per18	1	Undirected
190	#per961	#pla7	1	Undirected
191	#org0	#wor1	2	Undirected
192	#org0	#per11	1	Undirected
193	#pla1	#pla2	1	Undirected
194	#org19	#per11	1	Undirected
195	#org101	#org8	1	Undirected
196	#org102	#per11	2	Undirected
197	#per964	#pla467	1	Undirected
198	#org78	#per959	1	Undirected
199	#org150	#org70	1	Undirected
200	#pla7	#pla8	3	Undirected
201	#per14	#pla8	2	Undirected
202	#per12	#per27	1	Undirected
203	#per35	#per960	1	Undirected
204	#org150	#pla18	1	Undirected
205	#per14	#per18	1	Undirected
206	#per14	#pla18	1	Undirected
207	#per14	#pla4	3	Undirected
