	Source	Target	Weight	Type
0	#per14	#pla18	1	Undirected
1	#org70	#per1	1	Undirected
2	#per11	#per5	1	Undirected
3	#per500	#per959	1	Undirected
4	#org70	#per4	1	Undirected
5	#pla7	#pla8	3	Undirected
6	#per2	#per959	1	Undirected
7	#org220	#per14	1	Undirected
8	#org78	#org88	1	Undirected
9	#org42	#per964	1	Undirected
10	#per11	#per12	8	Undirected
11	#org8	#per960	2	Undirected
12	#org78	#per2	1	Undirected
13	#org150	#org70	1	Undirected
14	#org42	#pla467	1	Undirected
15	#org122	#per11	2	Undirected
16	#per35	#pla1	2	Undirected
17	#org122	#per959	1	Undirected
18	#org70	#pla4	3	Undirected
19	#per500	#per64	1	Undirected
20	#org16	#per14	1	Undirected
21	#org16	#per1	1	Undirected
22	#per1	#tim5	1	Undirected
23	#per12	#pla1	1	Undirected
24	#pla3	#pla4	1	Undirected
25	#org19	#per960	1	Undirected
26	#org150	#per1	2	Undirected
27	#per13	#per14	1	Undirected
28	#org4	#per35	1	Undirected
29	#per18	#per959	6	Undirected
30	#per11	#per961	10	Undirected
31	#per1	#per961	4	Undirected
32	#org16	#pla4	1	Undirected
33	#per14	#per963	4	Undirected
34	#pla1	#pla18	1	Undirected
35	#org146	#per35	1	Undirected
36	#per1	#wor1	1	Undirected
37	#org0	#org104	1	Undirected
38	#org18	#per960	1	Undirected
39	#per11	#pla3	2	Undirected
40	#per26	#wor1	1	Undirected
41	#org5	#pla30	1	Undirected
42	#org50	#per959	1	Undirected
43	#per959	#per961	4	Undirected
44	#org0	#per963	2	Undirected
45	#per14	#wor1	4	Undirected
46	#per35	#pla7	1	Undirected
47	#org0	#wor1	2	Undirected
48	#org146	#pla8	1	Undirected
49	#per1	#per12	5	Undirected
50	#per12	#pla3	2	Undirected
51	#org0	#per42	1	Undirected
52	#per1	#per14	9	Undirected
53	#org0	#org4	1	Undirected
54	#per17	#wor1	1	Undirected
55	#org88	#per11	1	Undirected
56	#per12	#pla2	1	Undirected
57	#per17	#per960	2	Undirected
58	#org102	#per959	2	Undirected
59	#org4	#per14	4	Undirected
60	#org19	#per14	1	Undirected
61	#org220	#per959	2	Undirected
62	#org4	#org70	1	Undirected
63	#per1	#per11	10	Undirected
64	#pla30	#wor1	2	Undirected
65	#org100	#org102	2	Undirected
66	#per11	#per963	2	Undirected
67	#org0	#per2	1	Undirected
68	#per959	#pla2	1	Undirected
69	#org0	#per959	1	Undirected
70	#org0	#pla4	2	Undirected
71	#per17	#per961	2	Undirected
72	#org19	#per961	1	Undirected
73	#org0	#per961	1	Undirected
