	id	type
0	b.LUK.1.1	verse
1	b.LUK.1.2	verse
2	b.LUK.1.3	verse
3	b.LUK.1.4	verse
4	b.LUK.1.5	verse
5	b.LUK.1.6	verse
6	b.LUK.1.7	verse
7	b.LUK.1.8	verse
8	b.LUK.1.9	verse
9	b.LUK.1.10	verse
10	b.LUK.1.11	verse
11	b.LUK.1.12	verse
12	b.LUK.1.13	verse
13	b.LUK.1.14	verse
14	b.LUK.1.15	verse
15	b.LUK.1.16	verse
16	b.LUK.1.17	verse
17	b.LUK.1.18	verse
18	b.LUK.1.19	verse
19	b.LUK.1.20	verse
20	b.LUK.1.21	verse
21	b.LUK.1.22	verse
22	b.LUK.1.23	verse
23	b.LUK.1.24	verse
24	b.LUK.1.25	verse
25	b.LUK.1.26	verse
26	b.LUK.1.27	verse
27	b.LUK.1.28	verse
28	b.LUK.1.29	verse
29	b.LUK.1.30	verse
30	b.LUK.1.31	verse
31	b.LUK.1.32	verse
32	b.LUK.1.33	verse
33	b.LUK.1.34	verse
34	b.LUK.1.35	verse
35	b.LUK.1.36	verse
36	b.LUK.1.37	verse
37	b.LUK.1.38	verse
38	b.LUK.1.39	verse
39	b.LUK.1.40	verse
40	b.LUK.1.41	verse
41	b.LUK.1.42	verse
42	b.LUK.1.43	verse
43	b.LUK.1.44	verse
44	b.LUK.1.45	verse
45	b.LUK.1.46	verse
46	b.LUK.1.47	verse
47	b.LUK.1.48	verse
48	b.LUK.1.49	verse
49	b.LUK.1.50	verse
50	b.LUK.1.51	verse
51	b.LUK.1.52	verse
52	b.LUK.1.53	verse
53	b.LUK.1.54	verse
54	b.LUK.1.55	verse
55	b.LUK.1.56	verse
56	b.LUK.1.57	verse
57	b.LUK.1.58	verse
58	b.LUK.1.59	verse
59	b.LUK.1.60	verse
60	b.LUK.1.61	verse
61	b.LUK.1.62	verse
62	b.LUK.1.63	verse
63	b.LUK.1.64	verse
64	b.LUK.1.65	verse
65	b.LUK.1.66	verse
66	b.LUK.1.67	verse
67	b.LUK.1.68	verse
68	b.LUK.1.69	verse
69	b.LUK.1.70	verse
70	b.LUK.1.71	verse
71	b.LUK.1.72	verse
72	b.LUK.1.73	verse
73	b.LUK.1.74	verse
74	b.LUK.1.75	verse
75	b.LUK.1.76	verse
76	b.LUK.1.77	verse
77	b.LUK.1.78	verse
78	b.LUK.1.79	verse
79	b.LUK.1.80	verse
80	b.LUK.2.1	verse
81	b.LUK.2.2	verse
82	b.LUK.2.3	verse
83	b.LUK.2.4	verse
84	b.LUK.2.5	verse
85	b.LUK.2.6	verse
86	b.LUK.2.7	verse
87	b.LUK.2.8	verse
88	b.LUK.2.9	verse
89	b.LUK.2.10	verse
90	b.LUK.2.11	verse
91	b.LUK.2.12	verse
92	b.LUK.2.13	verse
93	b.LUK.2.14	verse
94	b.LUK.2.15	verse
95	b.LUK.2.16	verse
96	b.LUK.2.17	verse
97	b.LUK.2.18	verse
98	b.LUK.2.19	verse
99	b.LUK.2.20	verse
100	b.LUK.2.21	verse
101	b.LUK.2.22	verse
102	b.LUK.2.23	verse
103	b.LUK.2.24	verse
104	b.LUK.2.25	verse
105	b.LUK.2.26	verse
106	b.LUK.2.27	verse
107	b.LUK.2.28	verse
