	Source	Target	Via	Weight	Type
33	#per1	#org0	oral	210	Directed
70	#per1	#org3	oral	141	Directed
44	#per1	#org2	oral	95	Directed
49	#per1	#org5	oral	24	Directed
12	#org0	#org0	oral	22	Directed
50	#org0	#org0	soCalled	18	Directed
37	#per1	#per21	oral	18	Directed
40	#per1	#org15	oral	15	Directed
38	#per21	#per1	oral	15	Directed
80	#per1	#org416	oral	14	Directed
13	#per960	#org0	oath	12	Directed
77	#org0	#per1	oral	12	Directed
69	#org3	#per1	oral	11	Directed
8	#per11	#per959	song	10	Directed
5	#per961	#per11	oral	8	Directed
122	#per1	#org18	oral	8	Directed
47	#org5	#per1	oral	7	Directed
29	#per1	#per14	oral	7	Directed
97	#per1	#org12	oral	6	Directed
102	#org0	#per14	oral	6	Directed
22	#per18	#org70	oral	6	Directed
136	#org7	#per1	oral	6	Directed
53	#org24	#per1	oral	6	Directed
131	#org12	#per1	oral	6	Directed
115	#per1	#org19	oral	5	Directed
123	#org18	#per1	oral	5	Directed
39	#org15	#per1	oral	5	Directed
1	#per961	#per960	oral	5	Directed
52	#org25	#per1	oral	5	Directed
21	#per19	#org0	written	5	Directed
119	#per1	#org100	oral	5	Directed
151	#per50	#org12	oral	5	Directed
86	#per1	#per14	prayer	5	Directed
76	#per14	#org0	oral	5	Directed
138	#per1	#org7	oral	5	Directed
110	#per2	#org100	oral	4	Directed
109	#org100	#per2	oral	4	Directed
103	#org5	#org5	oral	4	Directed
66	#per1	#per2374	oral	4	Directed
94	#per14	#per1	oral	4	Directed
91	#org100	#org100	thought	4	Directed
0	#per958	#per476	oral	4	Directed
17	#per963	#per14	prayer	4	Directed
156	#per55	#per1	oral	4	Directed
133	#org25	#org25	oral	4	Directed
147	#per1	#org25	oral	4	Directed
7	#per959	#per11	oral	4	Directed
30	#per20	#per14	oral	4	Directed
34	#org0	#per1	soCalled	4	Directed
35	#org6	#per1	oral	4	Directed
153	#per1	#org111	oral	3	Directed
104	#org0	#org0	thought	3	Directed
89	#org0	#per14	prayer	3	Directed
152	#org12	#per50	oral	3	Directed
79	#per1	#per25	oral	3	Directed
158	#org4	#org111	oral	3	Directed
14	#org4	#org150	oral	3	Directed
145	#per21	#org0	oral	3	Directed
98	#org2	#per1	oral	3	Directed
41	#per1	#org21	oral	3	Directed
132	#org12	#org12	oral	3	Directed
129	#per1	#pla3	oral	3	Directed
120	#per1	#per2379	oral	3	Directed
106	#per14	#org18	oral	3	Directed
32	#per20	#per1	oral	3	Directed
112	#org2	#org102	soCalled	3	Directed
51	#per1	#org2	#org2	3	Directed
116	#org2	#per14	prayer	2	Directed
84	#per1	#pla11	oral	2	Directed
114	#org184	#org184	thought	2	Directed
154	#org0	#thin0	soCalled	2	Directed
88	#per1	#per108	oral	2	Directed
105	#org0	#per14	idea	2	Directed
140	#org23	#org0	soCalled	2	Directed
139	#per35	#org0	written	2	Directed
95	#per1	#org122	oral	2	Directed
108	#org0	#org0	though	2	Directed
143	#per1	#org24	oral	2	Directed
99	#org2	#per10	idea	2	Directed
100	#per1	#per10	oral	2	Directed
118	#org100	#per1	oral	2	Directed
83	#per1	#pla44	oral	2	Directed
81	#org18	#org0	idea	2	Directed
31	#per1	#per20	oral	2	Directed
36	#per1	#org6	oral	2	Directed
54	#org24	#org24	soCalled	2	Directed
61	#per1	#org27	oral	2	Directed
48	#org2	#org3	oral	2	Directed
45	#per1	#org0	soCalled	2	Directed
64	#per14	#org0	written	2	Directed
67	#per2374	#per1	oral	2	Directed
6	#per11	#per961	oral	2	Directed
68	#org2	#org2	oral	2	Directed
3	#per961	#per961	oral	2	Directed
78	#per25	#per1	oral	2	Directed
74	#per1	#per950	oral	2	Directed
18	#per963	#per11	oral	2	Directed
24	#org70	#per18	oral	1	Directed
134	#per1	#org12	soCalled	1	Directed
141	#per21	#org0	idea	1	Directed
135	#per14	#per14	thought	1	Directed
23	#org70	#org70	soCalled	1	Directed
137	#per26	#org0	written	1	Directed
25	#org20	#per18	oral	1	Directed
26	#per18	#org20	oral	1	Directed
20	#per1	#per11	oral	1	Directed
130	#per1	#org297	oral	1	Directed
19	#per11	#per1	oral	1	Directed
15	#org4	#per14	song	1	Directed
142	#per1	#per34	oral	1	Directed
16	#org150	#org150	oral	1	Directed
160	#per21	#per114	oral	1	Directed
159	#per114	#per1	oral	1	Directed
2	#per960	#per961	oral	1	Directed
157	#per1	#per55	oral	1	Directed
155	#org0	#org0	written	1	Directed
4	#per960	#per960	oral	1	Directed
9	#per959	#org220	oral	1	Directed
10	#org220	#per959	oral	1	Directed
150	#per1	#per50	oral	1	Directed
149	#per50	#per1	oral	1	Directed
148	#org25	#per50	oral	1	Directed
11	#per960	#org220	written	1	Directed
146	#org0	#per21	oral	1	Directed
128	#org416	#per14	oral	1	Directed
144	#org131	#org0	oral	1	Directed
27	#org24	#per18	oral	1	Directed
82	#org18	#org15	idea	1	Directed
127	#org3	#org0	oral	1	Directed
93	#org18	#org18	thought	1	Directed
62	#org27	#per23	idea	1	Directed
101	#org70	#per1	soCalled	1	Directed
63	#org27	#per18	idea	1	Directed
65	#per2374	#per2374	oral	1	Directed
96	#org12	#org0	oral	1	Directed
71	#org0	#org11	oral	1	Directed
92	#per11	#org100	oral	1	Directed
126	#org0	#org3	oral	1	Directed
72	#org3	#org3	oral	1	Directed
90	#org6	#org6	thought	1	Directed
73	#org131	#per950	oral	1	Directed
87	#per108	#per1	oral	1	Directed
75	#per10	#org0	oral	1	Directed
85	#org416	#per1	oral	1	Directed
60	#per18	#per1	oral	1	Directed
59	#org27	#per1	oral	1	Directed
58	#org27	#per1	idea	1	Directed
107	#org18	#org0	oral	1	Directed
57	#per1	#per2373	oral	1	Directed
56	#per1	#per2372	oral	1	Directed
55	#org24	#org131	soCalled	1	Directed
111	#org3	#thin0	soCalled	1	Directed
113	#org102	#org184	oral	1	Directed
46	#per1	#per31	oral	1	Directed
117	#org20	#per14	oral	1	Directed
43	#org2	#org2	thought	1	Directed
42	#org5	#org5	thought	1	Directed
121	#per2379	#per1	oral	1	Directed
28	#per18	#org24	oral	1	Directed
124	#org0	#org3	soCalled	1	Directed
125	#org3	#org0	idea	1	Directed
161	#per114	#org0	oral	1	Directed
