	Source	Target	Weight	Type
0	#per14	#per26	1	Undirected
1	#org0	#per573	11	Undirected
2	#per12	#per573	1	Undirected
3	#pla30	#pla4	1	Undirected
4	#org125	#per573	1	Undirected
5	#per125	#per14	3	Undirected
6	#per125	#wor1	1	Undirected
7	#org125	#org70	1	Undirected
8	#org46	#per14	1	Undirected
9	#per13	#per573	1	Undirected
10	#org4	#per573	1	Undirected
11	#org18	#wor1	1	Undirected
12	#per26	#wor1	1	Undirected
13	#org18	#per26	1	Undirected
14	#org126	#per14	1	Undirected
15	#org126	#per573	1	Undirected
16	#per573	#pla159	1	Undirected
17	#org0	#org122	1	Undirected
18	#org22	#per14	2	Undirected
19	#org19	#per14	7	Undirected
20	#org103	#pla4	1	Undirected
21	#org70	#per5	1	Undirected
22	#org126	#pla246	1	Undirected
23	#org0	#org12	3	Undirected
24	#org102	#org16	1	Undirected
25	#per5	#pla4	1	Undirected
26	#per5	#pla3	2	Undirected
27	#org46	#org70	1	Undirected
28	#org13	#pla4	1	Undirected
29	#per573	#pla3	2	Undirected
30	#per14	#wor4	1	Undirected
31	#org122	#per14	2	Undirected
32	#org70	#per125	1	Undirected
33	#org18	#per13	1	Undirected
34	#org22	#org70	1	Undirected
35	#org70	#pla41	3	Undirected
36	#org19	#org70	6	Undirected
37	#org16	#per14	1	Undirected
38	#per131	#per573	2	Undirected
39	#org18	#org70	4	Undirected
40	#org70	#tim18	1	Undirected
41	#per14	#pla41	3	Undirected
42	#org12	#pla4	2	Undirected
43	#org125	#per14	1	Undirected
44	#org19	#tim2	2	Undirected
45	#org14	#org19	1	Undirected
46	#org12	#pla3	1	Undirected
47	#org70	#wor4	1	Undirected
48	#org103	#pla3	1	Undirected
49	#org102	#org19	1	Undirected
50	#per14	#pla159	1	Undirected
51	#org70	#pla4	3	Undirected
52	#org102	#org70	1	Undirected
53	#org13	#pla3	1	Undirected
54	#org12	#per12	1	Undirected
55	#org103	#per5	1	Undirected
56	#per573	#pla4	6	Undirected
57	#org18	#tim2	2	Undirected
58	#per14	#tim2	3	Undirected
59	#org70	#tim2	2	Undirected
60	#org0	#pla246	1	Undirected
61	#org4	#per1	1	Undirected
62	#per573	#wor4	1	Undirected
63	#org18	#pla4	1	Undirected
64	#org46	#per573	1	Undirected
65	#org13	#per5	1	Undirected
66	#per1	#per573	2	Undirected
67	#org12	#per5	1	Undirected
68	#org122	#per573	2	Undirected
69	#org22	#per573	2	Undirected
70	#org0	#per14	11	Undirected
71	#org4	#per14	1	Undirected
72	#org70	#per4	3	Undirected
73	#org46	#per125	1	Undirected
74	#per573	#tim2	3	Undirected
75	#per14	#per5	2	Undirected
76	#org102	#org14	1	Undirected
77	#org18	#pla159	1	Undirected
78	#org13	#pla30	1	Undirected
79	#org100	#org70	1	Undirected
80	#org70	#per12	1	Undirected
81	#per125	#per573	3	Undirected
82	#org13	#per573	1	Undirected
83	#org103	#org13	1	Undirected
84	#org14	#per573	1	Undirected
85	#per12	#per14	1	Undirected
86	#per26	#pla4	1	Undirected
87	#org103	#pla30	1	Undirected
88	#org102	#per573	1	Undirected
89	#org14	#per14	1	Undirected
90	#org103	#per573	1	Undirected
91	#org12	#org22	1	Undirected
92	#pla159	#pla4	1	Undirected
93	#org0	#wor1	1	Undirected
94	#per13	#tim2	1	Undirected
95	#org70	#pla3	1	Undirected
96	#org16	#per573	1	Undirected
97	#org12	#per14	18	Undirected
98	#org12	#per573	19	Undirected
99	#per1	#pla30	1	Undirected
100	#per14	#pla30	3	Undirected
101	#org12	#wor1	3	Undirected
102	#org70	#per573	38	Undirected
103	#per14	#per573	53	Undirected
104	#org0	#org126	1	Undirected
105	#per14	#wor1	5	Undirected
106	#org4	#pla30	1	Undirected
107	#org70	#pla30	2	Undirected
108	#per573	#pla246	1	Undirected
109	#per14	#pla4	6	Undirected
110	#org14	#org16	1	Undirected
111	#org70	#per13	1	Undirected
112	#org18	#pla41	1	Undirected
113	#org0	#pla4	2	Undirected
114	#org70	#per1	2	Undirected
115	#org13	#per14	1	Undirected
116	#per5	#per573	2	Undirected
117	#org100	#per573	1	Undirected
118	#org12	#per4	1	Undirected
119	#per573	#wor1	5	Undirected
120	#org103	#per14	1	Undirected
121	#org70	#pla246	1	Undirected
122	#org0	#org18	1	Undirected
123	#org18	#per573	6	Undirected
124	#pla3	#pla4	1	Undirected
125	#org0	#pla41	1	Undirected
126	#per14	#per4	3	Undirected
127	#per26	#per573	1	Undirected
128	#per1	#tim18	1	Undirected
129	#pla159	#wor1	1	Undirected
130	#per13	#per14	1	Undirected
131	#org12	#pla30	1	Undirected
132	#org70	#per14	37	Undirected
133	#org12	#org70	5	Undirected
134	#org18	#per14	6	Undirected
135	#org70	#wor1	4	Undirected
136	#org100	#per14	1	Undirected
137	#org12	#org122	2	Undirected
138	#org0	#org70	9	Undirected
139	#org12	#org13	1	Undirected
140	#per4	#per573	3	Undirected
141	#org0	#per4	1	Undirected
142	#org126	#org70	1	Undirected
143	#org70	#per131	2	Undirected
144	#org4	#org70	1	Undirected
145	#org70	#pla159	1	Undirected
146	#per1	#per14	1	Undirected
147	#per131	#per4	1	Undirected
148	#org16	#org70	1	Undirected
149	#per5	#pla30	1	Undirected
150	#org103	#org12	1	Undirected
151	#pla4	#wor1	1	Undirected
152	#per573	#pla30	3	Undirected
153	#per573	#pla41	3	Undirected
154	#org18	#org19	2	Undirected
155	#org14	#org70	1	Undirected
156	#pla3	#pla30	1	Undirected
157	#per573	#tim18	1	Undirected
158	#per131	#per14	2	Undirected
159	#org16	#org19	1	Undirected
160	#per14	#pla246	1	Undirected
161	#org125	#per131	1	Undirected
162	#per26	#pla159	1	Undirected
163	#org12	#per125	2	Undirected
164	#per14	#pla3	2	Undirected
165	#org102	#per14	1	Undirected
166	#org19	#per573	7	Undirected
167	#org70	#per26	1	Undirected
