	Source	Target	Weight	Type
0	#per14	#per573	53	Undirected
34	#per573	#org70	33	Undirected
1	#per14	#org70	32	Undirected
35	#per573	#org12	19	Undirected
2	#per14	#org12	18	Undirected
36	#per573	#org0	11	Undirected
3	#per14	#org0	11	Undirected
69	#org70	#org0	8	Undirected
4	#per14	#org19	7	Undirected
37	#per573	#org19	7	Undirected
70	#org70	#org19	6	Undirected
38	#per573	#pla4	6	Undirected
5	#per14	#pla4	6	Undirected
39	#per573	#wor1	5	Undirected
6	#per14	#wor1	5	Undirected
68	#org70	#org12	3	Undirected
72	#org70	#wor1	3	Undirected
75	#org70	#per4	3	Undirected
48	#per573	#per125	3	Undirected
95	#org12	#org0	3	Undirected
40	#per573	#tim2	3	Undirected
97	#org12	#wor1	3	Undirected
41	#per573	#pla41	3	Undirected
15	#per14	#per125	3	Undirected
44	#per573	#org18	3	Undirected
12	#per14	#pla30	3	Undirected
11	#per14	#org18	3	Undirected
45	#per573	#pla30	3	Undirected
9	#per14	#per4	3	Undirected
8	#per14	#pla41	3	Undirected
7	#per14	#tim2	3	Undirected
42	#per573	#per4	3	Undirected
52	#per573	#pla3	2	Undirected
79	#org70	#per1	2	Undirected
56	#per573	#per5	2	Undirected
57	#per573	#org22	2	Undirected
71	#org70	#pla4	2	Undirected
74	#org70	#pla41	2	Undirected
81	#org70	#per131	2	Undirected
96	#org12	#pla4	2	Undirected
99	#org12	#org122	2	Undirected
101	#org12	#per125	2	Undirected
107	#org0	#pla4	2	Undirected
114	#org19	#tim2	2	Undirected
115	#org19	#org18	2	Undirected
146	#pla3	#per5	2	Undirected
49	#per573	#per131	2	Undirected
77	#org70	#pla30	2	Undirected
47	#per573	#per1	2	Undirected
23	#per14	#per5	2	Undirected
43	#per573	#org122	2	Undirected
16	#per14	#per131	2	Undirected
19	#per14	#pla3	2	Undirected
10	#per14	#org122	2	Undirected
24	#per14	#org22	2	Undirected
117	#org19	#org16	1	Undirected
125	#pla4	#org13	1	Undirected
124	#pla4	#pla159	1	Undirected
123	#pla4	#per5	1	Undirected
122	#pla4	#per26	1	Undirected
121	#pla4	#pla3	1	Undirected
120	#pla4	#pla30	1	Undirected
119	#pla4	#wor1	1	Undirected
118	#org19	#org14	1	Undirected
14	#per14	#per1	1	Undirected
116	#org19	#org102	1	Undirected
13	#per14	#org46	1	Undirected
113	#org0	#org126	1	Undirected
112	#org0	#pla246	1	Undirected
111	#org0	#org122	1	Undirected
110	#org0	#per4	1	Undirected
109	#org0	#pla41	1	Undirected
108	#org0	#wor1	1	Undirected
106	#org12	#org103	1	Undirected
105	#org12	#org13	1	Undirected
126	#pla4	#org103	1	Undirected
128	#wor1	#per26	1	Undirected
127	#wor1	#per125	1	Undirected
103	#org12	#per5	1	Undirected
152	#org16	#org14	1	Undirected
151	#per5	#org103	1	Undirected
150	#per5	#org13	1	Undirected
149	#per26	#pla159	1	Undirected
148	#pla3	#org103	1	Undirected
147	#pla3	#org13	1	Undirected
145	#pla246	#org126	1	Undirected
144	#org102	#org14	1	Undirected
143	#org102	#org16	1	Undirected
142	#per131	#org125	1	Undirected
141	#per1	#org4	1	Undirected
140	#per1	#tim18	1	Undirected
139	#org46	#per125	1	Undirected
138	#pla30	#org103	1	Undirected
137	#pla30	#org13	1	Undirected
136	#pla30	#org4	1	Undirected
135	#pla30	#per5	1	Undirected
134	#pla30	#pla3	1	Undirected
133	#pla30	#per1	1	Undirected
132	#per4	#per131	1	Undirected
131	#tim2	#per13	1	Undirected
130	#tim2	#org18	1	Undirected
129	#wor1	#pla159	1	Undirected
104	#org12	#org22	1	Undirected
17	#per14	#org102	1	Undirected
102	#org12	#pla3	1	Undirected
62	#per573	#org4	1	Undirected
27	#per14	#org100	1	Undirected
28	#per14	#org4	1	Undirected
29	#per14	#org16	1	Undirected
30	#per14	#org14	1	Undirected
31	#per14	#org13	1	Undirected
67	#per573	#org103	1	Undirected
66	#per573	#org125	1	Undirected
65	#per573	#org13	1	Undirected
64	#per573	#org14	1	Undirected
63	#per573	#org16	1	Undirected
61	#per573	#org100	1	Undirected
46	#per573	#org46	1	Undirected
60	#per573	#pla159	1	Undirected
59	#per573	#wor4	1	Undirected
58	#per573	#tim18	1	Undirected
32	#per14	#org125	1	Undirected
33	#per14	#org103	1	Undirected
55	#per573	#org126	1	Undirected
54	#per573	#per26	1	Undirected
53	#per573	#per13	1	Undirected
51	#per573	#pla246	1	Undirected
50	#per573	#org102	1	Undirected
73	#org70	#tim2	1	Undirected
26	#per14	#pla159	1	Undirected
25	#per14	#wor4	1	Undirected
76	#org70	#org18	1	Undirected
100	#org12	#pla30	1	Undirected
18	#per14	#pla246	1	Undirected
98	#org12	#per4	1	Undirected
20	#per14	#per13	1	Undirected
21	#per14	#per26	1	Undirected
94	#org70	#org125	1	Undirected
93	#org70	#org14	1	Undirected
92	#org70	#org16	1	Undirected
91	#org70	#org4	1	Undirected
90	#org70	#org100	1	Undirected
89	#org70	#wor4	1	Undirected
88	#org70	#tim18	1	Undirected
87	#org70	#org22	1	Undirected
86	#org70	#per5	1	Undirected
85	#org70	#org126	1	Undirected
84	#org70	#pla3	1	Undirected
83	#org70	#pla246	1	Undirected
82	#org70	#org102	1	Undirected
22	#per14	#org126	1	Undirected
80	#org70	#per125	1	Undirected
78	#org70	#org46	1	Undirected
153	#org13	#org103	1	Undirected
