	Source	Target	Weight	Type
0	#org29	#pla35	1	Undirected
1	#org18	#per22	3	Undirected
2	#org12	#tim6	2	Undirected
3	#per1	#per20	4	Undirected
4	#per27	#per28	1	Undirected
5	#per14	#per22	3	Undirected
6	#org0	#per99	1	Undirected
7	#org101	#per1	1	Undirected
8	#org3	#pla25	1	Undirected
9	#per27	#per30	1	Undirected
10	#org15	#org2	1	Undirected
11	#per957	#pla36	1	Undirected
12	#per1	#per706	1	Undirected
13	#org6	#pla47	2	Undirected
14	#org3	#tim9	1	Undirected
15	#org2	#per706	1	Undirected
16	#org2	#per35	1	Undirected
17	#per18	#pla47	1	Undirected
18	#org0	#pla47	2	Undirected
19	#per1	#per35	7	Undirected
20	#per1	#per31	1	Undirected
21	#org5	#tim5	2	Undirected
22	#org0	#pla23	1	Undirected
23	#org5	#pla3	4	Undirected
24	#org24	#per34	1	Undirected
25	#org102	#per1	4	Undirected
26	#org0	#org3	36	Undirected
27	#per951	#pla2	1	Undirected
28	#pla28	#pla31	1	Undirected
29	#org70	#tim6	1	Undirected
30	#per18	#per21	2	Undirected
31	#per1	#per18	6	Undirected
32	#per10	#per102	2	Undirected
33	#per22	#per30	1	Undirected
34	#org24	#per951	1	Undirected
35	#org0	#org13	3	Undirected
36	#org102	#tim5	1	Undirected
37	#per22	#pla41	2	Undirected
38	#org25	#pla18	2	Undirected
39	#org25	#wor1	1	Undirected
40	#per1	#thin0	2	Undirected
41	#per1	#per21	66	Undirected
42	#org13	#per50	3	Undirected
43	#org0	#pla18	2	Undirected
44	#org0	#per950	1	Undirected
45	#pla22	#pla735	1	Undirected
46	#org24	#per10	1	Undirected
47	#per1	#per17	3	Undirected
48	#org15	#per26	1	Undirected
49	#per18	#pla8	1	Undirected
50	#org6	#pla3	1	Undirected
51	#per18	#per19	2	Undirected
52	#per23	#pla28	1	Undirected
53	#org12	#per26	1	Undirected
54	#pla3	#tim5	1	Undirected
55	#per26	#per3	1	Undirected
56	#per14	#per4	1	Undirected
57	#per1	#per14	65	Undirected
58	#per34	#pla30	1	Undirected
59	#per58	#pla36	1	Undirected
60	#org18	#pla18	1	Undirected
61	#org3	#thin0	2	Undirected
62	#org100	#pla7	1	Undirected
63	#per50	#pla19	1	Undirected
64	#per950	#pla47	4	Undirected
65	#org0	#pla25	1	Undirected
66	#org9	#per1	4	Undirected
67	#per1	#pla24	1	Undirected
68	#org7	#per1	9	Undirected
69	#per58	#per59	5	Undirected
70	#org3	#pla30	3	Undirected
71	#per14	#per61	1	Undirected
72	#org0	#per18	7	Undirected
73	#per1	#per59	1	Undirected
74	#org24	#org25	1	Undirected
75	#per23	#pla2	1	Undirected
76	#pla17	#tim2	1	Undirected
77	#per28	#per477	1	Undirected
78	#org6	#per14	3	Undirected
79	#per14	#per706	1	Undirected
80	#per31	#tim9	1	Undirected
81	#per1	#tim5	2	Undirected
82	#org70	#pla2	1	Undirected
