	Source	Target	Weight	Type
0	#org27	#per1	1	Undirected
1	#org0	#org100	1	Undirected
2	#org0	#org25	3	Undirected
3	#org12	#org25	14	Undirected
4	#org12	#org70	3	Undirected
5	#per28	#per32	1	Undirected
6	#org5	#per17	1	Undirected
7	#per54	#per955	1	Undirected
8	#pla2	#pla7	1	Undirected
9	#org2	#per35	1	Undirected
10	#org5	#per48	1	Undirected
11	#org3	#pla11	1	Undirected
12	#org2	#tim9	4	Undirected
13	#org183	#org2	1	Undirected
14	#org12	#pla30	3	Undirected
15	#org100	#pla7	1	Undirected
16	#per25	#pla2	1	Undirected
17	#pla22	#pla9	1	Undirected
18	#org0	#per954	1	Undirected
19	#org23	#per25	2	Undirected
20	#per1	#per3	1	Undirected
21	#org2	#org20	1	Undirected
22	#per22	#pla30	1	Undirected
23	#per14	#pla15	1	Undirected
24	#org102	#tim5	1	Undirected
25	#per1	#pla18	9	Undirected
26	#pla23	#pla3	1	Undirected
27	#org3	#tim9	1	Undirected
28	#pla3	#pla7	1	Undirected
29	#org24	#per18	1	Undirected
30	#per21	#thin0	1	Undirected
31	#per14	#pla30	2	Undirected
32	#org0	#per1	130	Undirected
33	#per1	#per23	49	Undirected
34	#per14	#per25	4	Undirected
35	#org0	#per100	1	Undirected
36	#org70	#pla9	1	Undirected
37	#org2	#org9	6	Undirected
38	#org2	#pla262	1	Undirected
39	#org5	#per18	2	Undirected
40	#org3	#pla16	1	Undirected
41	#per14	#per17	1	Undirected
42	#per1	#pla2	2	Undirected
43	#org0	#pla22	1	Undirected
44	#org27	#org3	1	Undirected
45	#org0	#pla30	4	Undirected
46	#per29	#per30	1	Undirected
47	#per1	#pla35	1	Undirected
48	#per13	#per23	4	Undirected
49	#per20	#pla3	1	Undirected
50	#per1	#pla27	1	Undirected
51	#org6	#pla3	1	Undirected
52	#org0	#per23	8	Undirected
53	#per25	#pla41	2	Undirected
54	#org18	#per14	2	Undirected
55	#org25	#org70	1	Undirected
56	#org0	#per14	25	Undirected
57	#per18	#per38	2	Undirected
58	#org11	#per11	4	Undirected
59	#org2	#org27	1	Undirected
60	#per101	#per98	1	Undirected
61	#per1	#wor1	4	Undirected
62	#per22	#pla28	1	Undirected
63	#per50	#pla35	1	Undirected
64	#per28	#per30	1	Undirected
65	#per1	#pla19	16	Undirected
66	#per1	#thin0	2	Undirected
67	#org0	#org9	1	Undirected
68	#org70	#per26	2	Undirected
69	#per21	#pla7	2	Undirected
70	#pla2	#pla3	1	Undirected
71	#org3	#per953	1	Undirected
72	#per21	#per26	2	Undirected
73	#org102	#pla18	1	Undirected
74	#per22	#per29	1	Undirected
75	#pla22	#pla40	1	Undirected
76	#per14	#pla35	1	Undirected
77	#per17	#per23	1	Undirected
78	#per1	#pla31	3	Undirected
79	#org29	#pla19	1	Undirected
80	#per14	#pla7	1	Undirected
81	#org12	#org16	1	Undirected
82	#per30	#per31	1	Undirected
83	#org122	#org183	3	Undirected
84	#org20	#org5	1	Undirected
85	#per23	#pla47	1	Undirected
86	#per59	#per60	2	Undirected
87	#org122	#per1	3	Undirected
88	#per1	#pla43	6	Undirected
89	#org12	#org3	3	Undirected
90	#per22	#pla7	1	Undirected
91	#org3	#org4	2	Undirected
92	#per10	#per18	6	Undirected
93	#org11	#per99	1	Undirected
94	#per13	#per26	3	Undirected
95	#org15	#org18	1	Undirected
96	#org3	#per13	1	Undirected
97	#per21	#per957	1	Undirected
98	#per28	#per29	1	Undirected
99	#org0	#org6	4	Undirected
100	#org2	#org5	12	Undirected
101	#per1	#pla16	1	Undirected
102	#pla11	#pla47	1	Undirected
103	#org0	#org11	3	Undirected
104	#per706	#pla262	1	Undirected
105	#org18	#per1	7	Undirected
106	#org12	#pla3	2	Undirected
107	#org0	#pla43	4	Undirected
108	#org0	#per21	15	Undirected
109	#per22	#per30	1	Undirected
110	#per28	#per477	1	Undirected
111	#org0	#pla3	3	Undirected
112	#per33	#per477	1	Undirected
113	#org3	#pla45	1	Undirected
114	#pla16	#tim2	1	Undirected
115	#org2	#per42	3	Undirected
116	#org100	#per14	1	Undirected
117	#per21	#per23	47	Undirected
118	#org20	#org3	2	Undirected
119	#org100	#per1	3	Undirected
120	#org6	#pla7	1	Undirected
121	#org3	#pla17	1	Undirected
122	#per18	#per21	2	Undirected
123	#per1	#per24	1	Undirected
124	#per1	#pla40	1	Undirected
125	#per23	#per26	1	Undirected
126	#org18	#org19	1	Undirected
127	#per29	#per31	1	Undirected
128	#org13	#org2	1	Undirected
129	#per2	#per26	1	Undirected
130	#org70	#per18	1	Undirected
131	#org25	#pla3	1	Undirected
132	#org9	#per1	4	Undirected
133	#org6	#per14	3	Undirected
134	#org11	#per98	1	Undirected
135	#per31	#per33	1	Undirected
136	#per21	#per22	38	Undirected
137	#org0	#pla23	1	Undirected
138	#org12	#per18	2	Undirected
139	#org4	#org7	1	Undirected
140	#per1	#tim1	2	Undirected
141	#org15	#pla21	2	Undirected
142	#pla23	#pla43	1	Undirected
143	#per1	#per957	1	Undirected
144	#org0	#per20	1	Undirected
145	#org0	#org102	4	Undirected
146	#org2	#org25	2	Undirected
147	#pla17	#tim2	1	Undirected
148	#per1	#per10	3	Undirected
149	#pla23	#pla9	1	Undirected
150	#pla28	#pla3	1	Undirected
151	#per10	#pla7	1	Undirected
152	#pla40	#pla7	1	Undirected
153	#per58	#pla36	1	Undirected
154	#per14	#per42	2	Undirected
155	#org29	#per1	4	Undirected
156	#org29	#per14	1	Undirected
157	#org19	#wor1	1	Undirected
158	#org70	#tim6	1	Undirected
159	#org12	#org5	20	Undirected
160	#per3	#per4	1	Undirected
161	#per1	#pla11	4	Undirected
162	#org183	#org70	1	Undirected
163	#org12	#per14	1	Undirected
164	#org3	#pla26	1	Undirected
165	#per22	#pla18	2	Undirected
166	#org3	#per25	5	Undirected
167	#per1	#pla24	1	Undirected
168	#per22	#per31	1	Undirected
169	#org12	#per51	1	Undirected
170	#org3	#pla18	2	Undirected
171	#org3	#tim1	2	Undirected
172	#per27	#per32	1	Undirected
173	#pla23	#pla40	1	Undirected
174	#per28	#per33	1	Undirected
