	Source	Target	Via	Weight	Type
45	#per1	#org3	oral	96	Directed
56	#per1	#org0	oral	49	Directed
29	#per1	#per23	oral	37	Directed
61	#per1	#org2	oral	22	Directed
77	#per1	#per21	oral	20	Directed
32	#org0	#org0	oral	16	Directed
39	#org3	#per1	oral	15	Directed
53	#per1	#org5	oral	15	Directed
7	#org0	#per1	oral	14	Directed
8	#per1	#org15	oral	11	Directed
65	#per21	#per1	oral	8	Directed
66	#per1	#org70	oral	6	Directed
69	#org2	#per1	oral	5	Directed
33	#org7	#per1	oral	5	Directed
10	#org6	#per1	oral	5	Directed
71	#org3	#org3	oral	5	Directed
67	#per1	#org7	oral	4	Directed
34	#org5	#org5	oral	4	Directed
35	#per1	#org6	oral	4	Directed
52	#per23	#per1	oral	4	Directed
78	#per19	#org0	written	4	Directed
70	#per14	#org0	oral	4	Directed
85	#per1	#per25	oral	3	Directed
87	#per1	#per14	prayer	3	Directed
44	#org12	#org12	oral	3	Directed
41	#per953	#per1	oral	3	Directed
88	#per50	#org0	oral	3	Directed
60	#per1	#org12	oral	3	Directed
0	#per14	#per1	oral	3	Directed
91	#org0	#org0	soCalled	3	Directed
19	#per1	#per953	oral	3	Directed
18	#org0	#org0	written	3	Directed
55	#per48	#per1	oral	2	Directed
20	#per26	#org0	oral	2	Directed
57	#per48	#org29	oral	2	Directed
79	#org12	#per1	oral	2	Directed
75	#per50	#per1	oral	2	Directed
47	#org12	#org5	oral	2	Directed
1	#per1	#org15	soCalled	2	Directed
74	#per21	#org0	oral	2	Directed
82	#org25	#org25	oral	2	Directed
48	#per1	#org15	oath	2	Directed
62	#org5	#per1	oral	2	Directed
40	#org0	#per21	oral	2	Directed
4	#org4	#per58	oral	2	Directed
38	#per1	#per34	oral	2	Directed
86	#per18	#org0	oral	2	Directed
89	#org0	#per50	oral	2	Directed
15	#org15	#per1	oral	2	Directed
28	#per10	#org0	oral	2	Directed
72	#per1	#per952	oral	2	Directed
73	#per14	#per18	oral	1	Directed
9	#org2	#org3	oral	1	Directed
11	#org24	#org0	written	1	Directed
30	#per14	#per21	oral	1	Directed
76	#per950	#per1	oral	1	Directed
6	#per14	#per26	oral	1	Directed
5	#per957	#per957	oral	1	Directed
68	#per35	#org0	oral	1	Directed
80	#per38	#per951	oral	1	Directed
81	#per1	#per950	oral	1	Directed
83	#org23	#org23	soCalled	1	Directed
84	#per10	#per951	oral	1	Directed
3	#org3	#org0	soCalled	1	Directed
2	#org0	#org3	oral	1	Directed
90	#per1	#per50	oral	1	Directed
12	#org0	#org29	oral	1	Directed
16	#per10	#per38	oral	1	Directed
13	#per34	#per1	oral	1	Directed
14	#org0	#per950	oral	1	Directed
27	#per38	#per10	oral	1	Directed
26	#org24	#per1	oral	1	Directed
25	#org2	#org0	soCalled	1	Directed
36	#org24	#org0	oral	1	Directed
37	#org5	#org12	oral	1	Directed
24	#per34	#org12	oral	1	Directed
23	#org5	#org5	thought	1	Directed
42	#org0	#thin0	soCalled	1	Directed
43	#per58	#per58	oral	1	Directed
22	#per1	#per31	oral	1	Directed
21	#per1	#per48	oral	1	Directed
49	#per1	#org12	soCalled	1	Directed
50	#org15	#org0	oral	1	Directed
51	#org70	#per1	oral	1	Directed
54	#per951	#per38	oral	1	Directed
58	#per1	#pla43	oral	1	Directed
59	#per25	#per1	oral	1	Directed
17	#per952	#per1	oral	1	Directed
31	#per18	#per10	oral	1	Directed
63	#per59	#per59	oral	1	Directed
64	#per1	#thin0	oral	1	Directed
46	#per1	#org0	soCalled	1	Directed
