	Source	Target	Weight	Type
0	#per2	#per3	3	Undirected
1	#org24	#org25	3	Undirected
2	#org0	#org24	1	Undirected
3	#org5	#per10	2	Undirected
4	#org20	#org3	4	Undirected
5	#per17	#per18	1	Undirected
6	#org18	#tim2	1	Undirected
7	#per98	#per99	1	Undirected
8	#org4	#per58	3	Undirected
9	#per18	#per37	1	Undirected
10	#org23	#per1	1	Undirected
11	#pla1	#pla4	1	Undirected
12	#per1	#pla5	3	Undirected
13	#per2	#per4	3	Undirected
14	#per81	#per83	1	Undirected
15	#per41	#pla7	1	Undirected
16	#pla2	#pla39	1	Undirected
17	#org16	#per19	1	Undirected
18	#org0	#pla47	5	Undirected
19	#per69	#per71	1	Undirected
20	#pla39	#pla42	1	Undirected
21	#org21	#per18	1	Undirected
22	#org15	#pla30	1	Undirected
23	#per57	#pla42	1	Undirected
24	#org4	#per17	1	Undirected
25	#per20	#pla3	1	Undirected
26	#org13	#per19	1	Undirected
27	#org2	#tim1	2	Undirected
28	#org13	#org24	2	Undirected
29	#per82	#per83	1	Undirected
30	#org6	#pla19	1	Undirected
31	#org25	#per0	3	Undirected
32	#per1	#per19	5	Undirected
33	#org13	#per10	2	Undirected
34	#org8	#per13	1	Undirected
35	#per71	#per73	1	Undirected
36	#org8	#pla4	1	Undirected
37	#per102	#per37	1	Undirected
38	#org0	#per2	1	Undirected
39	#per34	#per477	1	Undirected
40	#per27	#per28	1	Undirected
41	#per1	#pla11	2	Undirected
42	#per22	#per23	7	Undirected
43	#org27	#per25	1	Undirected
44	#org5	#per13	1	Undirected
45	#per76	#per77	1	Undirected
46	#org0	#per0	13	Undirected
47	#org16	#org20	1	Undirected
48	#org2	#per25	1	Undirected
49	#per68	#per69	1	Undirected
50	#per15	#per18	1	Undirected
51	#org2	#wor1	5	Undirected
52	#org0	#per13	3	Undirected
53	#per1	#pla4	9	Undirected
54	#per18	#pla2	1	Undirected
55	#org2	#tim9	6	Undirected
56	#per101	#per11	1	Undirected
57	#per72	#per73	1	Undirected
58	#per23	#per41	3	Undirected
59	#org12	#pla4	1	Undirected
60	#per11	#pla5	2	Undirected
61	#org14	#per1	3	Undirected
62	#org13	#org8	1	Undirected
63	#per1	#per41	3	Undirected
64	#org12	#wor1	2	Undirected
65	#per1	#pla20	3	Undirected
66	#per21	#per40	1	Undirected
67	#per1	#per36	4	Undirected
68	#per14	#pla5	3	Undirected
69	#org5	#pla15	1	Undirected
70	#per0	#per1	61	Undirected
71	#per14	#tim2	2	Undirected
72	#org3	#tim4	2	Undirected
73	#org4	#per1	17	Undirected
74	#org5	#pla30	1	Undirected
75	#org10	#org13	1	Undirected
76	#org16	#pla7	1	Undirected
77	#pla18	#pla41	7	Undirected
78	#org8	#pla29	1	Undirected
79	#org8	#pla18	1	Undirected
80	#per87	#per9	1	Undirected
81	#per19	#pla9	1	Undirected
82	#per39	#per64	1	Undirected
83	#per83	#per85	1	Undirected
84	#per2	#per5	1	Undirected
85	#org25	#per51	1	Undirected
86	#per1	#pla9	2	Undirected
87	#org18	#per0	1	Undirected
88	#org0	#pla16	2	Undirected
89	#per2	#per35	2	Undirected
90	#org4	#pla4	1	Undirected
91	#org3	#pla25	1	Undirected
92	#per100	#per12	1	Undirected
93	#pla11	#pla8	1	Undirected
94	#org3	#per46	1	Undirected
95	#org0	#pla45	1	Undirected
96	#pla2	#pla7	3	Undirected
97	#per87	#per88	1	Undirected
98	#org2	#per35	5	Undirected
99	#org4	#per12	6	Undirected
100	#per59	#per60	1	Undirected
101	#per92	#per93	1	Undirected
102	#org5	#tim1	1	Undirected
