	Source	Target	Via	Weight	Type
30	#per1	#org3	oral	395	Directed
44	#per1	#org0	oral	92	Directed
4	#per1	#org2	oral	57	Directed
88	#per0	#per0	oral	29	Directed
23	#per1	#per21	oral	25	Directed
81	#org3	#per1	oral	22	Directed
74	#per1	#org12	oral	21	Directed
60	#org0	#org0	oral	13	Directed
78	#per0	#org0	oral	12	Directed
58	#per1	#per0	oral	11	Directed
49	#per21	#per1	oral	11	Directed
92	#per0	#per1	oral	10	Directed
33	#org2	#per1	oral	9	Directed
9	#per1	#org15	oral	8	Directed
12	#per1	#per14	prayer	6	Directed
71	#per18	#org2	oral	6	Directed
5	#per1	#org27	oral	6	Directed
22	#per1	#org18	idea	5	Directed
84	#org7	#per1	oral	5	Directed
90	#per50	#org13	oral	5	Directed
28	#org12	#per1	oral	5	Directed
0	#per1	#per14	idea	5	Directed
73	#per21	#org0	oral	4	Directed
13	#per1	#org5	oral	4	Directed
77	#org12	#org12	oral	4	Directed
54	#org4	#per12	dream	4	Directed
91	#per48	#per1	oral	4	Directed
29	#per1	#org7	oral	4	Directed
65	#org13	#per50	oral	4	Directed
63	#org15	#per1	oral	4	Directed
93	#per1	#per20	oral	4	Directed
1	#org5	#per1	oral	3	Directed
41	#per20	#per1	oral	3	Directed
62	#org18	#per1	idea	3	Directed
2	#org5	#org0	soCalled	3	Directed
35	#per34	#org12	oral	3	Directed
18	#per0	#per21	oral	3	Directed
27	#org4	#per58	oral	3	Directed
47	#org0	#per1	oral	3	Directed
64	#pla3	#org0	oral	2	Directed
20	#org6	#per1	oral	2	Directed
80	#per1	#per57	oral	2	Directed
57	#per14	#org0	oral	2	Directed
56	#per1	#org0	soCalled	2	Directed
55	#per1	#per41	oral	2	Directed
68	#org12	#org24	oral	2	Directed
85	#org2	#org0	oral	2	Directed
51	#per50	#per1	oral	2	Directed
87	#org5	#per10	oral	2	Directed
75	#org25	#org25	oral	2	Directed
31	#per14	#org18	idea	2	Directed
46	#per34	#per1	oral	2	Directed
24	#per1	#per58	oral	2	Directed
43	#org3	#org0	idea	2	Directed
40	#org12	#org0	oral	2	Directed
26	#per57	#per1	oral	2	Directed
38	#org2	#org0	soCalled	2	Directed
96	#per1	#per34	oral	2	Directed
37	#org3	#per58	oral	2	Directed
94	#org2	#per50	oral	2	Directed
76	#org19	#per1	idea	1	Directed
97	#per1	#per18	oral	1	Directed
10	#org3	#org3	oral	1	Directed
79	#per1	#org6	oral	1	Directed
8	#org0	#per21	oral	1	Directed
95	#per0	#org0	idea	1	Directed
86	#per25	#per10	oral	1	Directed
82	#per52	#per50	oral	1	Directed
83	#org12	#per34	oral	1	Directed
3	#org0	#org12	oral	1	Directed
89	#org1	#per48	oral	1	Directed
7	#org5	#org5	oral	1	Directed
6	#per41	#per1	oral	1	Directed
21	#per1	#per1	oral	1	Directed
14	#org10	#per10	oral	1	Directed
11	#per1	#org19	idea	1	Directed
72	#per10	#org26	oral	1	Directed
25	#per38	#per10	oral	1	Directed
19	#per57	#per0	oral	1	Directed
32	#org1	#per1	oral	1	Directed
17	#org24	#org0	oral	1	Directed
34	#per1	#per48	oral	1	Directed
36	#per1	#per23	oral	1	Directed
39	#per10	#org10	oral	1	Directed
42	#org24	#per1	oral	1	Directed
16	#org4	#org0	idea	1	Directed
45	#per1	#org12	idea	1	Directed
48	#org25	#org15	oral	1	Directed
50	#org2	#org3	oral	1	Directed
52	#per18	#per1	oral	1	Directed
53	#org8	#pla1	written	1	Directed
15	#per18	#org0	oral	1	Directed
59	#per1	#per50	oral	1	Directed
61	#per23	#per1	oral	1	Directed
66	#org27	#per1	oral	1	Directed
67	#per50	#org2	oral	1	Directed
69	#org3	#org0	oral	1	Directed
70	#per1	#per27	oral	1	Directed
98	#per3	#per1	oral	1	Directed
