	Source	Target	Weight	Type
0	#per14	#per26	1	Undirected
1	#per26	#per635	1	Undirected
2	#org0	#org122	2	Undirected
3	#per635	#pla286	1	Undirected
4	#org70	#pla4	12	Undirected
5	#org24	#pla72	2	Undirected
6	#org0	#org24	4	Undirected
7	#pla41	#pla72	1	Undirected
8	#per14	#per17	2	Undirected
9	#per14	#pla51	3	Undirected
10	#pla288	#pla289	1	Undirected
11	#org100	#per636	1	Undirected
12	#org0	#org21	1	Undirected
13	#per257	#pla41	1	Undirected
14	#org88	#per1	1	Undirected
15	#org135	#pla4	1	Undirected
16	#org70	#per635	53	Undirected
17	#per638	#pla291	1	Undirected
18	#per14	#pla41	9	Undirected
19	#per14	#pla284	1	Undirected
20	#per635	#pla3	10	Undirected
21	#org12	#org25	1	Undirected
22	#pla4	#pla41	1	Undirected
23	#org0	#per26	1	Undirected
24	#per635	#pla283	1	Undirected
25	#org70	#per257	1	Undirected
26	#per639	#per640	1	Undirected
27	#per69	#pla2	1	Undirected
28	#per69	#pla3	1	Undirected
29	#org24	#org8	1	Undirected
30	#org8	#per14	5	Undirected
31	#org0	#per637	1	Undirected
32	#per635	#per639	1	Undirected
33	#org101	#org122	1	Undirected
34	#org25	#per14	12	Undirected
35	#per639	#pla291	1	Undirected
36	#org101	#pla72	1	Undirected
37	#org0	#per14	88	Undirected
38	#per635	#pla41	9	Undirected
39	#pla284	#pla285	1	Undirected
40	#per14	#per69	1	Undirected
41	#org100	#org70	1	Undirected
42	#org70	#pla287	1	Undirected
43	#per4	#pla3	1	Undirected
44	#per14	#per642	1	Undirected
45	#pla3	#pla72	6	Undirected
46	#org70	#per638	1	Undirected
47	#org0	#pla288	1	Undirected
48	#per1	#pla1	1	Undirected
49	#per639	#pla292	1	Undirected
50	#pla283	#pla285	1	Undirected
51	#org130	#org70	1	Undirected
52	#per4	#wor1	1	Undirected
53	#org0	#org8	5	Undirected
54	#pla2	#pla280	1	Undirected
55	#per14	#pla2	4	Undirected
56	#per14	#pla69	1	Undirected
57	#per70	#pla51	1	Undirected
58	#org135	#per1	1	Undirected
59	#org0	#pla69	1	Undirected
60	#per14	#per638	1	Undirected
61	#per635	#pla285	1	Undirected
62	#org24	#per14	4	Undirected
63	#per635	#per636	1	Undirected
64	#org135	#per257	1	Undirected
65	#org70	#per4	5	Undirected
66	#pla3	#pla4	2	Undirected
67	#per635	#pla284	1	Undirected
68	#org0	#per612	1	Undirected
69	#org0	#per641	1	Undirected
70	#org18	#per14	3	Undirected
71	#per14	#pla289	1	Undirected
72	#per637	#pla4	1	Undirected
73	#pla3	#pla51	2	Undirected
74	#org0	#org25	12	Undirected
75	#org88	#per2	1	Undirected
76	#per620	#pla4	1	Undirected
77	#per71	#pla2	1	Undirected
78	#per1	#pla2	1	Undirected
79	#per26	#per500	1	Undirected
80	#pla288	#pla4	1	Undirected
81	#per635	#pla51	3	Undirected
82	#org100	#per637	1	Undirected
83	#pla280	#pla51	1	Undirected
84	#org0	#wor1	1	Undirected
85	#pla72	#wor1	1	Undirected
86	#org88	#pla1	1	Undirected
87	#per14	#per637	1	Undirected
88	#per14	#pla286	1	Undirected
89	#org70	#per500	1	Undirected
90	#pla69	#pla72	1	Undirected
91	#per70	#pla3	1	Undirected
92	#org135	#org70	2	Undirected
93	#per635	#pla69	1	Undirected
94	#org0	#org101	3	Undirected
95	#org70	#pla69	1	Undirected
96	#per635	#pla281	1	Undirected
97	#org88	#pla2	1	Undirected
98	#org21	#per635	1	Undirected
99	#per500	#per635	1	Undirected
100	#pla72	#tim2	1	Undirected
101	#org88	#pla4	1	Undirected
102	#org24	#pla3	2	Undirected
103	#org0	#org12	1	Undirected
104	#per635	#pla288	1	Undirected
105	#per14	#pla5	2	Undirected
106	#per638	#per640	1	Undirected
107	#org0	#pla51	2	Undirected
108	#pla1	#pla4	1	Undirected
109	#org19	#org70	3	Undirected
110	#org88	#per4	1	Undirected
111	#per640	#pla291	1	Undirected
112	#org130	#per635	1	Undirected
113	#org0	#tim2	1	Undirected
114	#per635	#pla287	1	Undirected
115	#org70	#pla291	1	Undirected
116	#per14	#per70	1	Undirected
117	#org0	#per642	1	Undirected
118	#per14	#pla290	1	Undirected
119	#org0	#pla291	1	Undirected
120	#pla286	#pla3	1	Undirected
121	#org0	#per4	7	Undirected
122	#org70	#pla2	3	Undirected
123	#per636	#pla4	1	Undirected
124	#per635	#pla2	4	Undirected
125	#org24	#pla4	1	Undirected
126	#per71	#pla51	1	Undirected
127	#per635	#pla30	2	Undirected
128	#per640	#pla292	1	Undirected
129	#org135	#pla90	1	Undirected
130	#per4	#pla72	1	Undirected
131	#per14	#per620	1	Undirected
132	#per2	#per4	1	Undirected
133	#org70	#per620	1	Undirected
134	#org70	#pla292	1	Undirected
135	#pla41	#pla90	1	Undirected
136	#org0	#pla290	1	Undirected
137	#org70	#org8	1	Undirected
138	#org0	#pla282	1	Undirected
139	#per272	#per635	1	Undirected
140	#org0	#pla292	1	Undirected
141	#org100	#org95	1	Undirected
142	#org70	#pla137	1	Undirected
143	#per70	#pla2	1	Undirected
144	#per14	#pla154	1	Undirected
145	#per14	#per272	1	Undirected
146	#per500	#per612	1	Undirected
147	#per14	#pla30	2	Undirected
148	#org25	#org70	4	Undirected
149	#per14	#per2	1	Undirected
150	#per272	#per639	1	Undirected
151	#org0	#pla4	15	Undirected
152	#org70	#per612	1	Undirected
153	#per638	#per639	1	Undirected
154	#per14	#per257	1	Undirected
155	#per69	#per70	1	Undirected
156	#org25	#per4	3	Undirected
157	#per612	#pla5	1	Undirected
158	#per14	#pla1	1	Undirected
159	#per635	#pla154	1	Undirected
160	#org0	#pla72	10	Undirected
161	#per14	#pla72	10	Undirected
162	#pla2	#pla4	2	Undirected
163	#org130	#per14	1	Undirected
164	#org135	#pla41	1	Undirected
165	#per620	#per635	1	Undirected
166	#per257	#pla90	1	Undirected
167	#org19	#per635	5	Undirected
168	#per1	#per14	3	Undirected
169	#org0	#per636	1	Undirected
170	#per635	#pla90	2	Undirected
171	#org14	#per14	2	Undirected
172	#org95	#per635	1	Undirected
173	#org100	#org19	1	Undirected
174	#per14	#pla283	1	Undirected
175	#org70	#per642	1	Undirected
176	#per71	#pla280	1	Undirected
177	#per272	#pla292	1	Undirected
178	#per4	#per635	8	Undirected
179	#org101	#pla69	1	Undirected
180	#per635	#pla4	15	Undirected
181	#per635	#wor1	1	Undirected
182	#org24	#per4	1	Undirected
183	#pla3	#wor1	1	Undirected
184	#org70	#pla51	1	Undirected
185	#org0	#pla1	1	Undirected
186	#per272	#pla291	1	Undirected
187	#pla283	#pla284	1	Undirected
188	#org0	#per257	1	Undirected
189	#per14	#per640	1	Undirected
190	#per635	#per641	1	Undirected
191	#org25	#pla72	2	Undirected
192	#org101	#org70	2	Undirected
193	#per14	#per635	105	Undirected
194	#org25	#pla4	3	Undirected
195	#org70	#pla3	5	Undirected
196	#org101	#per14	5	Undirected
197	#per14	#per500	1	Undirected
198	#org0	#org88	1	Undirected
199	#org14	#per635	2	Undirected
200	#org18	#per635	3	Undirected
201	#org0	#per500	1	Undirected
202	#org101	#pla3	1	Undirected
203	#org70	#pla290	1	Undirected
204	#per2	#per635	1	Undirected
205	#per14	#pla285	1	Undirected
206	#org70	#pla154	1	Undirected
207	#org0	#per620	1	Undirected
208	#pla30	#pla41	2	Undirected
209	#org21	#per14	1	Undirected
210	#org122	#org70	1	Undirected
211	#org122	#per635	2	Undirected
212	#per635	#pla280	1	Undirected
213	#org25	#org8	4	Undirected
214	#org0	#per1	3	Undirected
215	#per71	#pla3	1	Undirected
216	#per635	#per640	1	Undirected
217	#per17	#pla4	1	Undirected
218	#per635	#per638	1	Undirected
219	#org0	#org14	2	Undirected
220	#org100	#pla4	1	Undirected
221	#org24	#org25	4	Undirected
222	#org19	#org8	1	Undirected
223	#per14	#wor1	1	Undirected
224	#org18	#per4	2	Undirected
225	#per14	#pla137	1	Undirected
226	#org70	#pla90	1	Undirected
227	#per70	#pla280	1	Undirected
228	#per69	#pla51	1	Undirected
229	#per17	#per635	2	Undirected
230	#pla2	#pla51	2	Undirected
231	#per14	#per636	1	Undirected
232	#org0	#pla289	1	Undirected
233	#per272	#per640	1	Undirected
234	#per1	#per635	3	Undirected
235	#per14	#per612	1	Undirected
236	#org135	#per635	2	Undirected
237	#org100	#per14	5	Undirected
238	#per635	#tim2	1	Undirected
239	#org101	#per635	5	Undirected
240	#org122	#per14	2	Undirected
241	#pla289	#pla4	1	Undirected
242	#per272	#per638	1	Undirected
243	#per69	#pla280	1	Undirected
244	#per635	#pla1	1	Undirected
245	#pla137	#pla154	1	Undirected
246	#org18	#org70	3	Undirected
247	#per14	#per641	1	Undirected
248	#org0	#org18	3	Undirected
249	#per14	#pla3	10	Undirected
250	#org0	#pla3	9	Undirected
251	#org0	#per272	1	Undirected
252	#org88	#per635	2	Undirected
253	#org0	#per17	2	Undirected
254	#per635	#per69	1	Undirected
255	#per636	#per637	1	Undirected
256	#org70	#per272	1	Undirected
257	#per14	#per639	1	Undirected
258	#org14	#org8	1	Undirected
259	#per635	#pla282	1	Undirected
260	#per14	#pla282	1	Undirected
261	#per635	#pla290	1	Undirected
262	#org100	#per635	5	Undirected
263	#per635	#per70	1	Undirected
264	#per635	#per642	1	Undirected
265	#org0	#org103	1	Undirected
266	#org19	#per14	5	Undirected
267	#per612	#per635	1	Undirected
268	#org0	#per640	1	Undirected
269	#org70	#pla72	6	Undirected
270	#org70	#pla41	4	Undirected
271	#org0	#pla30	2	Undirected
272	#per635	#pla72	10	Undirected
273	#per641	#per642	1	Undirected
274	#per14	#pla280	1	Undirected
275	#org25	#per635	12	Undirected
276	#org0	#pla2	3	Undirected
277	#org25	#pla3	2	Undirected
278	#org12	#per635	1	Undirected
279	#per635	#pla291	1	Undirected
280	#org70	#per640	1	Undirected
281	#per17	#per4	2	Undirected
282	#per69	#per71	1	Undirected
283	#org103	#per635	1	Undirected
284	#per14	#pla288	1	Undirected
285	#org0	#pla284	1	Undirected
286	#per26	#per612	1	Undirected
287	#org14	#org25	1	Undirected
288	#org88	#per14	2	Undirected
289	#org0	#pla287	1	Undirected
290	#org135	#per14	2	Undirected
291	#org0	#pla285	1	Undirected
292	#per26	#pla5	1	Undirected
293	#per14	#tim2	1	Undirected
294	#org95	#per14	1	Undirected
295	#per257	#per635	1	Undirected
296	#per1	#pla4	3	Undirected
297	#pla4	#pla51	1	Undirected
298	#org70	#org88	1	Undirected
299	#org70	#per641	1	Undirected
300	#org0	#pla283	1	Undirected
301	#org0	#org135	2	Undirected
302	#per635	#pla292	1	Undirected
303	#org0	#pla5	1	Undirected
304	#org14	#org70	1	Undirected
305	#org70	#pla1	1	Undirected
306	#org24	#org70	1	Undirected
307	#per70	#per71	1	Undirected
308	#org25	#per17	1	Undirected
309	#per635	#pla5	2	Undirected
310	#org70	#pla5	1	Undirected
311	#pla291	#pla292	1	Undirected
312	#per1	#pla288	1	Undirected
313	#per638	#pla292	1	Undirected
314	#per635	#pla137	1	Undirected
315	#pla280	#pla3	1	Undirected
316	#pla1	#pla2	1	Undirected
317	#org24	#per635	4	Undirected
318	#pla2	#pla3	3	Undirected
319	#org70	#per17	1	Undirected
320	#org70	#per639	1	Undirected
321	#org70	#per1	2	Undirected
322	#org12	#org8	1	Undirected
323	#per14	#pla281	1	Undirected
324	#org0	#pla41	8	Undirected
325	#per14	#pla4	15	Undirected
326	#org0	#pla286	1	Undirected
327	#pla287	#pla4	1	Undirected
328	#org0	#per639	1	Undirected
329	#per14	#per71	1	Undirected
330	#per635	#per637	1	Undirected
331	#org103	#per14	1	Undirected
332	#per635	#per71	1	Undirected
333	#org12	#per14	1	Undirected
334	#org8	#per635	5	Undirected
335	#pla3	#pla69	1	Undirected
336	#org0	#org19	5	Undirected
337	#per14	#pla287	1	Undirected
338	#pla287	#pla72	1	Undirected
339	#per14	#pla90	2	Undirected
340	#per14	#pla292	1	Undirected
341	#org0	#pla90	1	Undirected
342	#org0	#org130	1	Undirected
343	#org70	#per14	53	Undirected
344	#per4	#pla4	3	Undirected
345	#per1	#pla289	1	Undirected
346	#org0	#org70	52	Undirected
347	#org0	#per635	88	Undirected
348	#org12	#org24	1	Undirected
349	#per500	#pla5	1	Undirected
350	#pla281	#pla282	1	Undirected
351	#per635	#pla289	1	Undirected
352	#org0	#org100	3	Undirected
353	#pla3	#pla41	1	Undirected
354	#org0	#pla281	1	Undirected
355	#per14	#per4	8	Undirected
356	#org0	#per638	1	Undirected
357	#per14	#pla291	1	Undirected
358	#pla4	#pla72	2	Undirected
