	Source	Target	Weight	Type
0	#org70	#per642	1	Undirected
1	#org0	#per641	1	Undirected
2	#pla2	#pla3	3	Undirected
3	#org0	#pla4	15	Undirected
4	#pla41	#pla72	1	Undirected
5	#pla4	#pla72	2	Undirected
6	#org122	#org70	1	Undirected
7	#org0	#per17	2	Undirected
8	#per14	#per640	1	Undirected
9	#per14	#per500	1	Undirected
10	#pla3	#wor1	1	Undirected
11	#org14	#per635	2	Undirected
12	#org70	#per638	1	Undirected
13	#org0	#per638	1	Undirected
14	#per635	#pla282	1	Undirected
15	#per620	#per635	1	Undirected
16	#per640	#pla292	1	Undirected
17	#per17	#pla4	1	Undirected
18	#per635	#pla291	1	Undirected
19	#per257	#per635	1	Undirected
20	#org0	#pla41	8	Undirected
21	#org18	#org70	3	Undirected
22	#per14	#pla280	1	Undirected
23	#pla287	#pla72	1	Undirected
24	#per14	#pla285	1	Undirected
25	#per14	#pla289	1	Undirected
26	#org135	#per14	2	Undirected
27	#pla2	#pla4	2	Undirected
28	#pla288	#pla289	1	Undirected
29	#per635	#pla281	1	Undirected
30	#org101	#org70	2	Undirected
31	#org101	#org122	1	Undirected
32	#org14	#org8	1	Undirected
33	#org0	#wor1	1	Undirected
34	#per635	#pla30	2	Undirected
35	#per638	#pla292	1	Undirected
36	#per1	#pla288	1	Undirected
37	#per635	#per637	1	Undirected
38	#pla41	#pla90	1	Undirected
39	#org100	#per14	5	Undirected
40	#per638	#per640	1	Undirected
41	#per641	#per642	1	Undirected
42	#per635	#pla154	1	Undirected
43	#org0	#per26	1	Undirected
44	#per257	#pla41	1	Undirected
45	#org24	#org70	1	Undirected
46	#per639	#pla292	1	Undirected
47	#per635	#pla2	4	Undirected
48	#pla289	#pla4	1	Undirected
49	#per620	#pla4	1	Undirected
50	#org122	#per14	2	Undirected
51	#per14	#wor1	1	Undirected
52	#org130	#org70	1	Undirected
53	#per1	#pla289	1	Undirected
54	#org135	#per1	1	Undirected
55	#pla280	#pla3	1	Undirected
56	#per612	#pla5	1	Undirected
57	#org0	#org100	3	Undirected
58	#per14	#pla284	1	Undirected
59	#per635	#per641	1	Undirected
60	#per70	#pla3	1	Undirected
61	#org0	#pla5	1	Undirected
62	#org24	#per14	4	Undirected
63	#org0	#per14	88	Undirected
64	#org103	#per14	1	Undirected
65	#per69	#per71	1	Undirected
66	#per4	#pla4	3	Undirected
67	#pla137	#pla154	1	Undirected
68	#per14	#tim2	1	Undirected
69	#per14	#pla2	4	Undirected
70	#per14	#per2	1	Undirected
71	#per635	#pla286	1	Undirected
72	#org0	#org122	2	Undirected
73	#org0	#pla290	1	Undirected
74	#org0	#pla291	1	Undirected
75	#per636	#pla4	1	Undirected
76	#per14	#pla4	15	Undirected
77	#pla281	#pla282	1	Undirected
78	#org0	#per640	1	Undirected
79	#per635	#pla72	10	Undirected
80	#per272	#per638	1	Undirected
81	#per635	#wor1	1	Undirected
82	#org0	#pla51	2	Undirected
83	#per635	#per70	1	Undirected
84	#org0	#per637	1	Undirected
85	#org8	#per635	5	Undirected
86	#org0	#per500	1	Undirected
87	#per14	#per637	1	Undirected
88	#per635	#per642	1	Undirected
89	#per635	#pla69	1	Undirected
90	#org88	#per635	2	Undirected
91	#org0	#pla90	1	Undirected
92	#per14	#pla290	1	Undirected
93	#per70	#pla280	1	Undirected
94	#org0	#org103	1	Undirected
95	#per635	#pla41	9	Undirected
96	#org12	#per635	1	Undirected
97	#per17	#per4	2	Undirected
98	#per635	#pla287	1	Undirected
99	#pla280	#pla51	1	Undirected
100	#org0	#per272	1	Undirected
101	#per635	#pla3	10	Undirected
102	#org18	#per635	3	Undirected
103	#per635	#pla288	1	Undirected
104	#org0	#org25	12	Undirected
105	#org0	#org14	2	Undirected
106	#org0	#pla289	1	Undirected
107	#pla288	#pla4	1	Undirected
108	#per638	#pla291	1	Undirected
109	#org12	#org8	1	Undirected
110	#org18	#per4	2	Undirected
111	#org100	#org19	1	Undirected
112	#per500	#pla5	1	Undirected
113	#per71	#pla51	1	Undirected
114	#org0	#pla72	10	Undirected
115	#org70	#pla41	4	Undirected
116	#org101	#per635	5	Undirected
117	#org70	#per640	1	Undirected
118	#org103	#per635	1	Undirected
119	#per257	#pla90	1	Undirected
120	#per14	#per639	1	Undirected
121	#org0	#pla2	3	Undirected
122	#org70	#pla5	1	Undirected
123	#org19	#per14	5	Undirected
124	#per14	#pla282	1	Undirected
125	#org70	#per272	1	Undirected
126	#org0	#per1	3	Undirected
127	#org19	#org70	3	Undirected
128	#org24	#per4	1	Undirected
129	#per14	#per4	8	Undirected
130	#org0	#per4	7	Undirected
131	#pla287	#pla4	1	Undirected
132	#org25	#per14	12	Undirected
133	#per14	#per612	1	Undirected
134	#org0	#org88	1	Undirected
135	#per69	#pla280	1	Undirected
136	#per14	#pla41	9	Undirected
137	#per1	#pla1	1	Undirected
138	#per635	#per638	1	Undirected
139	#per71	#pla3	1	Undirected
140	#org100	#org70	1	Undirected
141	#org0	#per636	1	Undirected
142	#org19	#per635	5	Undirected
143	#per14	#pla286	1	Undirected
144	#org70	#pla154	1	Undirected
145	#per14	#per26	1	Undirected
146	#org100	#org95	1	Undirected
147	#org14	#org25	1	Undirected
148	#org0	#org130	1	Undirected
149	#org135	#pla4	1	Undirected
150	#org70	#per620	1	Undirected
151	#per69	#pla2	1	Undirected
152	#pla3	#pla72	6	Undirected
153	#per14	#pla292	1	Undirected
154	#org0	#pla292	1	Undirected
155	#per14	#pla287	1	Undirected
156	#org19	#org8	1	Undirected
157	#org24	#pla72	2	Undirected
158	#per635	#per69	1	Undirected
159	#org25	#pla3	2	Undirected
160	#per272	#pla291	1	Undirected
161	#pla3	#pla69	1	Undirected
162	#per14	#pla283	1	Undirected
163	#org18	#per14	3	Undirected
164	#org70	#pla69	1	Undirected
165	#org25	#per635	12	Undirected
166	#per14	#per641	1	Undirected
167	#org70	#per641	1	Undirected
168	#org0	#pla1	1	Undirected
169	#org70	#pla137	1	Undirected
170	#per70	#per71	1	Undirected
171	#per14	#pla69	1	Undirected
172	#per26	#per635	1	Undirected
173	#org12	#per14	1	Undirected
174	#org70	#pla72	6	Undirected
175	#per635	#pla283	1	Undirected
176	#org70	#pla290	1	Undirected
177	#org0	#per257	1	Undirected
178	#org70	#pla51	1	Undirected
179	#org24	#org25	4	Undirected
180	#org25	#org70	4	Undirected
181	#org0	#org18	3	Undirected
182	#pla3	#pla41	1	Undirected
183	#per69	#per70	1	Undirected
184	#org101	#pla3	1	Undirected
185	#per640	#pla291	1	Undirected
186	#org0	#pla281	1	Undirected
187	#per1	#pla2	1	Undirected
188	#pla283	#pla284	1	Undirected
189	#org135	#org70	2	Undirected
190	#per70	#pla51	1	Undirected
191	#pla3	#pla4	2	Undirected
192	#org0	#org19	5	Undirected
193	#org0	#org12	1	Undirected
194	#org25	#pla72	2	Undirected
195	#org88	#pla1	1	Undirected
196	#per635	#pla284	1	Undirected
197	#per635	#per640	1	Undirected
198	#org0	#org24	4	Undirected
199	#org70	#per612	1	Undirected
200	#org0	#org101	3	Undirected
201	#pla72	#tim2	1	Undirected
202	#org70	#per4	5	Undirected
203	#per14	#pla5	2	Undirected
