	Source	Target	Weight	Type
0	#org18	#per14	1	Undirected
1	#org133	#org24	2	Undirected
2	#org24	#org70	2	Undirected
3	#org13	#per643	27	Undirected
4	#per643	#pla20	5	Undirected
5	#org133	#pla297	1	Undirected
6	#pla154	#pla156	1	Undirected
7	#org101	#per643	6	Undirected
8	#org70	#pla41	1	Undirected
9	#org133	#per643	19	Undirected
10	#org13	#per4	1	Undirected
11	#org18	#org19	1	Undirected
12	#per14	#pla295	1	Undirected
13	#org19	#per14	2	Undirected
14	#org103	#org13	1	Undirected
15	#org133	#pla18	1	Undirected
16	#org0	#org70	1	Undirected
17	#pla131	#pla295	1	Undirected
18	#org65	#per643	1	Undirected
19	#per14	#per643	46	Undirected
20	#per14	#pla297	1	Undirected
21	#per20	#per643	1	Undirected
22	#org122	#org70	1	Undirected
23	#per14	#pla90	1	Undirected
24	#org24	#pla41	1	Undirected
25	#per14	#pla84	1	Undirected
26	#org133	#pla296	1	Undirected
27	#org133	#pla161	1	Undirected
28	#org13	#org70	27	Undirected
29	#per14	#pla154	1	Undirected
30	#org65	#per14	1	Undirected
31	#org70	#pla156	1	Undirected
32	#org103	#per643	1	Undirected
33	#org13	#pla156	1	Undirected
34	#org19	#per643	2	Undirected
35	#org13	#pla154	1	Undirected
36	#org13	#org19	2	Undirected
37	#org100	#org24	1	Undirected
38	#org13	#pla41	1	Undirected
39	#per14	#pla20	4	Undirected
40	#pla161	#pla297	1	Undirected
41	#org13	#pla294	1	Undirected
42	#per643	#pla161	1	Undirected
43	#org18	#per643	1	Undirected
44	#org13	#org24	2	Undirected
45	#org0	#per643	4	Undirected
46	#org122	#org13	1	Undirected
47	#org100	#per643	3	Undirected
48	#org13	#per20	1	Undirected
49	#org13	#pla84	1	Undirected
50	#org70	#pla84	1	Undirected
51	#org100	#org133	2	Undirected
52	#per14	#pla294	1	Undirected
53	#org24	#org65	1	Undirected
54	#per643	#pla84	1	Undirected
55	#per14	#pla5	1	Undirected
56	#pla161	#pla5	1	Undirected
57	#org13	#org18	1	Undirected
58	#per643	#pla5	1	Undirected
59	#pla296	#pla297	1	Undirected
60	#org122	#per14	1	Undirected
61	#per643	#pla4	1	Undirected
62	#pla154	#pla294	1	Undirected
63	#per14	#pla161	1	Undirected
64	#per14	#pla131	1	Undirected
65	#per643	#pla294	1	Undirected
66	#org100	#org122	1	Undirected
67	#org65	#org70	1	Undirected
68	#per4	#pla4	1	Undirected
69	#per643	#pla41	2	Undirected
70	#org100	#org70	1	Undirected
71	#org133	#per14	19	Undirected
72	#per14	#per4	1	Undirected
73	#per643	#pla296	1	Undirected
74	#org133	#pla5	1	Undirected
75	#org70	#pla20	1	Undirected
76	#per643	#pla154	1	Undirected
77	#pla20	#pla293	1	Undirected
78	#org70	#pla4	1	Undirected
79	#pla156	#pla294	1	Undirected
80	#org13	#pla4	1	Undirected
81	#org101	#pla4	1	Undirected
82	#org101	#per14	6	Undirected
83	#org70	#pla294	1	Undirected
84	#pla296	#pla5	1	Undirected
85	#org70	#pla154	1	Undirected
86	#org13	#org65	1	Undirected
87	#per643	#pla293	1	Undirected
88	#org18	#org70	1	Undirected
89	#org101	#per4	1	Undirected
90	#org0	#org133	3	Undirected
91	#org101	#org13	4	Undirected
92	#org103	#org70	1	Undirected
93	#per14	#pla296	1	Undirected
94	#per643	#pla297	1	Undirected
95	#pla161	#pla296	1	Undirected
96	#per14	#pla4	1	Undirected
97	#per643	#pla131	1	Undirected
98	#org13	#pla20	1	Undirected
99	#org133	#pla131	1	Undirected
100	#per643	#pla156	1	Undirected
101	#org100	#pla90	1	Undirected
102	#org0	#per14	4	Undirected
103	#org0	#org13	1	Undirected
104	#org101	#org70	4	Undirected
105	#per643	#pla18	1	Undirected
106	#org24	#pla90	1	Undirected
107	#org70	#per20	1	Undirected
108	#org24	#per14	4	Undirected
109	#org0	#pla20	3	Undirected
110	#org100	#org13	1	Undirected
111	#org24	#per643	4	Undirected
112	#org13	#per14	27	Undirected
113	#org70	#per643	27	Undirected
114	#org133	#pla295	1	Undirected
115	#org70	#per4	1	Undirected
116	#org103	#per14	1	Undirected
117	#org133	#pla90	1	Undirected
118	#org70	#per14	27	Undirected
119	#org101	#pla41	1	Undirected
120	#org133	#pla20	3	Undirected
121	#org101	#org133	2	Undirected
122	#per14	#pla156	1	Undirected
123	#org100	#per14	3	Undirected
124	#org122	#per643	1	Undirected
125	#per14	#pla18	1	Undirected
126	#org19	#org70	2	Undirected
127	#per14	#pla41	2	Undirected
128	#org133	#pla41	1	Undirected
129	#per643	#pla90	1	Undirected
130	#per14	#per20	1	Undirected
131	#per643	#pla295	1	Undirected
132	#pla297	#pla5	1	Undirected
133	#per4	#per643	1	Undirected
134	#org101	#org24	1	Undirected
