	b.NAH.1.1	b.NAH.1.2	b.NAH.1.3	b.NAH.1.4	b.NAH.1.5	b.NAH.1.6	b.NAH.1.7	b.NAH.1.8	b.NAH.1.9	b.NAH.1.10	b.NAH.1.11	b.NAH.1.12	b.NAH.1.13	b.NAH.1.14	b.NAH.1.15	b.NAH.2.1	b.NAH.2.2	b.NAH.2.3	b.NAH.2.4	b.NAH.2.5	b.NAH.2.6	b.NAH.2.7	b.NAH.2.8	b.NAH.2.9	b.NAH.2.10	b.NAH.2.11	b.NAH.2.12	b.NAH.2.13	b.NAH.3.1	b.NAH.3.2	b.NAH.3.3	b.NAH.3.4	b.NAH.3.5	b.NAH.3.6	b.NAH.3.7	b.NAH.3.8	b.NAH.3.9	b.NAH.3.10	b.NAH.3.11	b.NAH.3.12	b.NAH.3.13	b.NAH.3.14	b.NAH.3.15	b.NAH.3.16	b.NAH.3.17	b.NAH.3.18	b.NAH.3.19
#pla20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
#pla84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla154	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
#pla293	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
#org13	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
