	Source	Target	Weight	Type
0	#per1137	#per1324	1	Undirected
1	#per1094	#pla799	1	Undirected
2	#per1065	#per1100	2	Undirected
3	#org0	#org25	3	Undirected
4	#per1086	#per1119	1	Undirected
5	#per1109	#pla30	2	Undirected
6	#per1062	#per1105	1	Undirected
7	#org12	#org25	4	Undirected
8	#per1173	#per1272	1	Undirected
9	#per1063	#per1296	1	Undirected
10	#org64	#org70	1	Undirected
11	#org143	#pla303	1	Undirected
12	#org16	#org70	2	Undirected
13	#per1104	#per14	1	Undirected
14	#per1263	#pla30	1	Undirected
15	#org70	#pla175	2	Undirected
16	#per1092	#per1156	1	Undirected
17	#per1060	#per1100	4	Undirected
18	#per1059	#per1262	1	Undirected
19	#per1063	#per1096	1	Undirected
20	#per1068	#pla3	3	Undirected
21	#per1092	#per1299	1	Undirected
22	#per1103	#per35	1	Undirected
23	#per1062	#per1167	1	Undirected
24	#per924	#pla776	1	Undirected
25	#per500	#pla30	1	Undirected
26	#per1056	#per1105	1	Undirected
27	#pla3	#pla810	1	Undirected
28	#per1061	#per1065	1	Undirected
29	#per1071	#per1081	1	Undirected
30	#per1103	#per1136	1	Undirected
31	#per1062	#per1216	1	Undirected
32	#org12	#pla30	9	Undirected
33	#per1069	#per1143	1	Undirected
34	#org70	#per125	1	Undirected
35	#per1124	#per1322	1	Undirected
36	#org171	#pla69	1	Undirected
37	#per1082	#per1122	1	Undirected
38	#per1257	#per1285	1	Undirected
39	#per1105	#per1167	1	Undirected
40	#per1055	#per1077	2	Undirected
41	#org70	#per1081	2	Undirected
42	#per1092	#per1200	1	Undirected
43	#org78	#pla4	1	Undirected
44	#org8	#pla2	1	Undirected
45	#per1126	#per1165	1	Undirected
46	#org190	#per1067	2	Undirected
47	#per1225	#pla2	1	Undirected
48	#org46	#per1096	1	Undirected
49	#org12	#per1068	2	Undirected
50	#per1057	#per1082	1	Undirected
51	#per1232	#pla4	1	Undirected
52	#per1080	#per1103	1	Undirected
53	#org46	#per1074	1	Undirected
54	#per1072	#per1156	1	Undirected
55	#per39	#pla4	1	Undirected
56	#per1140	#pla3	1	Undirected
57	#org46	#pla30	9	Undirected
58	#org193	#pla4	1	Undirected
59	#per1156	#pla3	1	Undirected
60	#org70	#per1228	2	Undirected
61	#per1095	#per1325	1	Undirected
62	#per14	#pla30	20	Undirected
63	#per1085	#per1093	1	Undirected
64	#pla489	#pla627	1	Undirected
65	#org12	#per1084	1	Undirected
66	#per14	#per26	8	Undirected
67	#per1064	#per1219	1	Undirected
68	#pla655	#pla800	1	Undirected
69	#per503	#pla4	1	Undirected
70	#per1132	#pla695	1	Undirected
71	#per1269	#per1275	1	Undirected
72	#org25	#per1067	12	Undirected
73	#org70	#per1061	1	Undirected
74	#org46	#org94	1	Undirected
75	#org50	#pla485	1	Undirected
76	#per1211	#per1230	1	Undirected
77	#per1071	#per1091	1	Undirected
78	#per1136	#per35	1	Undirected
79	#org46	#per15	1	Undirected
80	#per1087	#per1323	1	Undirected
81	#per1159	#pla303	1	Undirected
82	#org100	#pla9	1	Undirected
83	#per1107	#per1311	1	Undirected
84	#org17	#per1054	1	Undirected
85	#per1114	#per1324	1	Undirected
86	#per1055	#per1228	2	Undirected
87	#per1150	#per1312	1	Undirected
88	#per1090	#per1279	1	Undirected
89	#per1075	#per1171	1	Undirected
90	#org39	#pla3	5	Undirected
91	#per1076	#per1317	1	Undirected
92	#per1059	#per1302	1	Undirected
93	#per1316	#per14	1	Undirected
94	#per1152	#per1170	1	Undirected
95	#per1082	#per1296	1	Undirected
96	#org254	#org39	1	Undirected
97	#org0	#per14	6	Undirected
98	#per1055	#per1075	1	Undirected
99	#per1258	#per1312	1	Undirected
100	#per1064	#per1235	1	Undirected
101	#org46	#per1288	1	Undirected
102	#per1055	#per1083	1	Undirected
103	#pla2	#pla4	1	Undirected
104	#per1199	#per1249	1	Undirected
105	#org181	#org70	3	Undirected
106	#org24	#per125	1	Undirected
107	#per1087	#per1091	1	Undirected
108	#per1061	#per14	3	Undirected
109	#org63	#pla4	2	Undirected
110	#per1057	#per1080	1	Undirected
111	#per1156	#per1320	1	Undirected
112	#per1136	#per1312	1	Undirected
113	#per1135	#per1222	1	Undirected
114	#per1063	#wor1	1	Undirected
115	#org143	#pla4	1	Undirected
116	#per35	#pla3	1	Undirected
117	#pla2	#pla3	10	Undirected
118	#org13	#per1067	3	Undirected
119	#per1312	#pla321	1	Undirected
120	#per1067	#per1081	2	Undirected
121	#org39	#tim9	2	Undirected
122	#org24	#org46	3	Undirected
123	#org46	#org74	1	Undirected
124	#per1319	#pla30	1	Undirected
125	#per1155	#per1280	1	Undirected
126	#per1075	#per1312	1	Undirected
127	#per1060	#per1291	1	Undirected
128	#org253	#pla3	1	Undirected
129	#per14	#pla5	3	Undirected
