	Source	Target	Via	Weight	Type
31	#org46	#org70	oral	35	Directed
30	#org70	#per14	prayer	34	Directed
1	#per1067	#per14	prayer	15	Directed
15	#per1067	#org25	oral	11	Directed
5	#per1067	#org70	oral	6	Directed
16	#org70	#org70	oral	4	Directed
4	#per1067	#per1088	oral	4	Directed
35	#per1067	#org39	oral	3	Directed
3	#per1088	#per1067	oral	3	Directed
22	#per1058	#per1067	written	2	Directed
6	#org70	#per1067	oral	2	Directed
2	#per14	#per26	oral	2	Directed
33	#org22	#org0	oral	1	Directed
32	#per26	#org0	written	1	Directed
34	#per1067	#per1067	oral	1	Directed
29	#per1067	#per1095	oral	1	Directed
28	#per1067	#per14	oral	1	Directed
27	#per1067	#per1059	oral	1	Directed
26	#per1059	#per1067	oral	1	Directed
25	#per1058	#per1067	oral	1	Directed
24	#per1067	#per1058	written	1	Directed
23	#org8	#org0	soCalled	1	Directed
0	#per1095	#per1067	oral	1	Directed
21	#org190	#per1058	oral	1	Directed
20	#per1067	#org190	oral	1	Directed
19	#org190	#per1067	oral	1	Directed
17	#org25	#per1067	oral	1	Directed
14	#org13	#org70	oral	1	Directed
13	#org101	#per1067	oral	1	Directed
12	#org39	#org0	oral	1	Directed
11	#per1054	#org17	oral	1	Directed
10	#per1058	#org17	oral	1	Directed
9	#per1067	#per1094	oral	1	Directed
8	#per1054	#org70	oral	1	Directed
7	#per1094	#per1067	oral	1	Directed
18	#per1058	#org190	oral	1	Directed
