	Source	Target	Via	Weight	Type
0	#per14	#per26	oral	450	Directed
1	#per26	#org70	idea	203	Directed
28	#per14	#org70	oral	150	Directed
20	#per26	#org25	oral	29	Directed
4	#per14	#per500	oral	28	Directed
46	#per639	#per638	oral	27	Directed
8	#per26	#org70	oral	20	Directed
13	#per26	#per14	oral	17	Directed
71	#per26	#org40	oral	15	Directed
69	#org40	#per26	oral	12	Directed
7	#org70	#per26	oral	12	Directed
52	#per638	#per639	oral	11	Directed
31	#per26	#per593	oral	9	Directed
57	#per639	#org70	oral	7	Directed
36	#per26	#org46	idea	7	Directed
37	#per14	#org46	oral	7	Directed
5	#per26	#per500	idea	6	Directed
47	#per14	#per639	oral	6	Directed
42	#org70	#org0	song	6	Directed
38	#per26	#per1805	written	5	Directed
12	#org70	#org0	oral	5	Directed
2	#org12	#org122	idea	4	Directed
67	#per604	#org24	oral	4	Directed
11	#per26	#per14	prayer	4	Directed
45	#per638	#per639	written	3	Directed
32	#per1771	#per26	oral	3	Directed
70	#org41	#per604	oral	3	Directed
55	#org4	#per639	oral	3	Directed
54	#per639	#thin1	oral	3	Directed
6	#per500	#org70	idea	3	Directed
49	#per639	#org322	oral	3	Directed
9	#per26	#per1857	oral	3	Directed
74	#org242	#per26	oral	3	Directed
23	#org25	#org25	oral	3	Directed
24	#org70	#org70	oral	3	Directed
25	#per503	#org70	oral	3	Directed
21	#org25	#per26	oral	2	Directed
53	#thin1	#per639	oral	2	Directed
51	#org322	#per639	oral	2	Directed
60	#per639	#org72	oral	2	Directed
48	#per639	#per14	oral	2	Directed
61	#per639	#org0	oral	2	Directed
63	#per932	#per26	oral	2	Directed
64	#per934	#per604	oral	2	Directed
65	#per935	#org25	oral	2	Directed
66	#per936	#org70	oral	2	Directed
68	#org24	#per26	oral	2	Directed
19	#per500	#per26	oral	2	Directed
72	#per14	#org0	oath	2	Directed
73	#per26	#per604	oral	2	Directed
62	#per26	#org95	oral	1	Directed
15	#per503	#per26	oral	1	Directed
3	#org122	#org12	idea	1	Directed
18	#per500	#per500	oral	1	Directed
59	#per639	#org69	oral	1	Directed
58	#per639	#org323	oral	1	Directed
33	#per14	#org25	oral	1	Directed
56	#per639	#org4	oral	1	Directed
22	#per708	#org25	oral	1	Directed
35	#per26	#per500	oral	1	Directed
30	#org25	#per500	oral	1	Directed
10	#per1857	#per26	oral	1	Directed
29	#per593	#per26	oral	1	Directed
39	#per1805	#per26	written	1	Directed
40	#per1805	#per26	oral	1	Directed
41	#org70	#per14	prayer	1	Directed
14	#org0	#per26	oral	1	Directed
43	#org70	#per919	written	1	Directed
44	#per638	#org322	oral	1	Directed
17	#per612	#per612	oral	1	Directed
27	#per14	#org0	oral	1	Directed
26	#org0	#org0	soCalled	1	Directed
50	#org322	#per638	oral	1	Directed
34	#per26	#org25	idea	1	Directed
16	#per26	#per503	oral	1	Directed
