	Source	Target	Weight	Type
0	#org70	#per14	5	Undirected
1	#org126	#org39	1	Undirected
2	#pla112	#pla793	1	Undirected
3	#org24	#org63	1	Undirected
4	#org70	#pla112	1	Undirected
5	#org171	#per14	1	Undirected
6	#org126	#pla4	1	Undirected
7	#pla137	#pla321	1	Undirected
8	#per131	#pla264	1	Undirected
9	#pla3	#pla793	1	Undirected
10	#org171	#pla112	1	Undirected
11	#org126	#tim2	1	Undirected
12	#org171	#org24	1	Undirected
13	#org0	#pla72	1	Undirected
14	#org39	#per14	1	Undirected
15	#pla246	#pla298	1	Undirected
16	#pla112	#pla792	1	Undirected
17	#org126	#per4	3	Undirected
18	#pla112	#pla137	1	Undirected
19	#org49	#per131	1	Undirected
20	#org39	#pla2	1	Undirected
21	#pla264	#pla321	1	Undirected
22	#org24	#pla792	1	Undirected
23	#per131	#per14	5	Undirected
24	#org53	#pla137	1	Undirected
25	#org126	#org171	2	Undirected
26	#pla264	#pla57	1	Undirected
27	#org53	#pla51	1	Undirected
28	#org126	#org16	1	Undirected
29	#per14	#pla298	1	Undirected
30	#org70	#pla4	1	Undirected
31	#org53	#pla264	1	Undirected
32	#org126	#org49	1	Undirected
33	#org171	#pla3	2	Undirected
34	#per1044	#per14	1	Undirected
35	#org0	#pla246	1	Undirected
36	#org126	#pla112	1	Undirected
37	#org0	#per1044	1	Undirected
38	#org171	#pla793	1	Undirected
39	#pla112	#pla264	1	Undirected
40	#per131	#pla137	1	Undirected
41	#org0	#tim2	1	Undirected
42	#per14	#pla2	1	Undirected
43	#org126	#org19	1	Undirected
44	#per104	#per131	1	Undirected
45	#org16	#per14	1	Undirected
46	#per104	#per4	1	Undirected
47	#org39	#org70	1	Undirected
48	#org49	#per104	1	Undirected
49	#per4	#pla72	1	Undirected
50	#org171	#pla4	1	Undirected
51	#per131	#pla112	1	Undirected
52	#org70	#per104	1	Undirected
53	#pla137	#pla51	1	Undirected
54	#org126	#pla2	1	Undirected
55	#org63	#pla792	1	Undirected
56	#pla3	#pla792	1	Undirected
57	#org53	#pla57	1	Undirected
58	#org16	#org171	1	Undirected
59	#per104	#per14	1	Undirected
60	#org70	#per4	2	Undirected
61	#pla792	#pla793	1	Undirected
62	#org24	#pla793	1	Undirected
63	#org53	#pla321	1	Undirected
64	#org0	#org126	4	Undirected
65	#pla112	#pla321	1	Undirected
66	#org53	#pla112	1	Undirected
67	#org24	#pla112	1	Undirected
68	#org126	#pla298	1	Undirected
69	#pla112	#pla3	1	Undirected
70	#org126	#per104	1	Undirected
71	#pla4	#pla793	1	Undirected
72	#org70	#pla793	1	Undirected
73	#per131	#pla246	3	Undirected
74	#org63	#org70	1	Undirected
75	#per14	#pla72	3	Undirected
76	#org63	#pla3	1	Undirected
77	#pla137	#pla57	1	Undirected
78	#pla4	#pla792	1	Undirected
79	#org24	#pla4	1	Undirected
80	#org126	#per14	18	Undirected
81	#org16	#org70	1	Undirected
82	#org70	#per131	1	Undirected
83	#org70	#pla3	2	Undirected
84	#per14	#pla246	4	Undirected
85	#org171	#org70	2	Undirected
86	#pla321	#pla57	1	Undirected
87	#org63	#pla793	1	Undirected
88	#org126	#org24	1	Undirected
89	#per14	#tim2	1	Undirected
90	#org63	#pla112	1	Undirected
91	#per131	#pla51	1	Undirected
92	#org53	#per131	1	Undirected
93	#pla3	#pla4	1	Undirected
94	#org24	#org70	1	Undirected
95	#pla51	#pla57	1	Undirected
96	#pla112	#pla51	1	Undirected
97	#org19	#per14	1	Undirected
98	#org24	#pla3	1	Undirected
99	#org70	#pla792	1	Undirected
100	#pla112	#pla4	1	Undirected
101	#per14	#pla3	1	Undirected
102	#per131	#pla72	1	Undirected
103	#org126	#pla72	2	Undirected
104	#org0	#per14	4	Undirected
105	#org126	#per131	4	Undirected
106	#org49	#per14	1	Undirected
107	#org126	#pla246	3	Undirected
108	#org16	#pla3	1	Undirected
109	#org126	#pla792	1	Undirected
110	#pla321	#pla51	1	Undirected
111	#org126	#org70	6	Undirected
112	#per131	#pla57	1	Undirected
113	#per131	#pla298	1	Undirected
114	#per1044	#pla246	1	Undirected
115	#org126	#pla793	1	Undirected
116	#org63	#pla4	1	Undirected
117	#org49	#per4	1	Undirected
118	#pla246	#pla72	1	Undirected
119	#per131	#pla321	1	Undirected
120	#org70	#pla72	1	Undirected
121	#pla137	#pla264	1	Undirected
122	#per14	#per4	3	Undirected
123	#pla112	#pla57	1	Undirected
124	#org70	#pla2	1	Undirected
125	#org126	#per1044	1	Undirected
126	#per131	#per4	1	Undirected
127	#org171	#pla792	1	Undirected
128	#pla264	#pla51	1	Undirected
129	#org126	#pla3	2	Undirected
130	#org49	#org70	1	Undirected
131	#org171	#org63	1	Undirected
132	#org126	#org63	1	Undirected
