	b.PHI.1.1	b.PHI.1.2	b.PHI.1.3	b.PHI.1.4	b.PHI.1.5	b.PHI.1.6	b.PHI.1.7	b.PHI.1.8	b.PHI.1.9	b.PHI.1.10	b.PHI.1.11	b.PHI.1.12	b.PHI.1.13	b.PHI.1.14	b.PHI.1.15	b.PHI.1.16	b.PHI.1.17	b.PHI.1.18	b.PHI.1.19	b.PHI.1.20	b.PHI.1.21	b.PHI.1.22	b.PHI.1.23	b.PHI.1.24	b.PHI.1.25	b.PHI.1.26	b.PHI.1.27	b.PHI.1.28	b.PHI.1.29	b.PHI.1.30	b.PHI.2.1	b.PHI.2.2	b.PHI.2.3	b.PHI.2.4	b.PHI.2.5	b.PHI.2.6	b.PHI.2.7	b.PHI.2.8	b.PHI.2.9	b.PHI.2.10	b.PHI.2.11	b.PHI.2.12	b.PHI.2.13	b.PHI.2.14	b.PHI.2.15	b.PHI.2.16	b.PHI.2.17	b.PHI.2.18	b.PHI.2.19	b.PHI.2.20	b.PHI.2.21	b.PHI.2.22	b.PHI.2.23	b.PHI.2.24	b.PHI.2.25	b.PHI.2.26	b.PHI.2.27	b.PHI.2.28	b.PHI.2.29	b.PHI.2.30	b.PHI.3.1	b.PHI.3.2	b.PHI.3.3	b.PHI.3.4	b.PHI.3.5	b.PHI.3.6	b.PHI.3.7	b.PHI.3.8	b.PHI.3.9	b.PHI.3.10	b.PHI.3.11	b.PHI.3.12	b.PHI.3.13	b.PHI.3.14	b.PHI.3.15	b.PHI.3.16	b.PHI.3.17	b.PHI.3.18	b.PHI.3.19	b.PHI.3.20	b.PHI.3.21	b.PHI.4.1	b.PHI.4.2	b.PHI.4.3	b.PHI.4.4	b.PHI.4.5	b.PHI.4.6	b.PHI.4.7	b.PHI.4.8	b.PHI.4.9	b.PHI.4.10	b.PHI.4.11	b.PHI.4.12	b.PHI.4.13	b.PHI.4.14	b.PHI.4.15	b.PHI.4.16	b.PHI.4.17	b.PHI.4.18	b.PHI.4.19	b.PHI.4.20	b.PHI.4.21	b.PHI.4.22	b.PHI.4.23
#per1493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
#org0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per504	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#per1496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org37	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
#pla37	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#pla18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org276	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
#per1495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#org18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
