	Source	Target	Via	Weight	Type
0	#per39	#org0	written	455	Directed
8	#thin0	#org0	oral	33	Directed
18	#per1873	#per1872	written	30	Directed
13	#per1868	#org0	written	29	Directed
2	#per14	#org0	soCalled	12	Directed
11	#org0	#org0	written	12	Directed
1	#org19	#org0	soCalled	11	Directed
3	#org0	#org0	soCalled	8	Directed
7	#org19	#org0	oral	7	Directed
14	#per1868	#per14	prayer	3	Directed
19	#org183	#org122	soCalled	3	Directed
9	#thin0	#org19	soCalled	3	Directed
5	#org0	#org0	oral	3	Directed
17	#pla15	#org0	soCalled	2	Directed
12	#org0	#org19	soCalled	1	Directed
6	#org0	#thin0	idea	1	Directed
15	#per1868	#org0	soCalled	1	Directed
16	#org19	#org19	soCalled	1	Directed
4	#per35	#per39	oral	1	Directed
10	#org100	#org0	soCalled	1	Directed
