	Source	Target	Weight	Type
0	#pla2	#pla72	1	Undirected
1	#per35	#pla30	13	Undirected
2	#org0	#pla4	4	Undirected
3	#org43	#pla12	1	Undirected
4	#org0	#org53	1	Undirected
5	#per1	#pla72	1	Undirected
6	#org0	#pla42	1	Undirected
7	#org0	#pla73	1	Undirected
8	#per14	#pla73	5	Undirected
9	#org70	#pla4	5	Undirected
10	#org48	#pla2	1	Undirected
11	#org18	#pla18	1	Undirected
12	#org104	#per35	3	Undirected
13	#per14	#pla157	1	Undirected
14	#pla39	#pla42	1	Undirected
15	#pla41	#pla72	1	Undirected
16	#per14	#pla161	1	Undirected
17	#per473	#pla18	1	Undirected
18	#org101	#per473	11	Undirected
19	#pla154	#pla72	1	Undirected
20	#org39	#pla12	1	Undirected
21	#org106	#pla151	1	Undirected
22	#pla18	#pla30	1	Undirected
23	#org0	#pla137	1	Undirected
24	#org101	#pla3	1	Undirected
25	#per131	#per35	2	Undirected
26	#org106	#org70	11	Undirected
27	#org106	#pla30	1	Undirected
28	#org43	#org48	1	Undirected
29	#per14	#pla4	16	Undirected
30	#org101	#org70	1	Undirected
31	#org100	#org106	17	Undirected
32	#org0	#org106	20	Undirected
33	#org101	#pla154	1	Undirected
34	#pla13	#pla2	1	Undirected
35	#per14	#pla41	58	Undirected
36	#org24	#pla30	1	Undirected
37	#per35	#pla156	2	Undirected
38	#org53	#per35	1	Undirected
39	#pla155	#pla156	1	Undirected
40	#pla4	#pla41	2	Undirected
41	#per14	#pla151	2	Undirected
42	#org101	#per14	89	Undirected
43	#per101	#per14	1	Undirected
44	#org93	#pla137	1	Undirected
45	#pla72	#pla73	2	Undirected
46	#org100	#pla158	1	Undirected
47	#per14	#pla29	1	Undirected
48	#org70	#per2	1	Undirected
49	#org102	#org70	2	Undirected
50	#org102	#pla30	1	Undirected
51	#org8	#per14	2	Undirected
52	#org100	#pla3	1	Undirected
53	#pla140	#pla30	1	Undirected
54	#org0	#per39	1	Undirected
55	#per128	#pla12	1	Undirected
56	#per101	#per35	1	Undirected
57	#org100	#org102	2	Undirected
58	#org100	#pla41	7	Undirected
59	#org18	#pla41	7	Undirected
60	#org13	#per5	1	Undirected
61	#org106	#pla72	2	Undirected
62	#org103	#per14	3	Undirected
63	#org0	#per14	119	Undirected
64	#org4	#per14	5	Undirected
65	#org81	#per35	1	Undirected
66	#org100	#pla30	2	Undirected
67	#org0	#pla140	1	Undirected
68	#org0	#pla154	1	Undirected
69	#org70	#tim16	1	Undirected
70	#per35	#pla162	1	Undirected
71	#org100	#org70	2	Undirected
72	#org0	#per35	98	Undirected
73	#org18	#org70	3	Undirected
74	#pla18	#pla41	6	Undirected
75	#org24	#pla159	1	Undirected
76	#pla3	#pla72	2	Undirected
77	#org93	#per14	1	Undirected
78	#per5	#pla72	1	Undirected
79	#org106	#pla9	1	Undirected
80	#per14	#pla108	1	Undirected
81	#per128	#pla13	1	Undirected
82	#org0	#per474	1	Undirected
83	#per474	#pla18	1	Undirected
84	#pla18	#pla29	1	Undirected
85	#per35	#per4	3	Undirected
86	#per0	#per14	2	Undirected
87	#org39	#per128	1	Undirected
88	#org19	#per473	4	Undirected
89	#org106	#pla19	1	Undirected
90	#org100	#per2	1	Undirected
91	#per14	#per19	1	Undirected
92	#org19	#org8	1	Undirected
93	#org0	#pla108	1	Undirected
94	#org65	#per14	1	Undirected
95	#org4	#per35	3	Undirected
96	#org43	#pla2	1	Undirected
97	#org48	#pla13	1	Undirected
98	#org70	#per35	24	Undirected
99	#per14	#wor1	3	Undirected
100	#per14	#pla2	2	Undirected
101	#org70	#pla30	2	Undirected
102	#org18	#per4	1	Undirected
103	#org106	#pla3	1	Undirected
104	#per14	#tim16	1	Undirected
105	#per14	#pla137	1	Undirected
106	#org100	#pla72	1	Undirected
107	#org106	#org107	1	Undirected
108	#org13	#per14	2	Undirected
109	#org44	#per35	1	Undirected
110	#org53	#per14	1	Undirected
111	#org24	#per35	1	Undirected
112	#per474	#pla41	1	Undirected
113	#org109	#per35	1	Undirected
114	#pla41	#pla73	1	Undirected
115	#per14	#per473	77	Undirected
116	#org70	#per4	3	Undirected
117	#org107	#pla9	1	Undirected
118	#org103	#pla41	1	Undirected
119	#per14	#per95	1	Undirected
120	#org81	#per131	1	Undirected
121	#org106	#pla157	1	Undirected
122	#per35	#pla151	1	Undirected
123	#per14	#pla42	1	Undirected
124	#per14	#wor4	1	Undirected
125	#org19	#pla41	5	Undirected
126	#org18	#wor4	1	Undirected
127	#org18	#per14	74	Undirected
128	#org39	#pla2	1	Undirected
129	#per14	#per35	559	Undirected
130	#org100	#per14	18	Undirected
131	#per35	#pla108	1	Undirected
132	#per35	#pla41	27	Undirected
133	#org104	#pla30	1	Undirected
134	#org0	#org24	1	Undirected
135	#pla12	#pla13	1	Undirected
136	#org101	#pla41	2	Undirected
137	#per35	#pla15	6	Undirected
138	#org106	#per2	1	Undirected
139	#org70	#pla159	1	Undirected
140	#org0	#org102	4	Undirected
141	#per14	#pla160	1	Undirected
142	#per14	#pla127	1	Undirected
143	#per35	#wor4	1	Undirected
144	#org8	#per473	1	Undirected
145	#per35	#pla4	7	Undirected
146	#org0	#wor1	1	Undirected
147	#org102	#org18	1	Undirected
148	#org100	#pla160	1	Undirected
149	#per131	#per14	2	Undirected
150	#org48	#per128	1	Undirected
151	#org102	#org19	4	Undirected
152	#org0	#org18	19	Undirected
153	#org106	#tim16	1	Undirected
154	#org101	#pla30	3	Undirected
155	#per14	#pla3	10	Undirected
156	#pla159	#pla41	1	Undirected
157	#per473	#pla4	1	Undirected
158	#org93	#pla2	1	Undirected
159	#per472	#per95	1	Undirected
160	#pla30	#pla4	1	Undirected
161	#org44	#per14	1	Undirected
162	#org106	#per14	49	Undirected
163	#pla159	#pla4	1	Undirected
164	#org101	#org18	2	Undirected
165	#org43	#per128	1	Undirected
166	#org0	#org101	6	Undirected
167	#org65	#pla5	1	Undirected
168	#pla159	#pla30	1	Undirected
169	#per14	#per39	1	Undirected
170	#org0	#org93	1	Undirected
171	#per14	#per17	1	Undirected
172	#org101	#org104	1	Undirected
173	#pla30	#pla41	2	Undirected
174	#per35	#per39	1	Undirected
175	#org53	#per131	1	Undirected
176	#per14	#pla162	1	Undirected
177	#per473	#pla41	10	Undirected
178	#per14	#pla5	1	Undirected
179	#org0	#pla18	7	Undirected
180	#per35	#pla159	1	Undirected
181	#org19	#per14	59	Undirected
182	#org106	#per4	2	Undirected
183	#per14	#pla159	3	Undirected
184	#org104	#per14	1	Undirected
185	#org0	#org81	1	Undirected
186	#org70	#pla72	3	Undirected
187	#org70	#pla41	1	Undirected
188	#org0	#pla30	2	Undirected
189	#per35	#pla3	6	Undirected
190	#pla108	#pla140	1	Undirected
191	#org106	#org24	1	Undirected
192	#org106	#org13	1	Undirected
193	#org0	#pla2	1	Undirected
194	#per14	#per475	2	Undirected
195	#org100	#per35	18	Undirected
196	#per1	#pla41	2	Undirected
197	#org18	#per35	50	Undirected
198	#org100	#per1	3	Undirected
199	#per14	#pla163	1	Undirected
200	#org100	#org18	2	Undirected
201	#org13	#pla72	1	Undirected
202	#org43	#pla13	1	Undirected
203	#org0	#org44	1	Undirected
204	#per1	#per14	5	Undirected
205	#org107	#per14	1	Undirected
206	#org93	#per35	1	Undirected
207	#org100	#org108	1	Undirected
208	#per14	#per474	12	Undirected
209	#org18	#pla4	2	Undirected
210	#per14	#pla19	1	Undirected
211	#pla162	#pla163	1	Undirected
212	#org0	#per4	1	Undirected
213	#org100	#pla151	1	Undirected
214	#per35	#pla2	1	Undirected
215	#org108	#pla22	1	Undirected
216	#pla18	#pla4	1	Undirected
217	#org109	#per472	1	Undirected
218	#pla151	#pla163	1	Undirected
219	#org39	#pla13	1	Undirected
220	#org39	#org43	1	Undirected
221	#per35	#pla72	6	Undirected
222	#per4	#pla72	2	Undirected
223	#pla161	#pla5	1	Undirected
224	#org101	#per35	69	Undirected
225	#org106	#pla41	8	Undirected
226	#per14	#per5	1	Undirected
227	#per14	#pla39	1	Undirected
228	#pla3	#pla41	1	Undirected
229	#org100	#pla22	1	Undirected
230	#org18	#pla72	1	Undirected
231	#org0	#per473	18	Undirected
232	#org48	#pla12	1	Undirected
233	#per473	#pla72	1	Undirected
234	#pla151	#pla162	1	Undirected
235	#org102	#pla41	2	Undirected
236	#org106	#org108	1	Undirected
237	#org102	#per35	10	Undirected
238	#per14	#pla155	1	Undirected
239	#org39	#org48	1	Undirected
240	#org44	#pla2	1	Undirected
241	#per0	#pla72	1	Undirected
242	#per35	#per95	2	Undirected
243	#per14	#pla140	1	Undirected
244	#per35	#per472	5	Undirected
245	#pla30	#pla73	1	Undirected
246	#pla137	#pla2	1	Undirected
247	#org81	#per14	1	Undirected
248	#org65	#pla161	1	Undirected
249	#per14	#pla30	29	Undirected
250	#per14	#pla154	3	Undirected
251	#org44	#org93	1	Undirected
252	#per35	#pla127	1	Undirected
253	#org18	#pla15	1	Undirected
254	#org0	#pla41	28	Undirected
255	#per14	#pla18	20	Undirected
256	#per14	#per2	1	Undirected
257	#per35	#pla140	1	Undirected
258	#org106	#per5	1	Undirected
259	#per35	#pla154	1	Undirected
260	#org0	#pla15	1	Undirected
261	#org4	#pla18	1	Undirected
262	#per0	#per4	1	Undirected
263	#per14	#per472	5	Undirected
264	#per473	#pla30	5	Undirected
265	#org103	#org106	1	Undirected
266	#per17	#per35	1	Undirected
267	#org100	#pla163	1	Undirected
268	#per35	#pla155	1	Undirected
269	#per35	#wor1	1	Undirected
270	#org107	#pla157	1	Undirected
271	#per473	#per475	2	Undirected
272	#per35	#pla73	2	Undirected
273	#per14	#pla9	1	Undirected
274	#org0	#org19	30	Undirected
275	#org106	#pla22	1	Undirected
276	#org0	#pla72	1	Undirected
277	#org101	#org106	7	Undirected
278	#org44	#pla137	1	Undirected
279	#per473	#pla73	1	Undirected
280	#per14	#pla72	17	Undirected
281	#org0	#per2	1	Undirected
282	#org70	#per14	42	Undirected
283	#pla108	#pla30	1	Undirected
284	#pla12	#pla2	1	Undirected
285	#per4	#pla4	3	Undirected
286	#org102	#per473	2	Undirected
287	#org105	#per14	3	Undirected
288	#per128	#pla2	1	Undirected
289	#per35	#pla137	1	Undirected
290	#org109	#per14	1	Undirected
291	#org0	#pla39	1	Undirected
292	#pla3	#pla73	1	Undirected
293	#per131	#pla3	1	Undirected
294	#org146	#per35	1	Undirected
295	#org18	#per473	8	Undirected
296	#org105	#per35	3	Undirected
297	#org100	#pla162	1	Undirected
298	#per14	#pla15	8	Undirected
299	#org0	#org100	8	Undirected
300	#org24	#per14	3	Undirected
301	#per0	#per35	5	Undirected
302	#per473	#pla29	1	Undirected
303	#org53	#org81	1	Undirected
304	#per14	#pla156	2	Undirected
305	#org18	#org19	16	Undirected
306	#pla3	#pla30	1	Undirected
307	#org19	#pla15	4	Undirected
308	#org100	#org101	1	Undirected
309	#pla4	#pla72	2	Undirected
310	#per14	#per4	9	Undirected
311	#per35	#pla18	11	Undirected
312	#org0	#org70	4	Undirected
313	#pla157	#pla9	1	Undirected
314	#org0	#per131	1	Undirected
315	#org19	#per35	41	Undirected
316	#org102	#per14	20	Undirected
317	#org106	#pla158	1	Undirected
318	#per35	#pla163	1	Undirected
