	Source	Target	Weight	Type
0	#org24	#per473	6	Undirected
1	#org80	#per14	1	Undirected
2	#per919	#pla154	1	Undirected
3	#org53	#per14	2	Undirected
4	#org100	#per995	1	Undirected
5	#org0	#org146	1	Undirected
6	#per474	#pla153	1	Undirected
7	#org49	#per474	2	Undirected
8	#org24	#per585	1	Undirected
9	#org16	#per473	1	Undirected
10	#org70	#per26	3	Undirected
11	#org0	#pla140	2	Undirected
12	#per473	#pla19	1	Undirected
13	#per1004	#per995	4	Undirected
14	#org19	#org8	1	Undirected
15	#org70	#pla4	22	Undirected
16	#per14	#per474	111	Undirected
17	#org16	#per14	8	Undirected
18	#per14	#per473	500	Undirected
19	#org70	#pla175	3	Undirected
20	#org18	#pla72	3	Undirected
21	#org0	#pla175	2	Undirected
22	#org16	#per474	6	Undirected
23	#org106	#org108	1	Undirected
24	#org18	#pla156	1	Undirected
25	#org103	#per14	14	Undirected
26	#org0	#pla4	8	Undirected
27	#per14	#pla249	2	Undirected
28	#pla159	#pla30	1	Undirected
29	#org0	#pla316	2	Undirected
30	#org18	#pla3	2	Undirected
31	#org100	#pla3	1	Undirected
32	#per473	#tim1	1	Undirected
33	#org0	#org122	2	Undirected
34	#org101	#org18	1	Undirected
35	#per14	#pla108	2	Undirected
36	#org146	#per473	2	Undirected
37	#pla159	#pla41	1	Undirected
38	#per473	#pla4	14	Undirected
39	#per473	#pla18	7	Undirected
40	#org103	#per474	2	Undirected
41	#org70	#pla5	17	Undirected
42	#org102	#org18	2	Undirected
43	#pla316	#pla811	1	Undirected
44	#org0	#wor1	2	Undirected
45	#org104	#pla30	1	Undirected
46	#per14	#pla611	1	Undirected
47	#org85	#per474	1	Undirected
48	#per1	#per14	5	Undirected
49	#per35	#pla140	2	Undirected
50	#org0	#per500	1	Undirected
51	#pla155	#pla156	1	Undirected
52	#pla437	#pla442	1	Undirected
53	#pla249	#pla814	2	Undirected
54	#per35	#per4	5	Undirected
55	#per17	#per35	2	Undirected
56	#per1000	#per1004	4	Undirected
57	#org103	#pla84	1	Undirected
58	#org4	#org70	2	Undirected
59	#org108	#pla22	2	Undirected
60	#org43	#pla13	1	Undirected
61	#per35	#pla545	1	Undirected
62	#org70	#wor1	2	Undirected
63	#per474	#pla41	6	Undirected
64	#pla3	#pla41	2	Undirected
65	#pla175	#pla5	2	Undirected
66	#org4	#org49	1	Undirected
67	#org130	#pla5	2	Undirected
68	#org106	#pla22	1	Undirected
69	#org0	#org70	35	Undirected
70	#per1000	#pla30	1	Undirected
71	#org81	#org85	1	Undirected
72	#org131	#pla72	1	Undirected
73	#org100	#per2	1	Undirected
74	#per1327	#pla504	1	Undirected
75	#org0	#pla2	2	Undirected
76	#org39	#org70	1	Undirected
77	#org133	#pla72	1	Undirected
78	#org13	#per14	2	Undirected
79	#per14	#per995	4	Undirected
80	#org12	#per481	1	Undirected
81	#org4	#per474	2	Undirected
82	#org0	#per131	1	Undirected
83	#org135	#per474	1	Undirected
84	#per14	#pla811	2	Undirected
85	#org106	#per14	49	Undirected
86	#org53	#pla22	1	Undirected
87	#org0	#pla246	1	Undirected
88	#org12	#per14	11	Undirected
89	#pla324	#pla504	1	Undirected
90	#org43	#org48	1	Undirected
91	#org130	#per474	1	Undirected
92	#org13	#per5	1	Undirected
93	#per128	#pla12	1	Undirected
94	#org0	#pla41	48	Undirected
95	#org0	#pla39	1	Undirected
96	#org19	#wor1	5	Undirected
97	#org100	#org101	1	Undirected
98	#per131	#per14	2	Undirected
99	#org106	#pla9	1	Undirected
100	#pla246	#pla316	1	Undirected
101	#org22	#pla4	2	Undirected
102	#org0	#org93	1	Undirected
103	#per473	#per481	1	Undirected
104	#per35	#pla3	8	Undirected
105	#org49	#per14	1	Undirected
106	#org108	#per474	1	Undirected
107	#pla22	#pla316	1	Undirected
108	#org18	#pla15	1	Undirected
109	#per14	#wor4	1	Undirected
110	#org4	#pla41	1	Undirected
111	#org100	#pla4	1	Undirected
112	#org12	#pla30	1	Undirected
113	#per101	#per14	1	Undirected
114	#org106	#pla30	1	Undirected
115	#per104	#per474	3	Undirected
116	#per14	#pla39	1	Undirected
117	#org8	#per14	3	Undirected
118	#org130	#pla811	1	Undirected
119	#org16	#org22	1	Undirected
120	#org171	#per14	4	Undirected
121	#org70	#pla0	1	Undirected
122	#per474	#pla2	1	Undirected
123	#org100	#pla163	1	Undirected
124	#per14	#pla41	109	Undirected
125	#org48	#per128	1	Undirected
126	#org105	#per14	3	Undirected
127	#per1	#pla72	1	Undirected
128	#org255	#org81	1	Undirected
129	#per35	#pla155	1	Undirected
130	#org100	#org184	1	Undirected
131	#per1000	#per14	4	Undirected
132	#per101	#per35	1	Undirected
133	#org126	#pla69	1	Undirected
134	#per14	#pla155	1	Undirected
135	#per4	#pla4	6	Undirected
136	#org102	#pla30	1	Undirected
137	#org108	#pla813	1	Undirected
138	#org146	#per14	6	Undirected
139	#per473	#pla5	11	Undirected
140	#pla162	#pla163	1	Undirected
141	#per14	#pla150	1	Undirected
142	#pla305	#pla813	1	Undirected
143	#org255	#per14	1	Undirected
144	#org122	#per35	1	Undirected
145	#org65	#pla175	1	Undirected
146	#org171	#pla4	2	Undirected
147	#per14	#per20	1	Undirected
148	#pla359	#pla814	1	Undirected
149	#per1327	#per14	68	Undirected
150	#org100	#org25	2	Undirected
151	#per14	#pla812	1	Undirected
152	#pla12	#pla13	1	Undirected
153	#org16	#per35	1	Undirected
154	#pla359	#pla613	1	Undirected
155	#per474	#pla249	2	Undirected
156	#org101	#org104	1	Undirected
157	#org100	#pla158	1	Undirected
158	#org70	#pla41	6	Undirected
159	#org103	#per35	2	Undirected
160	#per473	#pla9	2	Undirected
161	#per14	#per5	1	Undirected
162	#org107	#per14	1	Undirected
163	#org65	#per14	1	Undirected
164	#org65	#per473	3	Undirected
165	#org0	#per474	11	Undirected
166	#org146	#per1327	3	Undirected
167	#pla151	#pla163	1	Undirected
168	#per14	#pla140	2	Undirected
169	#org16	#pla4	1	Undirected
170	#per0	#per35	5	Undirected
171	#per1002	#per995	4	Undirected
172	#org100	#per1	3	Undirected
173	#org25	#per14	2	Undirected
174	#org101	#pla154	1	Undirected
175	#org70	#pla811	1	Undirected
