	Source	Target	Weight	Type
1449	b.REV.1.11	b.REV.1.20	9	Undirected
525	b.REV.1.4	b.REV.1.11	9	Undirected
1445	b.REV.1.11	b.REV.1.13	8	Undirected
1740	b.REV.1.13	b.REV.1.20	8	Undirected
531	b.REV.1.4	b.REV.1.20	8	Undirected
1444	b.REV.1.11	b.REV.1.12	7	Undirected
527	b.REV.1.4	b.REV.1.13	7	Undirected
526	b.REV.1.4	b.REV.1.12	7	Undirected
1685	b.REV.1.12	b.REV.1.20	7	Undirected
1684	b.REV.1.12	b.REV.1.13	7	Undirected
20600	b.REV.12.10	b.REV.17.17	5	Undirected
7152	b.REV.3.1	b.REV.3.5	5	Undirected
12281	b.REV.5.9	b.REV.5.10	4	Undirected
22337	b.REV.14.10	b.REV.19.9	4	Undirected
5551	b.REV.2.18	b.REV.19.9	4	Undirected
1492	b.REV.1.11	b.REV.3.14	4	Undirected
17847	b.REV.10.8	b.REV.22.9	4	Undirected
14661	b.REV.7.11	b.REV.7.12	4	Undirected
7846	b.REV.3.5	b.REV.3.12	4	Undirected
11877	b.REV.5.6	b.REV.5.9	4	Undirected
11878	b.REV.5.6	b.REV.5.10	4	Undirected
1499	b.REV.1.11	b.REV.3.21	4	Undirected
12285	b.REV.5.9	b.REV.5.14	4	Undirected
19692	b.REV.11.15	b.REV.12.10	4	Undirected
22566	b.REV.14.12	b.REV.19.9	4	Undirected
7848	b.REV.3.5	b.REV.3.14	4	Undirected
7400	b.REV.3.2	b.REV.3.5	4	Undirected
11880	b.REV.5.6	b.REV.5.12	4	Undirected
11882	b.REV.5.6	b.REV.5.14	4	Undirected
8035	b.REV.3.5	b.REV.19.9	4	Undirected
11896	b.REV.5.6	b.REV.7.11	4	Undirected
7942	b.REV.3.5	b.REV.12.10	4	Undirected
2342	b.REV.1.20	b.REV.3.1	4	Undirected
19808	b.REV.11.15	b.REV.21.3	4	Undirected
11897	b.REV.5.6	b.REV.7.12	4	Undirected
19796	b.REV.11.15	b.REV.19.17	4	Undirected
7017	b.REV.2.29	b.REV.3.6	4	Undirected
1490	b.REV.1.11	b.REV.3.12	4	Undirected
5552	b.REV.2.18	b.REV.19.10	4	Undirected
7346	b.REV.3.1	b.REV.19.9	4	Undirected
7033	b.REV.2.29	b.REV.3.22	4	Undirected
1456	b.REV.1.11	b.REV.2.7	4	Undirected
147	b.REV.1.1	b.REV.12.10	4	Undirected
6138	b.REV.2.23	b.REV.2.29	4	Undirected
5458	b.REV.2.18	b.REV.12.10	4	Undirected
7407	b.REV.3.2	b.REV.3.12	4	Undirected
241	b.REV.1.1	b.REV.19.10	4	Undirected
240	b.REV.1.1	b.REV.19.9	4	Undirected
2320	b.REV.1.20	b.REV.2.8	4	Undirected
1467	b.REV.1.11	b.REV.2.18	4	Undirected
2330	b.REV.1.20	b.REV.2.18	4	Undirected
8103	b.REV.3.6	b.REV.3.22	4	Undirected
12440	b.REV.5.10	b.REV.5.14	4	Undirected
27514	b.REV.19.17	b.REV.21.3	4	Undirected
5226	b.REV.2.17	b.REV.3.22	4	Undirected
2313	b.REV.1.20	b.REV.2.1	4	Undirected
1476	b.REV.1.11	b.REV.2.27	4	Undirected
3963	b.REV.2.9	b.REV.2.10	4	Undirected
1479	b.REV.1.11	b.REV.3.1	4	Undirected
1480	b.REV.1.11	b.REV.3.2	4	Undirected
25159	b.REV.17.7	b.REV.17.16	4	Undirected
19789	b.REV.11.15	b.REV.19.9	4	Undirected
1483	b.REV.1.11	b.REV.3.5	4	Undirected
9298	b.REV.3.14	b.REV.12.10	4	Undirected
9213	b.REV.3.14	b.REV.3.21	4	Undirected
3617	b.REV.2.7	b.REV.12.10	4	Undirected
8036	b.REV.3.5	b.REV.19.10	4	Undirected
3530	b.REV.2.7	b.REV.3.6	4	Undirected
7151	b.REV.3.1	b.REV.3.4	4	Undirected
28148	b.REV.22.6	b.REV.22.9	4	Undirected
5350	b.REV.2.18	b.REV.2.27	4	Undirected
3634	b.REV.2.7	b.REV.14.13	4	Undirected
5353	b.REV.2.18	b.REV.3.1	4	Undirected
30	b.REV.1.1	b.REV.2.18	4	Undirected
4329	b.REV.2.11	b.REV.3.6	4	Undirected
3524	b.REV.2.7	b.REV.2.29	4	Undirected
2355	b.REV.1.20	b.REV.3.14	4	Undirected
22258	b.REV.14.10	b.REV.14.12	4	Undirected
5357	b.REV.2.18	b.REV.3.5	4	Undirected
24732	b.REV.16.17	b.REV.19.1	4	Undirected
4323	b.REV.2.11	b.REV.2.29	4	Undirected
20635	b.REV.12.10	b.REV.19.10	4	Undirected
20634	b.REV.12.10	b.REV.19.9	4	Undirected
27013	b.REV.19.1	b.REV.19.17	4	Undirected
27968	b.REV.21.9	b.REV.22.16	4	Undirected
3512	b.REV.2.7	b.REV.2.17	4	Undirected
7149	b.REV.3.1	b.REV.3.2	4	Undirected
14797	b.REV.7.11	b.REV.19.4	4	Undirected
12037	b.REV.5.6	b.REV.19.4	4	Undirected
19709	b.REV.11.15	b.REV.14.12	4	Undirected
8405	b.REV.3.7	b.REV.22.16	4	Undirected
19707	b.REV.11.15	b.REV.14.10	4	Undirected
5366	b.REV.2.18	b.REV.3.14	4	Undirected
4311	b.REV.2.11	b.REV.2.17	4	Undirected
5204	b.REV.2.17	b.REV.2.29	4	Undirected
3507	b.REV.2.7	b.REV.2.11	4	Undirected
7347	b.REV.3.1	b.REV.19.10	4	Undirected
24746	b.REV.16.17	b.REV.19.17	4	Undirected
7253	b.REV.3.1	b.REV.12.10	4	Undirected
19738	b.REV.11.15	b.REV.16.17	4	Undirected
46	b.REV.1.1	b.REV.3.5	4	Undirected
1180	b.REV.1.9	b.REV.12.10	4	Undirected
7161	b.REV.3.1	b.REV.3.14	4	Undirected
55	b.REV.1.1	b.REV.3.14	4	Undirected
27024	b.REV.19.1	b.REV.21.3	4	Undirected
14977	b.REV.7.12	b.REV.19.4	4	Undirected
3546	b.REV.2.7	b.REV.3.22	4	Undirected
3991	b.REV.2.9	b.REV.3.9	4	Undirected
4345	b.REV.2.11	b.REV.3.22	4	Undirected
2348	b.REV.1.20	b.REV.3.7	4	Undirected
24757	b.REV.16.17	b.REV.21.3	4	Undirected
20525	b.REV.12.10	b.REV.12.12	4	Undirected
9391	b.REV.3.14	b.REV.19.9	4	Undirected
9392	b.REV.3.14	b.REV.19.10	4	Undirected
5210	b.REV.2.17	b.REV.3.6	4	Undirected
7159	b.REV.3.1	b.REV.3.12	4	Undirected
19781	b.REV.11.15	b.REV.19.1	4	Undirected
5347	b.REV.2.18	b.REV.2.24	4	Undirected
2346	b.REV.1.20	b.REV.3.5	4	Undirected
42	b.REV.1.1	b.REV.3.1	4	Undirected
27290	b.REV.19.9	b.REV.19.10	4	Undirected
13119	b.REV.5.14	b.REV.19.4	3	Undirected
6429	b.REV.2.25	b.REV.2.28	3	Undirected
6339	b.REV.2.24	b.REV.12.10	3	Undirected
6428	b.REV.2.25	b.REV.2.27	3	Undirected
6430	b.REV.2.25	b.REV.2.29	3	Undirected
3977	b.REV.2.9	b.REV.2.24	3	Undirected
19342	b.REV.11.10	b.REV.22.9	3	Undirected
6427	b.REV.2.25	b.REV.2.26	3	Undirected
7935	b.REV.3.5	b.REV.11.15	3	Undirected
3967	b.REV.2.9	b.REV.2.14	3	Undirected
19339	b.REV.11.10	b.REV.22.6	3	Undirected
10194	b.REV.3.21	b.REV.12.10	3	Undirected
23355	b.REV.15.3	b.REV.19.9	3	Undirected
7955	b.REV.3.5	b.REV.14.10	3	Undirected
