	Source	Target	Weight	Type
0	#pla18	#pla71	2	Undirected
1	#per25	#pla65	1	Undirected
2	#org36	#org37	1	Undirected
3	#org35	#per25	6	Undirected
4	#per20	#per25	15	Undirected
5	#org4	#org51	6	Undirected
6	#org0	#tim2	1	Undirected
7	#per25	#pla3	2	Undirected
8	#org36	#org4	2	Undirected
9	#per14	#pla71	5	Undirected
10	#org0	#per17	3	Undirected
11	#org42	#org43	1	Undirected
12	#pla71	#wor4	1	Undirected
13	#org13	#org32	1	Undirected
14	#org45	#org46	1	Undirected
15	#per25	#pla69	6	Undirected
16	#per1	#pla67	1	Undirected
17	#per20	#pla68	1	Undirected
18	#org4	#per25	37	Undirected
19	#pla18	#pla73	5	Undirected
20	#org37	#per1	12	Undirected
21	#per1	#pla72	1	Undirected
22	#per124	#per126	1	Undirected
23	#org13	#org31	1	Undirected
24	#per119	#per25	1	Undirected
25	#org3	#per14	1	Undirected
26	#org0	#org37	2	Undirected
27	#org49	#per128	1	Undirected
28	#per118	#per25	1	Undirected
29	#org30	#org32	5	Undirected
30	#per25	#pla71	2	Undirected
31	#org6	#per14	1	Undirected
32	#org4	#pla68	1	Undirected
33	#org35	#per1	6	Undirected
34	#org34	#pla60	2	Undirected
35	#org4	#pla73	6	Undirected
36	#org33	#wor3	1	Undirected
37	#per1	#wor4	5	Undirected
38	#per1	#pla69	1	Undirected
39	#org31	#org37	1	Undirected
40	#org45	#org47	1	Undirected
41	#org34	#per1	13	Undirected
42	#org39	#per5	1	Undirected
43	#org32	#per1	8	Undirected
44	#org8	#pla18	1	Undirected
45	#org13	#per20	2	Undirected
46	#per116	#per20	1	Undirected
47	#org4	#pla65	1	Undirected
48	#org32	#per117	1	Undirected
49	#per1	#per26	1	Undirected
50	#per1	#per116	1	Undirected
51	#per1	#pla71	3	Undirected
52	#org33	#org37	2	Undirected
53	#org47	#per125	1	Undirected
54	#per14	#pla73	9	Undirected
55	#org31	#per17	1	Undirected
56	#per20	#wor4	1	Undirected
57	#org31	#org33	5	Undirected
58	#org35	#per14	1	Undirected
59	#org6	#pla69	1	Undirected
60	#per14	#pla61	1	Undirected
61	#org4	#pla15	1	Undirected
62	#org32	#wor3	1	Undirected
63	#org4	#per20	15	Undirected
64	#org0	#org4	29	Undirected
65	#org32	#per118	1	Undirected
66	#org33	#per14	3	Undirected
67	#org35	#org4	2	Undirected
68	#org4	#org6	2	Undirected
69	#org16	#pla73	1	Undirected
70	#per14	#per20	7	Undirected
71	#org32	#org33	5	Undirected
72	#org51	#per1	7	Undirected
73	#per1	#per14	36	Undirected
74	#org34	#pla63	2	Undirected
75	#org46	#per125	1	Undirected
76	#org32	#pla63	2	Undirected
77	#org42	#per122	1	Undirected
78	#org33	#org36	5	Undirected
79	#org49	#org50	1	Undirected
80	#per17	#tim9	1	Undirected
81	#org0	#per26	1	Undirected
82	#org33	#org34	5	Undirected
83	#org32	#org4	2	Undirected
84	#per14	#pla19	3	Undirected
85	#org31	#wor3	1	Undirected
86	#org42	#per121	1	Undirected
87	#org30	#org33	5	Undirected
88	#tim2	#wor3	1	Undirected
89	#org35	#pla63	2	Undirected
90	#org43	#per123	1	Undirected
91	#org48	#per127	1	Undirected
92	#org4	#per35	2	Undirected
93	#per25	#pla19	3	Undirected
94	#per14	#pla3	4	Undirected
95	#per1	#pla62	1	Undirected
96	#org0	#org3	1	Undirected
97	#org0	#org36	1	Undirected
98	#org33	#per1	15	Undirected
99	#org30	#org4	2	Undirected
100	#pla75	#pla76	1	Undirected
101	#org34	#pla71	1	Undirected
102	#org33	#per20	1	Undirected
103	#org34	#per14	5	Undirected
104	#org18	#per14	1	Undirected
105	#per1	#per117	1	Undirected
106	#org0	#per1	11	Undirected
107	#per14	#wor3	6	Undirected
108	#org6	#per25	1	Undirected
109	#per25	#per5	1	Undirected
110	#org35	#per35	1	Undirected
111	#org31	#per1	7	Undirected
112	#org46	#per126	1	Undirected
113	#org35	#org36	5	Undirected
114	#per35	#per5	1	Undirected
115	#org43	#per121	1	Undirected
116	#org49	#per104	1	Undirected
117	#per14	#pla69	6	Undirected
118	#per25	#pla62	1	Undirected
119	#org0	#org6	1	Undirected
120	#org30	#per17	1	Undirected
121	#per117	#per118	1	Undirected
122	#org33	#per25	15	Undirected
123	#org8	#per17	1	Undirected
124	#pla15	#pla18	1	Undirected
125	#org42	#org44	1	Undirected
126	#per14	#per26	1	Undirected
127	#per1	#pla70	1	Undirected
128	#org38	#per14	1	Undirected
129	#per1	#per35	3	Undirected
130	#org48	#org49	1	Undirected
131	#org4	#per1	24	Undirected
132	#per120	#per5	1	Undirected
133	#org51	#wor4	1	Undirected
134	#org31	#pla63	2	Undirected
135	#org4	#pla60	1	Undirected
136	#per25	#pla66	1	Undirected
137	#org38	#org4	1	Undirected
138	#org31	#per20	2	Undirected
139	#per25	#per35	3	Undirected
140	#per25	#pla73	4	Undirected
141	#per14	#pla60	1	Undirected
142	#org41	#per109	1	Undirected
143	#org30	#org35	5	Undirected
144	#org40	#org41	1	Undirected
145	#per14	#pla63	1	Undirected
146	#org34	#org37	1	Undirected
147	#org32	#per20	2	Undirected
148	#per14	#wor4	6	Undirected
149	#per17	#pla69	1	Undirected
150	#org51	#per25	4	Undirected
