	Source	Target	Weight	Type
0	#org41	#per120	1	Undirected
1	#per104	#per127	1	Undirected
2	#org34	#pla63	2	Undirected
3	#org30	#org34	5	Undirected
4	#per1	#per20	9	Undirected
5	#org4	#pla15	1	Undirected
6	#per14	#wor3	6	Undirected
7	#org35	#org4	2	Undirected
8	#org36	#wor3	1	Undirected
9	#org39	#per120	1	Undirected
10	#org35	#per20	1	Undirected
11	#org35	#org36	5	Undirected
12	#per25	#pla15	1	Undirected
13	#org51	#per25	4	Undirected
14	#org52	#per5	1	Undirected
15	#org6	#per14	1	Undirected
16	#org13	#per638	1	Undirected
17	#per14	#wor4	6	Undirected
18	#org38	#pla4	1	Undirected
19	#per116	#per25	1	Undirected
20	#org4	#wor4	3	Undirected
21	#org32	#per25	8	Undirected
22	#org0	#per26	1	Undirected
23	#pla15	#pla18	1	Undirected
24	#org35	#per1	6	Undirected
25	#org34	#per17	1	Undirected
26	#per35	#pla67	1	Undirected
27	#pla63	#wor3	1	Undirected
28	#org38	#org4	1	Undirected
29	#org0	#per20	4	Undirected
30	#org13	#org31	1	Undirected
31	#org51	#wor4	1	Undirected
32	#org48	#per128	1	Undirected
33	#pla75	#pla76	1	Undirected
34	#org34	#wor3	1	Undirected
35	#per14	#pla18	19	Undirected
36	#org0	#org4	29	Undirected
37	#per20	#pla15	1	Undirected
38	#org33	#per1	15	Undirected
39	#org47	#per126	1	Undirected
40	#pla71	#wor3	1	Undirected
41	#per1	#pla15	1	Undirected
42	#org8	#per25	5	Undirected
43	#per1	#pla67	1	Undirected
44	#per20	#wor4	1	Undirected
45	#per14	#pla72	1	Undirected
46	#org32	#pla63	2	Undirected
47	#org48	#per127	1	Undirected
48	#org44	#per122	1	Undirected
49	#org37	#org4	3	Undirected
50	#per1	#pla61	2	Undirected
51	#org35	#pla63	2	Undirected
52	#per1	#pla18	5	Undirected
53	#per109	#per5	1	Undirected
54	#per1	#pla69	1	Undirected
55	#org6	#pla69	1	Undirected
56	#per125	#per126	1	Undirected
57	#per1	#per14	36	Undirected
58	#org45	#per126	1	Undirected
59	#org33	#wor3	1	Undirected
60	#per116	#per20	1	Undirected
61	#per17	#pla18	3	Undirected
62	#per14	#pla66	1	Undirected
63	#org40	#per109	1	Undirected
64	#per1	#pla73	2	Undirected
65	#org44	#per121	1	Undirected
66	#org34	#org4	3	Undirected
67	#per25	#pla5	1	Undirected
68	#org32	#pla68	1	Undirected
69	#per14	#tim9	1	Undirected
70	#org14	#per20	1	Undirected
71	#per14	#pla3	4	Undirected
72	#org0	#per25	4	Undirected
73	#org34	#org37	1	Undirected
74	#org13	#per639	1	Undirected
75	#per121	#per122	1	Undirected
76	#per25	#pla61	2	Undirected
77	#org52	#per17	2	Undirected
78	#org0	#per1	11	Undirected
79	#org47	#per124	1	Undirected
80	#per20	#pla19	2	Undirected
81	#org30	#org37	1	Undirected
82	#org46	#org47	1	Undirected
83	#per120	#per5	1	Undirected
84	#org52	#pla73	1	Undirected
85	#per17	#pla69	1	Undirected
86	#org36	#per17	1	Undirected
87	#org4	#pla69	10	Undirected
88	#org49	#org50	1	Undirected
89	#org37	#per17	7	Undirected
90	#org51	#org6	1	Undirected
91	#per14	#per17	7	Undirected
92	#org0	#pla18	9	Undirected
93	#org35	#wor3	1	Undirected
94	#org34	#pla73	1	Undirected
95	#org30	#per1	10	Undirected
96	#org33	#org34	5	Undirected
97	#per119	#per25	1	Undirected
98	#per14	#per20	7	Undirected
99	#per1	#wor3	1	Undirected
100	#org52	#org8	1	Undirected
101	#org34	#pla60	2	Undirected
102	#org33	#org36	5	Undirected
103	#org16	#pla73	1	Undirected
104	#org39	#per5	1	Undirected
105	#org31	#pla65	1	Undirected
106	#org4	#per35	2	Undirected
107	#org37	#per35	1	Undirected
108	#per35	#per5	1	Undirected
109	#per25	#pla71	2	Undirected
110	#org41	#per5	1	Undirected
111	#per25	#pla67	1	Undirected
112	#org42	#org44	1	Undirected
113	#org38	#per14	1	Undirected
114	#per14	#pla63	1	Undirected
115	#org32	#org33	5	Undirected
116	#per638	#pla4	1	Undirected
117	#per25	#pla69	6	Undirected
118	#org33	#org4	2	Undirected
119	#org30	#wor3	1	Undirected
120	#org40	#per5	1	Undirected
121	#org52	#per1	9	Undirected
122	#org13	#org35	1	Undirected
123	#pla71	#pla73	1	Undirected
124	#org44	#per123	1	Undirected
125	#org43	#org44	1	Undirected
126	#org30	#per25	10	Undirected
127	#per25	#wor3	6	Undirected
128	#org8	#wor3	1	Undirected
129	#per122	#per123	1	Undirected
130	#org6	#pla18	1	Undirected
131	#per25	#pla63	2	Undirected
132	#per127	#per128	1	Undirected
133	#org0	#org3	1	Undirected
134	#org31	#org33	5	Undirected
135	#org32	#per116	1	Undirected
136	#org52	#per35	1	Undirected
137	#org45	#org46	1	Undirected
138	#per17	#tim9	1	Undirected
139	#per1	#pla19	2	Undirected
140	#pla18	#pla19	1	Undirected
141	#org45	#org47	1	Undirected
142	#per25	#pla65	1	Undirected
143	#per124	#per126	1	Undirected
144	#org36	#per14	3	Undirected
145	#pla3	#pla73	1	Undirected
146	#per14	#pla70	1	Undirected
147	#org31	#per17	1	Undirected
148	#per20	#pla68	1	Undirected
149	#org46	#per125	1	Undirected
150	#org34	#org35	5	Undirected
151	#pla18	#pla71	2	Undirected
152	#org36	#per25	12	Undirected
153	#org33	#per17	1	Undirected
154	#org30	#org36	5	Undirected
155	#per1	#per5	1	Undirected
156	#per124	#per125	1	Undirected
157	#org36	#pla63	2	Undirected
158	#per5	#wor4	1	Undirected
159	#org4	#pla60	1	Undirected
160	#org30	#org35	5	Undirected
161	#per17	#per25	8	Undirected
162	#org0	#pla73	1	Undirected
163	#org39	#per109	1	Undirected
164	#org32	#per20	2	Undirected
165	#org30	#org32	5	Undirected
166	#per1	#per25	75	Undirected
167	#org37	#per20	5	Undirected
168	#org4	#pla73	6	Undirected
169	#org45	#per125	1	Undirected
170	#per25	#wor4	3	Undirected
171	#org50	#per128	1	Undirected
172	#org35	#per25	6	Undirected
173	#per14	#per26	1	Undirected
174	#org50	#per127	1	Undirected
175	#per20	#pla61	1	Undirected
176	#per14	#pla19	3	Undirected
177	#org31	#org32	5	Undirected
178	#org37	#per1	12	Undirected
179	#org8	#per14	8	Undirected
180	#org30	#pla62	1	Undirected
181	#org6	#per25	1	Undirected
182	#per25	#pla62	1	Undirected
183	#org30	#org33	5	Undirected
184	#org34	#per25	13	Undirected
185	#org52	#wor4	2	Undirected
186	#org42	#per122	1	Undirected
187	#org52	#per14	13	Undirected
188	#org13	#per25	3	Undirected
189	#org18	#per14	1	Undirected
190	#per1	#per119	1	Undirected
191	#org52	#per25	6	Undirected
192	#org13	#org32	1	Undirected
193	#org33	#pla61	2	Undirected
194	#org43	#per123	1	Undirected
195	#org4	#per20	15	Undirected
196	#per25	#pla16	1	Undirected
197	#org4	#per25	37	Undirected
198	#org37	#per25	9	Undirected
199	#per14	#pla60	1	Undirected
200	#per25	#pla73	4	Undirected
201	#org3	#pla71	1	Undirected
202	#org36	#org37	1	Undirected
203	#per121	#per123	1	Undirected
204	#org4	#pla4	1	Undirected
205	#org8	#pla18	1	Undirected
206	#org31	#per25	7	Undirected
207	#per130	#pla18	1	Undirected
208	#per14	#pla5	1	Undirected
209	#pla16	#pla5	1	Undirected
210	#per25	#pla4	1	Undirected
211	#org32	#pla4	1	Undirected
212	#org31	#pla63	2	Undirected
213	#org30	#org31	5	Undirected
214	#per639	#pla4	1	Undirected
215	#org4	#pla18	11	Undirected
216	#org34	#pla71	1	Undirected
217	#org37	#pla18	1	Undirected
218	#org48	#org49	1	Undirected
219	#org32	#per638	1	Undirected
220	#org40	#org41	1	Undirected
221	#org32	#org37	1	Undirected
222	#per1	#pla70	1	Undirected
223	#org4	#org52	6	Undirected
224	#per1	#per35	3	Undirected
225	#org36	#per1	12	Undirected
226	#org33	#per20	1	Undirected
227	#org32	#per17	1	Undirected
228	#org32	#wor3	1	Undirected
229	#org32	#org4	2	Undirected
230	#org33	#per119	1	Undirected
231	#org30	#per17	1	Undirected
232	#org51	#per14	9	Undirected
233	#per109	#per120	1	Undirected
234	#org30	#org4	2	Undirected
235	#per1	#pla71	3	Undirected
236	#org4	#org8	5	Undirected
237	#org33	#pla63	2	Undirected
238	#per1	#pla62	1	Undirected
239	#org4	#pla66	1	Undirected
240	#org42	#org43	1	Undirected
241	#org3	#pla18	1	Undirected
242	#org31	#org36	5	Undirected
243	#org31	#per20	2	Undirected
244	#org6	#per20	3	Undirected
245	#org35	#pla67	1	Undirected
246	#per638	#per639	1	Undirected
247	#org37	#per14	3	Undirected
248	#org4	#per14	42	Undirected
249	#org31	#org35	5	Undirected
250	#org30	#pla63	2	Undirected
251	#org48	#org50	1	Undirected
252	#per25	#pla18	6	Undirected
253	#org32	#org34	5	Undirected
254	#org4	#pla62	1	Undirected
255	#org4	#pla71	1	Undirected
256	#org40	#per120	1	Undirected
257	#org39	#org41	1	Undirected
258	#per17	#per20	1	Undirected
259	#org4	#pla61	1	Undirected
260	#org49	#per128	1	Undirected
261	#org46	#per126	1	Undirected
262	#org30	#per14	2	Undirected
263	#org16	#per25	1	Undirected
264	#org22	#org4	1	Undirected
265	#org33	#per25	15	Undirected
266	#org36	#org4	2	Undirected
267	#org0	#org36	1	Undirected
268	#org32	#per639	1	Undirected
269	#per17	#pla71	1	Undirected
270	#per1	#per639	1	Undirected
271	#per25	#per638	1	Undirected
272	#per1	#pla65	1	Undirected
273	#per25	#pla19	3	Undirected
274	#pla19	#pla70	1	Undirected
275	#org4	#pla67	1	Undirected
276	#per25	#pla66	1	Undirected
277	#org31	#wor3	1	Undirected
278	#org35	#per14	1	Undirected
279	#org31	#per1	7	Undirected
280	#per25	#per35	3	Undirected
281	#per25	#pla3	2	Undirected
282	#per104	#per128	1	Undirected
283	#org0	#org6	1	Undirected
284	#org0	#wor4	1	Undirected
285	#org49	#per127	1	Undirected
286	#per1	#per638	1	Undirected
287	#org3	#org8	1	Undirected
288	#org30	#pla18	1	Undirected
