	id	type
0	b.REV.1.1	verse
1	b.REV.1.2	verse
2	b.REV.1.3	verse
3	b.REV.1.4	verse
4	b.REV.1.5	verse
5	b.REV.1.6	verse
6	b.REV.1.7	verse
7	b.REV.1.8	verse
8	b.REV.1.9	verse
9	b.REV.1.10	verse
10	b.REV.1.11	verse
11	b.REV.1.12	verse
12	b.REV.1.13	verse
13	b.REV.1.14	verse
14	b.REV.1.15	verse
15	b.REV.1.16	verse
16	b.REV.1.17	verse
17	b.REV.1.18	verse
18	b.REV.1.19	verse
19	b.REV.1.20	verse
20	b.REV.2.1	verse
21	b.REV.2.2	verse
22	b.REV.2.3	verse
23	b.REV.2.4	verse
24	b.REV.2.5	verse
25	b.REV.2.6	verse
26	b.REV.2.7	verse
27	b.REV.2.8	verse
28	b.REV.2.9	verse
29	b.REV.2.10	verse
30	b.REV.2.11	verse
31	b.REV.2.12	verse
32	b.REV.2.13	verse
33	b.REV.2.14	verse
34	b.REV.2.15	verse
35	b.REV.2.16	verse
36	b.REV.2.17	verse
37	b.REV.2.18	verse
38	b.REV.2.19	verse
39	b.REV.2.20	verse
40	b.REV.2.21	verse
41	b.REV.2.22	verse
42	b.REV.2.23	verse
43	b.REV.2.24	verse
44	b.REV.2.25	verse
45	b.REV.2.26	verse
46	b.REV.2.27	verse
47	b.REV.2.28	verse
48	b.REV.2.29	verse
49	b.REV.3.1	verse
50	b.REV.3.2	verse
51	b.REV.3.3	verse
52	b.REV.3.4	verse
53	b.REV.3.5	verse
54	b.REV.3.6	verse
55	b.REV.3.7	verse
56	b.REV.3.8	verse
57	b.REV.3.9	verse
58	b.REV.3.10	verse
59	b.REV.3.11	verse
60	b.REV.3.12	verse
61	b.REV.3.13	verse
62	b.REV.3.14	verse
63	b.REV.3.15	verse
64	b.REV.3.16	verse
65	b.REV.3.17	verse
66	b.REV.3.18	verse
67	b.REV.3.19	verse
68	b.REV.3.20	verse
69	b.REV.3.21	verse
70	b.REV.3.22	verse
71	b.REV.4.1	verse
72	b.REV.4.2	verse
73	b.REV.4.3	verse
74	b.REV.4.4	verse
75	b.REV.4.5	verse
76	b.REV.4.6	verse
77	b.REV.4.7	verse
78	b.REV.4.8	verse
79	b.REV.4.9	verse
80	b.REV.4.10	verse
81	b.REV.4.11	verse
82	b.REV.5.1	verse
83	b.REV.5.2	verse
84	b.REV.5.3	verse
85	b.REV.5.4	verse
86	b.REV.5.5	verse
87	b.REV.5.6	verse
88	b.REV.5.7	verse
89	b.REV.5.8	verse
90	b.REV.5.9	verse
91	b.REV.5.10	verse
92	b.REV.5.11	verse
93	b.REV.5.12	verse
94	b.REV.5.13	verse
95	b.REV.5.14	verse
96	b.REV.6.1	verse
97	b.REV.6.2	verse
98	b.REV.6.3	verse
99	b.REV.6.4	verse
100	b.REV.6.5	verse
101	b.REV.6.6	verse
102	b.REV.6.7	verse
103	b.REV.6.8	verse
104	b.REV.6.9	verse
105	b.REV.6.10	verse
106	b.REV.6.11	verse
107	b.REV.6.12	verse
108	b.REV.6.13	verse
109	b.REV.6.14	verse
110	b.REV.6.15	verse
111	b.REV.6.16	verse
112	b.REV.6.17	verse
113	b.REV.7.1	verse
114	b.REV.7.2	verse
115	b.REV.7.3	verse
116	b.REV.7.4	verse
117	b.REV.7.5	verse
118	b.REV.7.6	verse
119	b.REV.7.7	verse
120	b.REV.7.8	verse
121	b.REV.7.9	verse
122	b.REV.7.10	verse
123	b.REV.7.11	verse
124	b.REV.7.12	verse
125	b.REV.7.13	verse
126	b.REV.7.14	verse
127	b.REV.7.15	verse
128	b.REV.7.16	verse
129	b.REV.7.17	verse
130	b.REV.8.1	verse
131	b.REV.8.2	verse
132	b.REV.8.3	verse
133	b.REV.8.4	verse
134	b.REV.8.5	verse
135	b.REV.8.6	verse
136	b.REV.8.7	verse
137	b.REV.8.8	verse
138	b.REV.8.9	verse
139	b.REV.8.10	verse
140	b.REV.8.11	verse
141	b.REV.8.12	verse
142	b.REV.8.13	verse
143	b.REV.9.1	verse
144	b.REV.9.2	verse
145	b.REV.9.3	verse
146	b.REV.9.4	verse
147	b.REV.9.5	verse
148	b.REV.9.6	verse
149	b.REV.9.7	verse
150	b.REV.9.8	verse
151	b.REV.9.9	verse
152	b.REV.9.10	verse
153	b.REV.9.11	verse
154	b.REV.9.12	verse
155	b.REV.9.13	verse
156	b.REV.9.14	verse
157	b.REV.9.15	verse
158	b.REV.9.16	verse
159	b.REV.9.17	verse
160	b.REV.9.18	verse
161	b.REV.9.19	verse
162	b.REV.9.20	verse
163	b.REV.9.21	verse
164	b.REV.10.1	verse
165	b.REV.10.2	verse
166	b.REV.10.3	verse
167	b.REV.10.4	verse
168	b.REV.10.5	verse
169	b.REV.10.6	verse
170	b.REV.10.7	verse
171	b.REV.10.8	verse
172	b.REV.10.9	verse
173	b.REV.10.10	verse
174	b.REV.10.11	verse
175	b.REV.11.1	verse
176	b.REV.11.2	verse
177	b.REV.11.3	verse
178	b.REV.11.4	verse
179	b.REV.11.5	verse
180	b.REV.11.6	verse
181	b.REV.11.7	verse
182	b.REV.11.8	verse
183	b.REV.11.9	verse
184	b.REV.11.10	verse
185	b.REV.11.11	verse
186	b.REV.11.12	verse
187	b.REV.11.13	verse
188	b.REV.11.14	verse
189	b.REV.11.15	verse
190	b.REV.11.16	verse
191	b.REV.11.17	verse
192	b.REV.11.18	verse
193	b.REV.11.19	verse
194	b.REV.12.1	verse
195	b.REV.12.2	verse
196	b.REV.12.3	verse
197	b.REV.12.4	verse
198	b.REV.12.5	verse
199	b.REV.12.6	verse
200	b.REV.12.7	verse
201	b.REV.12.8	verse
202	b.REV.12.9	verse
203	b.REV.12.10	verse
204	b.REV.12.11	verse
205	b.REV.12.12	verse
206	b.REV.12.13	verse
207	b.REV.12.14	verse
208	b.REV.12.15	verse
209	b.REV.12.16	verse
210	b.REV.12.17	verse
211	b.REV.13.1	verse
212	b.REV.13.2	verse
213	b.REV.13.3	verse
214	b.REV.13.4	verse
215	b.REV.13.5	verse
216	b.REV.13.6	verse
217	b.REV.13.7	verse
218	b.REV.13.8	verse
219	b.REV.13.9	verse
220	b.REV.13.10	verse
221	b.REV.13.11	verse
222	b.REV.13.12	verse
223	b.REV.13.13	verse
224	b.REV.13.14	verse
225	b.REV.13.15	verse
226	b.REV.13.16	verse
227	b.REV.13.17	verse
228	b.REV.13.18	verse
229	b.REV.14.1	verse
230	b.REV.14.2	verse
231	b.REV.14.3	verse
232	b.REV.14.4	verse
233	b.REV.14.5	verse
234	b.REV.14.6	verse
235	b.REV.14.7	verse
236	b.REV.14.8	verse
237	b.REV.14.9	verse
238	b.REV.14.10	verse
239	b.REV.14.11	verse
240	b.REV.14.12	verse
241	b.REV.14.13	verse
242	b.REV.14.14	verse
243	b.REV.14.15	verse
244	b.REV.14.16	verse
245	b.REV.14.17	verse
246	b.REV.14.18	verse
247	b.REV.14.19	verse
248	b.REV.14.20	verse
249	b.REV.15.1	verse
250	b.REV.15.2	verse
251	b.REV.15.3	verse
252	b.REV.15.4	verse
253	b.REV.15.5	verse
254	b.REV.15.6	verse
255	b.REV.15.7	verse
256	b.REV.15.8	verse
257	b.REV.16.1	verse
258	b.REV.16.2	verse
259	b.REV.16.3	verse
260	b.REV.16.4	verse
261	b.REV.16.5	verse
262	b.REV.16.6	verse
263	b.REV.16.7	verse
264	b.REV.16.8	verse
265	b.REV.16.9	verse
266	b.REV.16.10	verse
267	b.REV.16.11	verse
268	b.REV.16.12	verse
269	b.REV.16.13	verse
270	b.REV.16.14	verse
271	b.REV.16.15	verse
272	b.REV.16.16	verse
273	b.REV.16.17	verse
274	b.REV.16.18	verse
275	b.REV.16.19	verse
276	b.REV.16.20	verse
277	b.REV.16.21	verse
278	b.REV.17.1	verse
279	b.REV.17.2	verse
280	b.REV.17.3	verse
281	b.REV.17.4	verse
282	b.REV.17.5	verse
283	b.REV.17.6	verse
284	b.REV.17.7	verse
285	b.REV.17.8	verse
286	b.REV.17.9	verse
287	b.REV.17.10	verse
288	b.REV.17.11	verse
289	b.REV.17.12	verse
290	b.REV.17.13	verse
291	b.REV.17.14	verse
292	b.REV.17.15	verse
293	b.REV.17.16	verse
294	b.REV.17.17	verse
295	b.REV.17.18	verse
296	b.REV.18.1	verse
297	b.REV.18.2	verse
298	b.REV.18.3	verse
299	b.REV.18.4	verse
300	b.REV.18.5	verse
301	b.REV.18.6	verse
302	b.REV.18.7	verse
303	b.REV.18.8	verse
304	b.REV.18.9	verse
