	Source	Target	Weight	Type
0	#per14	#per26	2	Undirected
1	#per19	#per95	1	Undirected
2	#org16	#wor1	3	Undirected
3	#org118	#org19	2	Undirected
4	#org13	#org19	1	Undirected
5	#org182	#pla472	1	Undirected
6	#per1	#pla72	1	Undirected
7	#org13	#wor1	5	Undirected
8	#org18	#pla4	2	Undirected
9	#per14	#per3	2	Undirected
10	#per134	#per14	1	Undirected
11	#org110	#per893	1	Undirected
12	#per882	#per893	1	Undirected
13	#per14	#per20	1	Undirected
14	#org102	#pla199	1	Undirected
15	#org102	#pla3	1	Undirected
16	#per26	#wor1	1	Undirected
17	#per14	#per17	12	Undirected
18	#per2	#per3	2	Undirected
19	#org18	#per872	2	Undirected
20	#per14	#per873	1	Undirected
21	#org16	#org37	1	Undirected
22	#pla3	#pla472	1	Undirected
23	#org70	#per19	2	Undirected
24	#org18	#per13	1	Undirected
25	#org22	#org70	1	Undirected
26	#org88	#per1	1	Undirected
27	#per518	#per527	1	Undirected
28	#per17	#pla474	1	Undirected
29	#per14	#pla41	2	Undirected
30	#per14	#per884	1	Undirected
31	#org16	#per14	8	Undirected
32	#per136	#per4	1	Undirected
33	#per14	#per650	1	Undirected
34	#per13	#wor1	1	Undirected
35	#per876	#per887	1	Undirected
36	#org70	#pla4	4	Undirected
37	#org110	#per1	1	Undirected
38	#org37	#per875	1	Undirected
39	#org8	#per14	3	Undirected
40	#per532	#per533	1	Undirected
41	#per874	#per878	1	Undirected
42	#org70	#per2	1	Undirected
43	#org182	#per898	1	Undirected
44	#org18	#per891	1	Undirected
45	#org0	#per95	1	Undirected
46	#per1	#per882	1	Undirected
47	#per876	#per885	1	Undirected
48	#org0	#org78	2	Undirected
49	#org182	#wor1	1	Undirected
50	#org16	#pla4	2	Undirected
51	#per883	#per888	1	Undirected
52	#org0	#per14	35	Undirected
53	#per1	#per883	1	Undirected
54	#org118	#per1	1	Undirected
55	#org0	#per19	7	Undirected
56	#per1	#per20	1	Undirected
57	#org16	#per1	4	Undirected
58	#org18	#pla472	1	Undirected
59	#org19	#per1	2	Undirected
60	#per1	#pla3	1	Undirected
61	#org0	#pla16	1	Undirected
62	#org16	#org19	1	Undirected
63	#org37	#per897	1	Undirected
64	#per14	#per889	1	Undirected
65	#org118	#org13	4	Undirected
66	#org102	#pla472	1	Undirected
67	#per19	#pla41	1	Undirected
68	#org37	#per895	1	Undirected
69	#org0	#pla17	1	Undirected
70	#per895	#per897	1	Undirected
71	#org37	#pla473	1	Undirected
72	#per1	#per888	1	Undirected
73	#per892	#per897	1	Undirected
74	#org0	#org182	1	Undirected
75	#org70	#per504	2	Undirected
76	#org37	#per545	1	Undirected
77	#per879	#per894	1	Undirected
78	#per14	#per886	1	Undirected
79	#org0	#org8	1	Undirected
80	#per892	#per895	1	Undirected
81	#per898	#pla472	1	Undirected
82	#per14	#wor1	12	Undirected
83	#org18	#per887	1	Undirected
84	#per14	#pla16	1	Undirected
85	#org16	#per26	1	Undirected
86	#per1	#per35	1	Undirected
87	#org0	#per872	2	Undirected
88	#per1	#per533	1	Undirected
89	#org70	#per13	1	Undirected
90	#org18	#org182	1	Undirected
91	#org13	#per14	5	Undirected
92	#org18	#pla17	1	Undirected
93	#per17	#pla3	1	Undirected
94	#org18	#per650	1	Undirected
95	#per1	#pla474	1	Undirected
96	#per145	#per26	1	Undirected
97	#per892	#per894	1	Undirected
98	#org70	#per4	1	Undirected
99	#per1	#per898	1	Undirected
100	#org0	#per35	5	Undirected
101	#per1	#per874	1	Undirected
102	#per879	#per895	1	Undirected
103	#org0	#org16	5	Undirected
104	#org18	#pla199	1	Undirected
105	#per13	#per14	3	Undirected
106	#per518	#per899	1	Undirected
107	#org18	#per17	4	Undirected
108	#org18	#per14	18	Undirected
109	#org70	#wor1	2	Undirected
110	#per14	#per35	2	Undirected
111	#org100	#per14	2	Undirected
112	#org70	#per14	6	Undirected
113	#org8	#wor1	3	Undirected
114	#org122	#per14	1	Undirected
115	#pla199	#pla3	1	Undirected
