	id	type
0	b.ROM.1.1	verse
1	b.ROM.1.2	verse
2	b.ROM.1.3	verse
3	b.ROM.1.4	verse
4	b.ROM.1.5	verse
5	b.ROM.1.6	verse
6	b.ROM.1.7	verse
7	b.ROM.1.8	verse
8	b.ROM.1.9	verse
9	b.ROM.1.10	verse
10	b.ROM.1.11	verse
11	b.ROM.1.12	verse
12	b.ROM.1.13	verse
13	b.ROM.1.14	verse
14	b.ROM.1.15	verse
15	b.ROM.1.16	verse
16	b.ROM.1.17	verse
17	b.ROM.1.18	verse
18	b.ROM.1.19	verse
19	b.ROM.1.20	verse
20	b.ROM.1.21	verse
21	b.ROM.1.22	verse
22	b.ROM.1.23	verse
23	b.ROM.1.24	verse
24	b.ROM.1.25	verse
25	b.ROM.1.26	verse
26	b.ROM.1.27	verse
27	b.ROM.1.28	verse
28	b.ROM.1.29	verse
29	b.ROM.1.30	verse
30	b.ROM.1.31	verse
31	b.ROM.1.32	verse
32	b.ROM.2.1	verse
33	b.ROM.2.2	verse
34	b.ROM.2.3	verse
35	b.ROM.2.4	verse
36	b.ROM.2.5	verse
37	b.ROM.2.6	verse
38	b.ROM.2.7	verse
39	b.ROM.2.8	verse
40	b.ROM.2.9	verse
41	b.ROM.2.10	verse
42	b.ROM.2.11	verse
43	b.ROM.2.12	verse
44	b.ROM.2.13	verse
45	b.ROM.2.14	verse
46	b.ROM.2.15	verse
47	b.ROM.2.16	verse
48	b.ROM.2.17	verse
49	b.ROM.2.18	verse
50	b.ROM.2.19	verse
51	b.ROM.2.20	verse
52	b.ROM.2.21	verse
53	b.ROM.2.22	verse
54	b.ROM.2.23	verse
55	b.ROM.2.24	verse
56	b.ROM.2.25	verse
57	b.ROM.2.26	verse
58	b.ROM.2.27	verse
59	b.ROM.2.28	verse
60	b.ROM.2.29	verse
61	b.ROM.3.1	verse
62	b.ROM.3.2	verse
63	b.ROM.3.3	verse
64	b.ROM.3.4	verse
65	b.ROM.3.5	verse
66	b.ROM.3.6	verse
67	b.ROM.3.7	verse
68	b.ROM.3.8	verse
69	b.ROM.3.9	verse
70	b.ROM.3.10	verse
71	b.ROM.3.11	verse
72	b.ROM.3.12	verse
73	b.ROM.3.13	verse
74	b.ROM.3.14	verse
75	b.ROM.3.15	verse
76	b.ROM.3.16	verse
77	b.ROM.3.17	verse
78	b.ROM.3.18	verse
79	b.ROM.3.19	verse
80	b.ROM.3.20	verse
81	b.ROM.3.21	verse
82	b.ROM.3.22	verse
83	b.ROM.3.23	verse
84	b.ROM.3.24	verse
85	b.ROM.3.25	verse
86	b.ROM.3.26	verse
87	b.ROM.3.27	verse
88	b.ROM.3.28	verse
89	b.ROM.3.29	verse
90	b.ROM.3.30	verse
91	b.ROM.3.31	verse
92	b.ROM.4.1	verse
93	b.ROM.4.2	verse
94	b.ROM.4.3	verse
95	b.ROM.4.4	verse
96	b.ROM.4.5	verse
97	b.ROM.4.6	verse
98	b.ROM.4.7	verse
99	b.ROM.4.8	verse
100	b.ROM.4.9	verse
101	b.ROM.4.10	verse
102	b.ROM.4.11	verse
103	b.ROM.4.12	verse
104	b.ROM.4.13	verse
105	b.ROM.4.14	verse
106	b.ROM.4.15	verse
107	b.ROM.4.16	verse
108	b.ROM.4.17	verse
109	b.ROM.4.18	verse
110	b.ROM.4.19	verse
111	b.ROM.4.20	verse
112	b.ROM.4.21	verse
113	b.ROM.4.22	verse
114	b.ROM.4.23	verse
115	b.ROM.4.24	verse
116	b.ROM.4.25	verse
117	b.ROM.5.1	verse
118	b.ROM.5.2	verse
119	b.ROM.5.3	verse
120	b.ROM.5.4	verse
121	b.ROM.5.5	verse
122	b.ROM.5.6	verse
123	b.ROM.5.7	verse
124	b.ROM.5.8	verse
125	b.ROM.5.9	verse
126	b.ROM.5.10	verse
127	b.ROM.5.11	verse
128	b.ROM.5.12	verse
129	b.ROM.5.13	verse
130	b.ROM.5.14	verse
131	b.ROM.5.15	verse
132	b.ROM.5.16	verse
133	b.ROM.5.17	verse
134	b.ROM.5.18	verse
135	b.ROM.5.19	verse
136	b.ROM.5.20	verse
137	b.ROM.5.21	verse
138	b.ROM.6.1	verse
139	b.ROM.6.2	verse
140	b.ROM.6.3	verse
141	b.ROM.6.4	verse
142	b.ROM.6.5	verse
143	b.ROM.6.6	verse
144	b.ROM.6.7	verse
145	b.ROM.6.8	verse
146	b.ROM.6.9	verse
147	b.ROM.6.10	verse
148	b.ROM.6.11	verse
149	b.ROM.6.12	verse
150	b.ROM.6.13	verse
151	b.ROM.6.14	verse
152	b.ROM.6.15	verse
153	b.ROM.6.16	verse
154	b.ROM.6.17	verse
155	b.ROM.6.18	verse
156	b.ROM.6.19	verse
157	b.ROM.6.20	verse
158	b.ROM.6.21	verse
159	b.ROM.6.22	verse
160	b.ROM.6.23	verse
161	b.ROM.7.1	verse
162	b.ROM.7.2	verse
163	b.ROM.7.3	verse
164	b.ROM.7.4	verse
165	b.ROM.7.5	verse
166	b.ROM.7.6	verse
167	b.ROM.7.7	verse
168	b.ROM.7.8	verse
169	b.ROM.7.9	verse
170	b.ROM.7.10	verse
171	b.ROM.7.11	verse
172	b.ROM.7.12	verse
173	b.ROM.7.13	verse
174	b.ROM.7.14	verse
175	b.ROM.7.15	verse
176	b.ROM.7.16	verse
177	b.ROM.7.17	verse
178	b.ROM.7.18	verse
179	b.ROM.7.19	verse
180	b.ROM.7.20	verse
181	b.ROM.7.21	verse
182	b.ROM.7.22	verse
183	b.ROM.7.23	verse
184	b.ROM.7.24	verse
185	b.ROM.7.25	verse
186	b.ROM.8.1	verse
187	b.ROM.8.2	verse
188	b.ROM.8.3	verse
189	b.ROM.8.4	verse
190	b.ROM.8.5	verse
191	b.ROM.8.6	verse
192	b.ROM.8.7	verse
193	b.ROM.8.8	verse
194	b.ROM.8.9	verse
195	b.ROM.8.10	verse
196	b.ROM.8.11	verse
197	b.ROM.8.12	verse
198	b.ROM.8.13	verse
199	b.ROM.8.14	verse
200	b.ROM.8.15	verse
201	b.ROM.8.16	verse
202	b.ROM.8.17	verse
203	b.ROM.8.18	verse
204	b.ROM.8.19	verse
205	b.ROM.8.20	verse
206	b.ROM.8.21	verse
207	b.ROM.8.22	verse
