	Source	Target	Weight	Type
0	#org25	#per462	8	Undirected
1	#per466	#pla1	2	Undirected
2	#per14	#per462	8	Undirected
3	#per14	#per93	13	Undirected
4	#per464	#pla1	1	Undirected
5	#pla1	#pla4	1	Undirected
6	#per466	#per467	2	Undirected
7	#org96	#per465	1	Undirected
8	#pla1	#pla149	3	Undirected
9	#per463	#pla1	8	Undirected
10	#org97	#pla5	1	Undirected
11	#org95	#pla1	1	Undirected
12	#per93	#pla149	5	Undirected
13	#per463	#per93	29	Undirected
14	#per16	#pla4	1	Undirected
15	#per272	#per464	1	Undirected
16	#per93	#per94	1	Undirected
17	#per135	#per14	1	Undirected
18	#org25	#pla5	1	Undirected
19	#pla150	#pla4	1	Undirected
20	#pla149	#pla41	1	Undirected
21	#per6	#per93	1	Undirected
22	#org39	#org97	1	Undirected
23	#per272	#per466	2	Undirected
24	#org13	#per14	5	Undirected
25	#org25	#per467	4	Undirected
26	#pla149	#pla5	3	Undirected
27	#per89	#per90	1	Undirected
28	#org22	#pla150	1	Undirected
29	#per462	#per463	15	Undirected
30	#org25	#per93	4	Undirected
31	#per469	#pla5	2	Undirected
32	#org13	#per94	1	Undirected
33	#org81	#per93	1	Undirected
34	#org39	#per7	1	Undirected
35	#org13	#per272	1	Undirected
36	#per465	#per467	2	Undirected
37	#org96	#per14	1	Undirected
38	#per14	#per464	4	Undirected
39	#org13	#per465	1	Undirected
40	#org96	#pla1	1	Undirected
41	#per88	#per90	1	Undirected
42	#per465	#pla41	1	Undirected
43	#org25	#pla1	2	Undirected
44	#per135	#per93	1	Undirected
45	#org95	#per469	1	Undirected
46	#per464	#per466	1	Undirected
47	#org25	#per14	2	Undirected
48	#per7	#pla5	1	Undirected
49	#org13	#per92	3	Undirected
50	#per466	#pla149	3	Undirected
51	#pla41	#pla5	1	Undirected
52	#per14	#pla150	1	Undirected
53	#per466	#per469	6	Undirected
54	#per468	#per7	1	Undirected
55	#org39	#per6	1	Undirected
56	#per16	#per93	1	Undirected
57	#org96	#per272	1	Undirected
58	#per462	#per92	1	Undirected
59	#per14	#pla5	1	Undirected
60	#org25	#per6	1	Undirected
61	#org97	#per7	1	Undirected
62	#per135	#pla1	1	Undirected
63	#per7	#per93	1	Undirected
64	#per16	#pla150	1	Undirected
65	#per467	#per93	2	Undirected
66	#org39	#per93	1	Undirected
67	#org25	#per465	2	Undirected
68	#per14	#per463	9	Undirected
69	#per14	#pla4	3	Undirected
70	#per464	#per93	11	Undirected
71	#per272	#pla5	2	Undirected
72	#per462	#pla4	2	Undirected
73	#per272	#per463	5	Undirected
74	#org96	#per463	5	Undirected
75	#per462	#pla1	5	Undirected
76	#org22	#per462	1	Undirected
77	#org13	#per469	1	Undirected
78	#org13	#per462	7	Undirected
79	#per272	#per465	3	Undirected
80	#org25	#per7	1	Undirected
81	#per465	#pla1	2	Undirected
82	#org22	#pla1	1	Undirected
83	#per135	#per16	1	Undirected
84	#per469	#pla149	2	Undirected
85	#org22	#per14	1	Undirected
86	#org13	#org97	1	Undirected
87	#per465	#pla5	2	Undirected
88	#per272	#per462	2	Undirected
89	#per92	#per93	2	Undirected
90	#org22	#per135	1	Undirected
91	#org97	#per6	1	Undirected
92	#per14	#per92	1	Undirected
93	#per463	#per92	3	Undirected
94	#org13	#pla5	1	Undirected
