	Source	Target	Weight	Type
0	#org95	#per465	1	Undirected
1	#org95	#pla1	1	Undirected
2	#org39	#org97	1	Undirected
3	#per463	#per465	7	Undirected
4	#org96	#pla149	1	Undirected
5	#per35	#per94	2	Undirected
6	#org39	#per6	1	Undirected
7	#per462	#per92	1	Undirected
8	#org25	#per272	1	Undirected
9	#per465	#pla5	2	Undirected
10	#org95	#per463	1	Undirected
11	#org97	#pla5	1	Undirected
12	#org96	#per93	11	Undirected
13	#org13	#per93	8	Undirected
14	#per14	#per463	9	Undirected
15	#per14	#per272	1	Undirected
16	#per468	#per88	1	Undirected
17	#per14	#per462	8	Undirected
18	#per462	#per466	4	Undirected
19	#org25	#pla5	1	Undirected
20	#org22	#per462	1	Undirected
21	#per466	#pla149	3	Undirected
22	#per35	#per95	2	Undirected
23	#org81	#per464	1	Undirected
24	#per466	#pla5	2	Undirected
25	#org39	#pla5	1	Undirected
26	#per14	#pla5	1	Undirected
27	#org13	#per465	1	Undirected
28	#org95	#per466	1	Undirected
29	#org13	#per272	1	Undirected
30	#org95	#per469	1	Undirected
31	#per462	#per93	31	Undirected
32	#per88	#per89	1	Undirected
33	#per466	#pla41	1	Undirected
34	#org13	#pla149	2	Undirected
35	#per16	#per93	1	Undirected
36	#per467	#pla149	1	Undirected
37	#org25	#org97	1	Undirected
38	#per16	#pla150	1	Undirected
39	#org97	#per14	1	Undirected
40	#per14	#per92	1	Undirected
41	#per14	#per16	1	Undirected
42	#per16	#pla4	1	Undirected
43	#per462	#pla150	1	Undirected
44	#org13	#org25	5	Undirected
45	#pla1	#pla150	1	Undirected
46	#per463	#pla1	8	Undirected
47	#pla1	#pla4	1	Undirected
48	#org39	#per93	1	Undirected
49	#per465	#pla1	2	Undirected
50	#per135	#pla1	1	Undirected
51	#org96	#pla1	1	Undirected
52	#per6	#per93	1	Undirected
53	#per463	#pla149	6	Undirected
54	#per467	#per93	2	Undirected
55	#per468	#per87	1	Undirected
56	#org81	#per93	1	Undirected
57	#per465	#pla149	3	Undirected
58	#per14	#per94	1	Undirected
59	#per272	#pla149	6	Undirected
60	#org39	#per7	1	Undirected
61	#per272	#per465	3	Undirected
62	#per92	#per93	2	Undirected
63	#org25	#pla150	1	Undirected
64	#org96	#per272	1	Undirected
65	#org95	#per272	1	Undirected
66	#org13	#per135	1	Undirected
67	#per14	#pla150	1	Undirected
68	#org22	#pla1	1	Undirected
69	#per94	#per95	2	Undirected
70	#per469	#per93	1	Undirected
71	#per272	#per469	2	Undirected
72	#per14	#pla4	3	Undirected
73	#per464	#per93	11	Undirected
74	#org25	#pla1	2	Undirected
75	#org25	#org39	1	Undirected
76	#per14	#pla1	4	Undirected
77	#per135	#pla4	1	Undirected
78	#per14	#per7	1	Undirected
79	#org22	#per93	1	Undirected
80	#per466	#per469	6	Undirected
81	#org25	#per6	1	Undirected
82	#per35	#per463	1	Undirected
83	#per466	#pla1	2	Undirected
84	#per464	#per469	1	Undirected
85	#per93	#pla150	1	Undirected
86	#org13	#per462	7	Undirected
87	#per462	#per94	2	Undirected
88	#org96	#per462	15	Undirected
89	#per462	#pla149	3	Undirected
90	#per92	#pla149	1	Undirected
91	#org25	#pla149	1	Undirected
92	#org22	#per14	1	Undirected
93	#per462	#per465	4	Undirected
94	#per14	#per464	4	Undirected
95	#per464	#pla5	1	Undirected
96	#per463	#per92	3	Undirected
97	#org97	#per7	1	Undirected
98	#per135	#pla150	1	Undirected
99	#org13	#per35	1	Undirected
100	#per14	#per466	1	Undirected
101	#per135	#per16	1	Undirected
102	#org25	#per14	2	Undirected
103	#org13	#per7	1	Undirected
104	#org95	#pla5	1	Undirected
105	#per463	#per464	8	Undirected
106	#per88	#per90	1	Undirected
107	#org13	#per94	1	Undirected
108	#per463	#per93	29	Undirected
109	#org13	#per14	5	Undirected
110	#org96	#per14	1	Undirected
111	#pla149	#pla5	3	Undirected
112	#per93	#pla1	4	Undirected
113	#per463	#pla5	2	Undirected
114	#per463	#per469	6	Undirected
115	#org13	#org22	1	Undirected
116	#per93	#pla4	2	Undirected
117	#per462	#per7	1	Undirected
118	#pla150	#pla4	1	Undirected
119	#per462	#per90	1	Undirected
120	#per90	#per94	1	Undirected
121	#per272	#per464	1	Undirected
122	#per6	#pla5	1	Undirected
123	#org95	#pla149	1	Undirected
124	#org25	#per93	4	Undirected
125	#org13	#per95	1	Undirected
