	Source	Target	Weight	Type
0	#per34	#pla72	1	Undirected
1	#org101	#org104	1	Undirected
2	#per14	#pla30	29	Undirected
3	#per35	#pla140	1	Undirected
4	#org44	#pla2	1	Undirected
5	#org0	#pla42	1	Undirected
6	#pla162	#pla163	1	Undirected
7	#org19	#pla15	4	Undirected
8	#org70	#pla159	1	Undirected
9	#org18	#wor4	1	Undirected
10	#org100	#pla22	1	Undirected
11	#org48	#pla13	1	Undirected
12	#per35	#pla162	1	Undirected
13	#pla3	#pla41	1	Undirected
14	#org44	#per35	1	Undirected
15	#org100	#org108	1	Undirected
16	#per473	#pla29	1	Undirected
17	#per14	#pla140	1	Undirected
18	#org106	#org108	1	Undirected
19	#per14	#wor1	3	Undirected
20	#per35	#per472	5	Undirected
21	#org0	#per2	1	Undirected
22	#org100	#pla163	1	Undirected
23	#org106	#per14	49	Undirected
24	#org19	#org8	1	Undirected
25	#org106	#pla19	1	Undirected
26	#pla108	#pla30	1	Undirected
27	#pla159	#pla41	1	Undirected
28	#org101	#pla30	3	Undirected
29	#org70	#pla4	5	Undirected
30	#org103	#org106	1	Undirected
31	#org93	#pla137	1	Undirected
32	#org0	#org44	1	Undirected
33	#org44	#org93	1	Undirected
34	#org101	#per35	69	Undirected
35	#per1	#pla72	1	Undirected
36	#per128	#pla12	1	Undirected
37	#org100	#per14	18	Undirected
38	#per35	#pla2	1	Undirected
39	#org43	#org48	1	Undirected
40	#org106	#pla22	1	Undirected
41	#org13	#per5	1	Undirected
42	#org0	#org70	4	Undirected
43	#per14	#per95	1	Undirected
44	#per14	#pla162	1	Undirected
45	#pla18	#pla41	6	Undirected
46	#org48	#per128	1	Undirected
47	#per14	#per17	1	Undirected
48	#org106	#pla158	1	Undirected
49	#per4	#pla72	2	Undirected
50	#org18	#pla18	1	Undirected
51	#per35	#pla3	6	Undirected
52	#pla4	#pla72	2	Undirected
53	#per473	#pla73	1	Undirected
54	#org65	#pla5	1	Undirected
55	#per131	#per35	2	Undirected
56	#per14	#per475	2	Undirected
57	#per473	#pla4	1	Undirected
58	#per14	#pla29	1	Undirected
59	#per14	#pla156	2	Undirected
60	#pla140	#pla30	1	Undirected
61	#org0	#org106	20	Undirected
62	#org39	#per128	1	Undirected
63	#org18	#pla72	1	Undirected
64	#org0	#pla154	1	Undirected
65	#org70	#per2	1	Undirected
66	#org106	#per4	2	Undirected
67	#org100	#org70	2	Undirected
68	#per473	#pla41	10	Undirected
69	#org43	#pla2	1	Undirected
70	#org44	#pla137	1	Undirected
71	#per14	#pla4	16	Undirected
72	#per101	#per14	1	Undirected
73	#org24	#pla159	1	Undirected
74	#pla157	#pla9	1	Undirected
75	#per17	#per35	1	Undirected
76	#org18	#org19	16	Undirected
77	#org0	#per39	1	Undirected
78	#org0	#pla15	1	Undirected
79	#pla41	#pla73	1	Undirected
80	#per14	#pla151	2	Undirected
81	#pla30	#pla41	2	Undirected
82	#per35	#pla151	1	Undirected
83	#org18	#per4	1	Undirected
84	#per14	#pla161	1	Undirected
85	#per14	#per474	12	Undirected
86	#org39	#pla2	1	Undirected
87	#org0	#pla2	1	Undirected
88	#org0	#org24	1	Undirected
89	#per14	#per19	1	Undirected
90	#pla2	#pla72	1	Undirected
91	#org0	#pla137	1	Undirected
92	#pla3	#pla72	2	Undirected
93	#pla159	#pla4	1	Undirected
94	#org100	#org101	1	Undirected
95	#org18	#pla4	2	Undirected
96	#per0	#per35	5	Undirected
97	#per14	#pla73	5	Undirected
98	#org106	#per5	1	Undirected
99	#per473	#per475	2	Undirected
